Dates,TJX
2018-06-20,6138200.0
2018-06-21,6338600.0
2018-06-25,7841800.0
2018-06-22,5661200.0
2018-06-26,5374800.0
2018-06-27,5050200.0
2018-06-28,5973000.0
2018-06-29,5812000.0
2018-07-02,5682800.0
2018-07-03,2616600.0
2018-07-05,5192000.0
2018-07-16,5006000.0
2018-09-18,4201000.0
2019-01-24,9527800.0
2019-09-05,5032000.0
2018-11-21,8791800.0
2020-01-13,4376000.0
2020-04-01,3691000.0
2020-06-19,6034400.0
2019-10-29,5564200.0
2020-01-16,5905200.0
2020-06-22,5287400.0
2018-10-03,4408200.0
2018-07-31,4872000.0
2019-03-12,5311000.0
2019-02-08,4894800.0
2019-01-07,3510800.0
2018-12-06,4374800.0
2019-08-19,6127800.0
2019-07-18,5472600.0
2019-05-15,6055400.0
2019-09-20,4275200.0
2019-11-01,3398800.0
2020-04-07,4524800.0
2020-06-25,4771000.0
2020-06-16,4639400.0
2019-11-04,7651000.0
2020-01-22,6956600.0
2019-11-07,9137800.0
2020-04-13,6394400.0
2019-07-01,7578400.0
2019-05-30,6324200.0
2018-08-15,10065600.0
2018-10-18,18130600.0
2019-03-27,11654600.0
2019-01-22,8616600.0
2018-12-21,10367000.0
2019-09-03,6968800.0
2018-11-19,4490000.0
2019-08-02,5676000.0
2020-01-28,5216800.0
2020-04-16,6886400.0
2019-11-13,8690800.0
2020-01-31,6934200.0
2018-12-04,7569400.0
2018-11-02,8610000.0
2019-07-16,9585200.0
2018-08-30,6416200.0
2018-10-01,8262800.0
2019-06-14,8158400.0
2019-05-13,9089600.0
2019-04-11,7939000.0
2019-02-06,9306000.0
2019-09-18,4317400.0
2020-02-03,6284200.0
2020-04-22,12975000.0
2019-11-19,5432800.0
2020-02-06,6972600.0
2019-11-22,6463000.0
2019-03-25,4517600.0
2019-02-21,6800400.0
2018-12-19,7203400.0
2018-07-12,6995800.0
2018-09-14,5260400.0
2018-08-13,5773600.0
2018-10-16,4762000.0
2019-07-31,5167400.0
2019-05-28,6138600.0
2019-04-26,6799800.0
2020-04-28,8031400.0
2019-11-25,6610000.0
2020-02-12,5064400.0
2020-05-01,6195800.0
2020-05-04,7907200.0
2019-06-12,6845800.0
2019-04-09,9622600.0
2019-03-08,8609400.0
2019-02-04,8655800.0
2018-07-27,7752000.0
2018-08-28,9646000.0
2019-01-03,8174800.0
2019-08-15,14275600.0
2018-10-31,9714800.0
2019-09-16,9776200.0
2020-02-18,6602000.0
2020-05-07,9024800.0
2018-08-17,5950000.0
2019-12-04,5561600.0
2020-02-21,5858400.0
2018-12-17,5783500.0
2019-08-30,6533400.0
2018-11-15,6583600.0
2019-07-29,7612900.0
2019-06-27,9181700.0
2019-04-24,9144800.0
2018-07-10,13371700.0
2018-09-12,17398800.0
2019-02-19,16289600.0
2019-01-18,10857300.0
2020-02-24,3968900.0
2020-05-13,8434600.0
2019-12-10,7457300.0
