Dates,UNM
2018-06-20,38.779998779296875
2018-06-21,38.130001068115234
2018-06-25,38.34000015258789
2018-06-22,38.36000061035156
2018-06-26,38.18000030517578
2018-06-27,38.0
2018-06-28,37.16999816894531
2018-06-29,37.86000061035156
2018-07-02,37.619998931884766
2018-07-03,38.189998626708984
2018-07-05,37.849998474121094
2018-07-16,38.279998779296875
2018-09-18,39.470001220703125
2019-01-24,39.54999923706055
2019-09-05,38.650001525878906
2018-11-21,37.900001525878906
2020-01-13,37.849998474121094
2020-04-01,38.18000030517578
2020-06-19,38.34000015258789
2019-10-29,38.36000061035156
2020-01-16,38.25
2020-06-22,37.68000030517578
2018-10-03,38.29999923706055
2018-07-31,38.630001068115234
2019-03-12,38.40999984741211
2019-02-08,39.02000045776367
2019-01-07,39.29999923706055
2018-12-06,39.540000915527344
2019-08-19,41.279998779296875
2019-07-18,40.060001373291016
2019-05-15,37.0
2019-09-20,37.0099983215332
2019-11-01,36.619998931884766
2020-04-07,36.900001525878906
2020-06-25,36.40999984741211
2020-06-16,36.560001373291016
2019-11-04,35.439998626708984
2020-01-22,35.31999969482422
2019-11-07,35.4900016784668
2020-04-13,35.27000045776367
2019-07-01,36.209999084472656
2019-05-30,36.130001068115234
2018-08-15,36.220001220703125
2018-10-18,36.619998931884766
2019-03-27,36.16999816894531
2019-01-22,35.86000061035156
2018-12-21,35.83000183105469
2019-09-03,36.72999954223633
2018-11-19,36.38999938964844
2019-08-02,36.439998626708984
2020-01-28,37.38999938964844
2020-04-16,37.45000076293945
2019-11-13,37.630001068115234
2020-01-31,37.880001068115234
2018-12-04,37.65999984741211
2018-11-02,37.0
2019-07-16,36.720001220703125
2018-08-30,36.099998474121094
2018-10-01,35.849998474121094
2019-06-14,36.06999969482422
2019-05-13,37.15999984741211
2019-04-11,37.349998474121094
2019-02-06,38.61000061035156
2019-09-18,39.70000076293945
2020-02-03,40.0099983215332
2020-04-22,40.59000015258789
2019-11-19,40.7599983215332
2020-02-06,40.41999816894531
2019-11-22,39.81999969482422
2019-03-25,39.68000030517578
2019-02-21,39.209999084472656
2018-12-19,40.02000045776367
2018-07-12,39.7400016784668
2018-09-14,39.959999084472656
2018-08-13,40.27000045776367
2018-10-16,40.439998626708984
2019-07-31,40.630001068115234
2019-05-28,40.11000061035156
2019-04-26,40.29999923706055
2020-04-28,38.97999954223633
2019-11-25,37.91999816894531
2020-02-12,37.630001068115234
2020-05-01,37.68000030517578
2020-05-04,38.41999816894531
2019-06-12,38.2599983215332
2019-04-09,38.08000183105469
2019-03-08,37.849998474121094
2019-02-04,36.45000076293945
2018-07-27,36.290000915527344
2018-08-28,35.40999984741211
2019-01-03,35.08000183105469
2019-08-15,35.88999938964844
2018-10-31,36.380001068115234
2019-09-16,37.349998474121094
2020-02-18,37.0099983215332
2020-05-07,38.13999938964844
2018-08-17,37.810001373291016
2019-12-04,37.689998626708984
2020-02-21,38.27000045776367
2018-12-17,38.5099983215332
2019-08-30,38.189998626708984
2018-11-15,37.869998931884766
2019-07-29,38.84000015258789
2019-06-27,38.45000076293945
2019-04-24,37.099998474121094
2018-07-10,36.869998931884766
2018-09-12,36.29999923706055
2019-02-19,35.34000015258789
2019-01-18,36.0
2020-02-24,35.869998931884766
2020-05-13,36.5
2019-12-10,36.29999923706055
2020-02-27,36.61000061035156
2019-12-13,36.689998626708984
2020-05-19,36.52000045776367
2019-03-06,36.84000015258789
2018-11-30,35.77000045776367
2019-08-13,32.88999938964844
2019-07-12,33.2400016784668
2019-06-10,32.15999984741211
2019-05-09,31.729999542236328
2018-07-25,31.209999084472656
2018-09-27,30.670000076293945
2018-10-29,30.600000381469727
2019-10-16,30.100000381469727
2019-12-16,30.15999984741211
2020-03-04,29.899999618530273
2020-05-22,28.899999618530273
2019-10-01,28.920000076293945
2019-12-19,28.06999969482422
2018-09-10,28.799999237060547
2019-05-24,29.049999237060547
2018-08-09,29.34000015258789
2019-04-22,29.469999313354492
2019-03-21,30.329999923706055
2019-01-16,30.610000610351562
2019-08-28,31.399999618530273
2018-11-13,31.729999542236328
2018-10-12,32.09000015258789
2019-06-25,32.380001068115234
2020-03-10,32.40999984741211
2020-05-28,32.599998474121094
2019-10-07,32.790000915527344
2020-03-13,32.63999938964844
2019-10-10,33.4900016784668
2020-03-16,33.7599983215332
2020-06-03,34.54999923706055
2018-11-28,34.349998474121094
2018-09-25,34.34000015258789
2018-07-23,34.459999084472656
2018-08-24,34.56999969482422
2019-07-10,34.38999938964844
2019-05-07,34.2599983215332
2019-04-05,34.16999816894531
2019-03-04,34.81999969482422
2019-01-31,35.040000915527344
2019-09-12,34.86000061035156
2019-12-31,34.90999984741211
2020-03-19,36.90999984741211
2020-01-03,36.2400016784668
2020-06-09,35.43000030517578
2019-02-15,35.36000061035156
2019-01-14,36.290000915527344
2018-07-06,36.5
2018-08-07,35.70000076293945
2018-10-10,36.33000183105469
2018-12-13,36.939998626708984
2019-08-26,37.36000061035156
2019-07-25,37.630001068115234
2019-05-22,37.459999084472656
2019-03-19,37.88999938964844
2020-01-06,38.0
2020-03-25,37.54999923706055
2020-06-12,37.599998474121094
2019-10-22,38.290000915527344
2020-01-09,37.91999816894531
2020-06-15,37.27000045776367
2019-10-25,37.18000030517578
2020-03-31,36.130001068115234
2020-06-18,36.04999923706055
2019-04-03,36.38999938964844
2018-08-22,36.47999954223633
2018-10-25,36.52000045776367
2019-01-29,36.36000061035156
2018-12-28,36.689998626708984
2018-11-26,37.060001373291016
2019-08-09,37.189998626708984
2019-07-08,36.33000183105469
2019-06-06,34.779998779296875
2019-09-10,34.279998779296875
2020-01-15,33.7400016784668
2020-04-03,33.91999816894531
2019-10-31,34.04999923706055
2020-04-06,33.869998931884766
2020-06-24,34.0
2018-11-09,34.810001373291016
2019-07-23,35.06999969482422
2019-06-21,34.93000030517578
2019-05-20,35.16999816894531
2019-04-18,35.279998779296875
2018-09-06,35.29999923706055
2018-10-08,35.099998474121094
2019-02-13,35.5
2018-12-11,36.709999084472656
2019-09-25,37.380001068115234
2020-01-21,37.72999954223633
2020-04-09,37.56999969482422
2019-11-06,38.0
2020-01-24,37.599998474121094
2020-01-27,37.09000015258789
2020-04-15,37.279998779296875
2018-12-26,37.04999923706055
2019-08-07,36.68000030517578
2019-06-04,36.66999816894531
2018-09-21,37.11000061035156
2018-07-19,37.0099983215332
2018-08-20,37.810001373291016
2018-10-23,37.150001525878906
2019-05-03,36.939998626708984
2019-04-01,36.84000015258789
2019-02-28,36.5
2019-11-12,36.060001373291016
2020-01-30,35.88999938964844
2019-11-15,36.290000915527344
2020-04-21,35.619998931884766
2019-04-16,35.54999923706055
2019-03-15,35.11000061035156
2019-02-11,35.59000015258789
2019-01-10,35.2599983215332
2019-08-22,34.9900016784668
2018-11-07,35.47999954223633
2018-08-03,35.04999923706055
2018-09-04,34.18000030517578
2019-06-19,34.04999923706055
2019-09-23,33.900001525878906
2019-11-18,33.0
2020-02-05,33.52000045776367
2020-04-24,32.150001525878906
2019-03-29,32.31999969482422
2019-11-21,33.36000061035156
2020-04-27,33.27000045776367
2020-02-11,33.810001373291016
2020-04-30,33.88999938964844
2019-05-01,34.06999969482422
2019-02-26,34.040000915527344
2019-01-25,33.5099983215332
2018-12-24,33.38999938964844
2019-09-06,33.189998626708984
2018-07-17,33.27000045776367
2018-09-19,33.470001220703125
2019-08-05,33.61000061035156
2019-10-08,33.060001373291016
2019-12-11,32.959999084472656
2019-11-27,32.68000030517578
2020-02-14,32.63999938964844
2020-05-06,33.029998779296875
2019-01-08,33.060001373291016
2018-12-07,33.650001525878906
2019-08-20,34.4900016784668
2018-11-05,34.459999084472656
