Dates,AMZN
2007-12-31,92.44999694824219
2008-01-02,94.69999694824219
2008-01-04,94.5199966430664
2008-01-07,88.5
2008-01-03,85.47000122070312
2008-01-08,86.93000030517578
2008-01-09,80.23999786376953
2008-01-10,82.97000122070312
2008-01-11,80.29000091552734
2008-01-14,78.87000274658203
2008-01-15,78.51000213623047
2008-03-14,78.44000244140625
2008-06-18,79.54000091552734
2009-01-28,78.04000091552734
2008-04-15,72.22000122070312
2008-11-25,69.94999694824219
2009-04-02,74.19000244140625
2008-10-07,76.33000183105469
2008-01-25,74.33999633789062
2008-02-26,72.05999755859375
2008-04-30,73.25
2008-09-05,68.83999633789062
2008-08-04,73.37000274658203
2008-07-03,73.9000015258789
2009-03-16,72.0
2009-02-12,68.16999816894531
2008-12-10,67.22000122070312
2009-04-08,72.5199966430664
2008-03-12,72.7699966430664
2008-10-22,73.79000091552734
2008-08-19,73.2699966430664
2008-07-18,75.18000030517578
2008-06-16,71.94000244140625
2009-02-27,71.55000305175781
2008-05-15,71.0999984741211
2009-01-26,69.37000274658203
2009-03-31,69.86000061035156
2009-04-14,71.41000366210938
2009-04-17,70.27999877929688
2009-04-20,69.56999969482422
2008-07-01,67.11000061035156
2008-05-30,63.970001220703125
2009-02-10,61.20000076293945
2009-01-09,61.22999954223633
2008-01-23,63.81999969482422
2008-03-27,62.5
2008-04-28,62.0099983215332
2008-12-08,62.90999984741211
2008-11-06,63.709999084472656
2008-09-03,65.63999938964844
2009-04-23,64.37000274658203
2008-09-18,66.05999755859375
2008-07-16,64.91999816894531
2009-02-25,67.58999633789062
2008-03-10,70.16999816894531
2008-02-07,69.37999725341797
2008-04-11,72.75
2008-05-13,74.05000305175781
2008-12-23,73.23999786376953
2008-11-21,70.80000305175781
2008-10-20,69.26000213623047
2009-04-29,69.62999725341797
2009-05-05,72.76000213623047
2008-11-04,76.12000274658203
2008-10-03,73.80999755859375
2008-07-31,74.27999877929688
2008-03-25,76.0
2008-02-22,75.5
2009-03-12,73.66000366210938
2008-05-28,72.7300033569336
2009-01-07,71.62000274658203
2009-04-13,71.29000091552734
2009-05-15,70.6500015258789
2009-05-08,72.94000244140625
2008-06-12,73.61000061035156
2009-02-23,76.31999969482422
2009-01-22,79.05999755859375
2008-11-19,77.54000091552734
2008-09-16,78.73999786376953
2008-02-05,76.93000030517578
2008-04-09,77.26000213623047
2008-08-15,80.12000274658203
2008-07-14,79.86000061035156
2009-03-27,77.91999816894531
2009-05-14,77.97000122070312
2008-09-22,76.4000015258789
2008-07-29,75.87000274658203
2008-06-27,75.05000305175781
2009-03-10,73.08999633789062
2009-02-06,71.55999755859375
2009-01-05,71.66000366210938
2008-12-04,71.77999877929688
2008-02-20,73.30999755859375
2008-04-24,73.9800033569336
2008-10-01,73.55000305175781
2009-05-13,74.86000061035156
2009-05-26,78.86000061035156
2008-03-06,80.02999877929688
2008-11-17,77.5
2008-10-16,78.0
2008-08-13,77.43000030517578
2008-06-10,77.97000122070312
2008-05-09,78.98999786376953
2009-01-20,80.16999816894531
2008-04-07,80.30000305175781
2008-12-19,80.05000305175781
2009-03-25,79.26000213623047
2009-05-29,79.72000122070312
2009-06-01,81.80000305175781
2009-02-04,80.55999755859375
2008-01-17,78.12000274658203
2008-04-22,78.19999694824219
2008-12-02,77.02999877929688
2008-10-31,75.01000213623047
2008-09-29,76.69999694824219
2008-08-28,78.41000366210938
2008-06-25,82.80000305175781
2009-04-09,81.31999969482422
2009-05-11,81.5
2008-08-11,80.51000213623047
2008-07-10,79.55000305175781
2008-02-01,77.62999725341797
2008-03-04,79.5199966430664
2009-02-19,76.0
2008-05-07,72.62000274658203
2008-12-17,73.20999908447266
2008-10-14,70.5199966430664
2008-09-12,71.37999725341797
2009-03-23,70.5199966430664
2008-10-29,70.76000213623047
2008-08-26,71.75
2008-03-19,70.4800033569336
2008-07-25,67.98999786376953
2008-06-23,66.73999786376953
2009-03-06,65.58999633789062
2008-05-22,62.9900016784668
2009-02-02,66.83999633789062
2009-04-07,67.73999786376953
2009-01-16,68.4000015258789
2008-12-15,66.30000305175781
2008-11-13,65.87999725341797
2009-02-17,67.45999908447266
2008-04-03,76.29000091552734
2008-01-30,78.12000274658203
2008-05-05,74.86000061035156
2008-09-10,76.16000366210938
2008-07-08,76.41999816894531
2008-06-06,76.0999984741211
2009-04-16,74.05000305175781
2008-07-23,75.01000213623047
2009-03-04,76.5199966430664
2008-05-20,76.7300033569336
2008-12-30,76.0
2008-11-28,76.29000091552734
2008-03-17,79.77999877929688
2008-02-14,86.0999984741211
2008-04-18,84.54000091552734
2008-10-27,85.22000122070312
2008-09-25,86.26000213623047
2009-04-22,83.04000091552734
2008-10-10,81.05999755859375
2008-09-08,81.19999694824219
2008-08-07,80.9800033569336
2009-03-19,83.93000030517578
2008-06-04,82.44999694824219
2009-01-14,81.25
2008-01-28,81.0
2008-04-01,81.80000305175781
2008-02-29,80.5
2008-11-11,81.20999908447266
2009-04-28,80.0199966430664
2009-05-01,78.0199966430664
2008-11-26,77.08000183105469
2008-09-23,78.8499984741211
2008-08-22,78.98999786376953
2008-07-21,76.1500015258789
2008-06-19,75.0999984741211
2009-03-02,76.62000274658203
2008-04-16,76.30000305175781
2008-02-12,76.66999816894531
2009-01-29,71.23999786376953
2009-04-03,70.08000183105469
2009-05-04,76.5
2009-05-07,74.31999969482422
2008-02-27,70.7699966430664
2009-03-17,68.94000244140625
2008-06-02,70.01000213623047
2009-02-13,68.08000183105469
2008-05-01,61.31999969482422
2009-01-12,65.31999969482422
