Dates,AMZN
2007-12-31,92.63999938964844
2008-01-02,96.25
2008-01-04,95.20999908447266
2008-01-07,88.79000091552734
2008-01-03,88.81999969482422
2008-01-08,87.87999725341797
2008-01-09,85.22000122070312
2008-01-10,84.26000213623047
2008-01-11,81.08000183105469
2008-01-14,82.87000274658203
2008-01-15,80.23999786376953
2008-03-14,80.3499984741211
2008-06-18,80.12000274658203
2009-01-28,79.76000213623047
2008-04-15,78.4800033569336
2008-11-25,73.97000122070312
2009-04-02,77.66999816894531
2008-10-07,77.5999984741211
2008-01-25,75.81999969482422
2008-02-26,73.94999694824219
2008-04-30,74.20999908447266
2008-09-05,77.69999694824219
2008-08-04,74.62999725341797
2008-07-03,73.94999694824219
2009-03-16,72.08999633789062
2009-02-12,68.48999786376953
2008-12-10,70.91000366210938
2009-04-08,73.5
2008-03-12,75.19000244140625
2008-10-22,74.44999694824219
2008-08-19,77.7300033569336
2008-07-18,75.80000305175781
2008-06-16,72.95999908447266
2009-02-27,72.08000183105469
2008-05-15,73.63999938964844
2009-01-26,69.9000015258789
2009-03-31,72.08000183105469
2009-04-14,73.2699966430664
2009-04-17,71.69000244140625
2009-04-20,70.87000274658203
2008-07-01,67.8499984741211
2008-05-30,64.47000122070312
2009-02-10,62.43000030517578
2009-01-09,65.33999633789062
2008-01-23,64.98999786376953
2008-03-27,62.7400016784668
2008-04-28,64.08999633789062
2008-12-08,63.470001220703125
2008-11-06,67.1500015258789
2008-09-03,66.51000213623047
2009-04-23,68.31999969482422
2008-09-18,68.22000122070312
2008-07-16,66.52999877929688
2009-02-25,71.69999694824219
2008-03-10,70.16999816894531
2008-02-07,73.19000244140625
2008-04-11,75.94999694824219
2008-05-13,75.16999816894531
2008-12-23,73.80000305175781
2008-11-21,70.80000305175781
2008-10-20,69.76000213623047
2009-04-29,71.30000305175781
2009-05-05,76.69999694824219
2008-11-04,77.37000274658203
2008-10-03,74.94000244140625
2008-07-31,76.87000274658203
2008-03-25,76.9000015258789
2008-02-22,77.30000305175781
2009-03-12,74.38999938964844
2008-05-28,74.83000183105469
2009-01-07,71.98999786376953
2009-04-13,72.61000061035156
2009-05-15,72.5
2009-05-08,74.58999633789062
2008-06-12,74.04000091552734
2009-02-23,80.0999984741211
2009-01-22,80.18000030517578
2008-11-19,79.5999984741211
2008-09-16,81.0
2008-02-05,77.69000244140625
2008-04-09,80.86000061035156
2008-08-15,81.97000122070312
2008-07-14,80.73999786376953
2009-03-27,78.62999725341797
2009-05-14,79.36000061035156
2008-09-22,77.30999755859375
2008-07-29,75.91999816894531
2008-06-27,75.70999908447266
2009-03-10,73.18000030517578
2009-02-06,72.79000091552734
2009-01-05,72.41000366210938
2008-12-04,74.52999877929688
2008-02-20,74.55999755859375
2008-04-24,74.19999694824219
2008-10-01,76.12000274658203
2009-05-13,76.45999908447266
2009-05-26,82.29000091552734
2008-03-06,80.72000122070312
2008-11-17,78.30000305175781
2008-10-16,79.26000213623047
2008-08-13,78.3499984741211
2008-06-10,80.62000274658203
2008-05-09,80.08000183105469
2009-01-20,80.3499984741211
2008-04-07,81.62000274658203
2008-12-19,80.2300033569336
2009-03-25,80.11000061035156
2009-05-29,81.5
2009-06-01,84.51000213623047
2009-02-04,80.62999725341797
2008-01-17,79.43000030517578
2008-04-22,79.62000274658203
2008-12-02,77.27999877929688
2008-10-31,76.1500015258789
2008-09-29,79.16999816894531
2008-08-28,81.69999694824219
2008-06-25,82.97000122070312
2009-04-09,82.5199966430664
2009-05-11,84.26000213623047
2008-08-11,81.0999984741211
2008-07-10,80.68000030517578
2008-02-01,79.63999938964844
2008-03-04,80.51000213623047
2009-02-19,76.30000305175781
2008-05-07,74.66000366210938
2008-12-17,73.33000183105469
2008-10-14,73.62000274658203
2008-09-12,71.44000244140625
2009-03-23,72.0
2008-10-29,72.48999786376953
2008-08-26,75.04000091552734
2008-03-19,70.61000061035156
2008-07-25,70.62999725341797
2008-06-23,68.54000091552734
2009-03-06,66.27999877929688
2008-05-22,67.02999877929688
2009-02-02,71.83999633789062
2009-04-07,72.11000061035156
2009-01-16,69.12000274658203
2008-12-15,68.4800033569336
2008-11-13,67.97000122070312
2009-02-17,70.54000091552734
2008-04-03,78.72000122070312
2008-01-30,78.30999755859375
2008-05-05,75.9800033569336
2008-09-10,78.20999908447266
2008-07-08,78.20999908447266
2008-06-06,76.33999633789062
2009-04-16,75.75
2008-07-23,75.70999908447266
2009-03-04,79.11000061035156
2008-05-20,78.08999633789062
2008-12-30,76.94999694824219
2008-11-28,80.51000213623047
2008-03-17,88.08999633789062
2008-02-14,87.25
2008-04-18,86.69000244140625
2008-10-27,88.02999877929688
2008-09-25,86.4000015258789
2009-04-22,83.11000061035156
2008-10-10,81.29000091552734
2008-09-08,82.12999725341797
2008-08-07,83.26000213623047
2009-03-19,85.26000213623047
2008-06-04,82.8499984741211
2009-01-14,81.76000213623047
2008-01-28,81.7300033569336
2008-04-01,83.41999816894531
2008-02-29,80.80999755859375
2008-11-11,81.41000366210938
2009-04-28,80.7699966430664
2009-05-01,78.02999877929688
2008-11-26,79.19000244140625
2008-09-23,81.16000366210938
2008-08-22,79.04000091552734
2008-07-21,76.73999786376953
2008-06-19,79.51000213623047
2009-03-02,78.30000305175781
2008-04-16,77.33999633789062
2008-02-12,78.7300033569336
2009-01-29,71.54000091552734
2009-04-03,76.5
2009-05-04,81.0
2009-05-07,74.93000030517578
2008-02-27,71.76000213623047
2009-03-17,69.95999908447266
2008-06-02,72.08000183105469
2009-02-13,70.69999694824219
