Dates,SYY
2018-06-20,67.54000091552734
2018-06-21,68.30999755859375
2018-06-25,68.33999633789062
2018-06-22,68.43000030517578
2018-06-26,68.37000274658203
2018-06-27,68.63999938964844
2018-06-28,68.87000274658203
2018-06-29,68.80000305175781
2018-07-02,68.48999786376953
2018-07-03,68.86000061035156
2018-07-05,69.37999725341797
2018-07-16,69.6500015258789
2018-09-18,69.79000091552734
2019-01-24,69.91000366210938
2019-09-05,69.63999938964844
2018-11-21,69.94000244140625
2020-01-13,70.83000183105469
2020-04-01,70.87000274658203
2020-06-19,71.31999969482422
2019-10-29,71.30000305175781
2020-01-16,71.05000305175781
2020-06-22,71.2300033569336
2018-10-03,71.55999755859375
2018-07-31,70.79000091552734
2019-03-12,70.97000122070312
2019-02-08,71.93000030517578
2019-01-07,71.97000122070312
2018-12-06,71.02999877929688
2019-08-19,67.54000091552734
2019-07-18,67.61000061035156
2019-05-15,68.25
2019-09-20,68.83000183105469
2019-11-01,70.08999633789062
2020-04-07,69.98999786376953
2020-06-25,70.08999633789062
2020-06-16,70.68000030517578
2019-11-04,69.55999755859375
2020-01-22,74.05000305175781
2019-11-07,74.73999786376953
2020-04-13,75.12999725341797
2019-07-01,75.33000183105469
2019-05-30,75.0
2018-08-15,75.23999786376953
2018-10-18,75.20999908447266
2019-03-27,75.19999694824219
2019-01-22,75.5
2018-12-21,75.9800033569336
2019-09-03,75.41999816894531
2018-11-19,75.0
2019-08-02,74.88999938964844
2020-01-28,74.45999908447266
2020-04-16,74.88999938964844
2019-11-13,75.43000030517578
2020-01-31,75.26000213623047
2018-12-04,75.12000274658203
2018-11-02,75.37999725341797
2019-07-16,75.72000122070312
2018-08-30,75.31999969482422
2018-10-01,75.08000183105469
2019-06-14,74.47000122070312
2019-05-13,73.75
2019-04-11,73.70999908447266
2019-02-06,73.7300033569336
2019-09-18,73.4000015258789
2020-02-03,73.51000213623047
2020-04-22,73.37000274658203
2019-11-19,73.33999633789062
2020-02-06,73.58999633789062
2019-11-22,73.5
2019-03-25,73.30999755859375
2019-02-21,73.68000030517578
2018-12-19,73.91000366210938
2018-07-12,73.68000030517578
2018-09-14,73.7300033569336
2018-08-13,72.41000366210938
2018-10-16,72.45999908447266
2019-07-31,72.79000091552734
2019-05-28,72.55000305175781
2019-04-26,71.9800033569336
2020-04-28,70.4800033569336
2019-11-25,69.30000305175781
2020-02-12,69.44999694824219
2020-05-01,70.26000213623047
2020-05-04,70.5
2019-06-12,71.08999633789062
2019-04-09,71.36000061035156
2019-03-08,71.44000244140625
2019-02-04,71.80999755859375
2018-07-27,73.41999816894531
2018-08-28,72.29000091552734
2019-01-03,71.41000366210938
2019-08-15,71.68000030517578
2018-10-31,72.08000183105469
2019-09-16,72.47000122070312
2020-02-18,72.20999908447266
2020-05-07,72.18000030517578
2018-08-17,65.70999908447266
2019-12-04,65.30999755859375
2020-02-21,66.79000091552734
2018-12-17,67.04000091552734
2019-08-30,67.62999725341797
2018-11-15,67.98999786376953
2019-07-29,67.8499984741211
2019-06-27,67.04000091552734
2019-04-24,66.27999877929688
2018-07-10,66.94999694824219
2018-09-12,66.33000183105469
2019-02-19,66.12000274658203
2019-01-18,65.83999633789062
2020-02-24,65.41000366210938
2020-05-13,65.36000061035156
2019-12-10,65.43000030517578
2020-02-27,66.87000274658203
2019-12-13,67.79000091552734
2020-05-19,67.66000366210938
2019-03-06,67.41000366210938
2018-11-30,67.18000030517578
2019-08-13,66.0
2019-07-12,66.04000091552734
2019-06-10,65.44000244140625
2019-05-09,65.80999755859375
2018-07-25,66.30999755859375
2018-09-27,66.37000274658203
2018-10-29,66.33000183105469
2019-10-16,65.45999908447266
2019-12-16,64.88999938964844
2020-03-04,64.6500015258789
2020-05-22,63.38999938964844
2019-10-01,62.779998779296875
2019-12-19,60.869998931884766
2018-09-10,61.36000061035156
2019-05-24,62.04999923706055
2018-08-09,62.900001525878906
2019-04-22,62.83000183105469
2019-03-21,62.25
2019-01-16,61.95000076293945
2019-08-28,62.59000015258789
2018-11-13,62.459999084472656
2018-10-12,62.970001220703125
2019-06-25,62.77000045776367
2020-03-10,63.279998779296875
2020-05-28,63.130001068115234
2019-10-07,63.349998474121094
2020-03-13,63.040000915527344
2019-10-10,62.33000183105469
2020-03-16,62.439998626708984
2020-06-03,63.279998779296875
2018-11-28,62.869998931884766
2018-09-25,63.25
2018-07-23,62.599998474121094
2018-08-24,63.209999084472656
2019-07-10,62.290000915527344
2019-05-07,62.540000915527344
2019-04-05,63.09000015258789
2019-03-04,63.880001068115234
2019-01-31,64.01000213623047
2019-09-12,67.33999633789062
2019-12-31,65.7300033569336
2020-03-19,65.7300033569336
2020-01-03,65.2699966430664
2020-06-09,66.2300033569336
2019-02-15,66.51000213623047
2019-01-14,66.98999786376953
2018-07-06,66.9800033569336
2018-08-07,66.94000244140625
2018-10-10,67.55000305175781
2018-12-13,67.6500015258789
2019-08-26,67.52999877929688
2019-07-25,67.48999786376953
2019-05-22,67.38999938964844
2019-03-19,67.8499984741211
2020-01-06,67.56999969482422
2020-03-25,67.3499984741211
2020-06-12,67.88999938964844
2019-10-22,67.86000061035156
2020-01-09,67.73999786376953
2020-06-15,67.12000274658203
2019-10-25,66.62000274658203
2020-03-31,66.41999816894531
2020-06-18,65.91000366210938
2019-04-03,66.48999786376953
2018-08-22,66.48999786376953
2018-10-25,66.69999694824219
2019-01-29,66.63999938964844
2018-12-28,66.6500015258789
2018-11-26,66.52999877929688
2019-08-09,66.79000091552734
2019-07-08,66.30000305175781
