Dates,SYY
2018-06-20,1312900.0
2018-06-21,1797400.0
2018-06-25,2239400.0
2018-06-22,2164100.0
2018-06-26,1197200.0
2018-06-27,1492100.0
2018-06-28,2004800.0
2018-06-29,2008900.0
2018-07-02,1578700.0
2018-07-03,851800.0
2018-07-05,1667300.0
2018-07-16,1442100.0
2018-09-18,1695100.0
2019-01-24,1422400.0
2019-09-05,1769800.0
2018-11-21,1348100.0
2020-01-13,1552000.0
2020-04-01,1894500.0
2020-06-19,2104900.0
2019-10-29,2767600.0
2020-01-16,2577600.0
2020-06-22,1886800.0
2018-10-03,1574400.0
2018-07-31,2544600.0
2019-03-12,1781000.0
2019-02-08,1891100.0
2019-01-07,1793800.0
2018-12-06,8065400.0
2019-08-19,5212300.0
2019-07-18,3021100.0
2019-05-15,3220600.0
2019-09-20,1749800.0
2019-11-01,3598800.0
2020-04-07,2186500.0
2020-06-25,2088000.0
2020-06-16,1744700.0
2019-11-04,3870900.0
2020-01-22,8091200.0
2019-11-07,3969600.0
2020-04-13,3553400.0
2019-07-01,3430400.0
2019-05-30,5075300.0
2018-08-15,2841900.0
2018-10-18,2887700.0
2019-03-27,1810400.0
2019-01-22,2386300.0
2018-12-21,2928500.0
2019-09-03,2233300.0
2018-11-19,1972500.0
2019-08-02,2901300.0
2020-01-28,2079800.0
2020-04-16,1880600.0
2019-11-13,1925600.0
2020-01-31,3278200.0
2018-12-04,3722700.0
2018-11-02,3809500.0
2019-07-16,4904900.0
2018-08-30,3453800.0
2018-10-01,5501500.0
2019-06-14,3812200.0
2019-05-13,3520300.0
2019-04-11,2288000.0
2019-02-06,2590300.0
2019-09-18,1853700.0
2020-02-03,1641900.0
2020-04-22,3550900.0
2019-11-19,3670100.0
2020-02-06,1461000.0
2019-11-22,2413200.0
2019-03-25,1769900.0
2019-02-21,2159200.0
2018-12-19,2535000.0
2018-07-12,1560600.0
2018-09-14,2042200.0
2018-08-13,1374800.0
2018-10-16,2409900.0
2019-07-31,1553000.0
2019-05-28,2722800.0
2019-04-26,3131700.0
2020-04-28,3074700.0
2019-11-25,2169700.0
2020-02-12,1741600.0
2020-05-01,1516200.0
2020-05-04,1774800.0
2019-06-12,1600400.0
2019-04-09,2441800.0
2019-03-08,1755500.0
2019-02-04,2528600.0
2018-07-27,2742000.0
2018-08-28,2785200.0
2019-01-03,2334500.0
2019-08-15,2906400.0
2018-10-31,2599200.0
2019-09-16,2565300.0
2020-02-18,2479500.0
2020-05-07,3201100.0
2018-08-17,9316400.0
2019-12-04,4382200.0
2020-02-21,3921200.0
2018-12-17,3106500.0
2019-08-30,3497800.0
2018-11-15,2977600.0
2019-07-29,2702500.0
2019-06-27,2689700.0
2019-04-24,2852200.0
2018-07-10,5857000.0
2018-09-12,3374400.0
2019-02-19,3210100.0
2019-01-18,3399500.0
2020-02-24,1583600.0
2020-05-13,2790000.0
2019-12-10,3808800.0
2020-02-27,4548200.0
2019-12-13,2625900.0
2020-05-19,6067800.0
2019-03-06,4039300.0
2018-11-30,5719300.0
2019-08-13,4944700.0
2019-07-12,2817100.0
2019-06-10,3014400.0
2019-05-09,2564500.0
2018-07-25,1809200.0
2018-09-27,2514600.0
2018-10-29,2856200.0
2019-10-16,2985400.0
2019-12-16,2825900.0
2020-03-04,2893600.0
2020-05-22,4475300.0
2019-10-01,7082200.0
2019-12-19,1467800.0
2018-09-10,5111400.0
2019-05-24,3334400.0
2018-08-09,2523700.0
2019-04-22,1947400.0
2019-03-21,2221600.0
2019-01-16,3554700.0
2019-08-28,3017100.0
2018-11-13,3021700.0
2018-10-12,2739500.0
2019-06-25,4280500.0
2020-03-10,2033100.0
2020-05-28,2151100.0
2019-10-07,3873600.0
2020-03-13,2415300.0
2019-10-10,2832500.0
2020-03-16,2910600.0
2020-06-03,2600300.0
2018-11-28,3277000.0
2018-09-25,3308600.0
2018-07-23,3109400.0
2018-08-24,2248500.0
2019-07-10,2233800.0
2019-05-07,2447000.0
2019-04-05,2756300.0
2019-03-04,6043800.0
2019-01-31,6437200.0
2019-09-12,9543900.0
2019-12-31,8140600.0
2020-03-19,5278700.0
2020-01-03,6167000.0
2020-06-09,6063100.0
2019-02-15,3605300.0
2019-01-14,4097900.0
2018-07-06,3369900.0
2018-08-07,2800100.0
2018-10-10,4517300.0
2018-12-13,3169800.0
2019-08-26,2774500.0
2019-07-25,1975700.0
2019-05-22,1942000.0
2019-03-19,2995100.0
2020-01-06,2625300.0
2020-03-25,2105500.0
2020-06-12,2546300.0
2019-10-22,2061600.0
2020-01-09,3198000.0
2020-06-15,2295600.0
2019-10-25,1928700.0
2020-03-31,1686800.0
2020-06-18,2190200.0
2019-04-03,1955300.0
2018-08-22,2800500.0
2018-10-25,2084000.0
2019-01-29,2253900.0
2018-12-28,7788600.0
2018-11-26,2387600.0
2019-08-09,2730800.0
2019-07-08,1878500.0
2019-06-06,1948000.0
2019-09-10,1668800.0
2020-01-15,3695600.0
2020-04-03,2638000.0
2019-10-31,2266600.0
2020-04-06,1737000.0
2020-06-24,2309500.0
2018-11-09,1774100.0
2019-07-23,1859700.0
2019-06-21,1845800.0
2019-05-20,2490500.0
2019-04-18,1781700.0
2018-09-06,3677100.0
2018-10-08,1367000.0
2019-02-13,1533600.0
2018-12-11,1963500.0
2019-09-25,2615700.0
2020-01-21,3194500.0
2020-04-09,2143000.0
2019-11-06,2548000.0
2020-01-24,2410500.0
2020-01-27,2023400.0
2020-04-15,2020000.0
2018-12-26,2588900.0
2019-08-07,1473100.0
2019-06-04,1715100.0
2018-09-21,2194800.0
2018-07-19,2444100.0
2018-08-20,2263600.0
2018-10-23,2516700.0
2019-05-03,3076500.0
2019-04-01,4149800.0
2019-02-28,2409600.0
2019-11-12,2559900.0
2020-01-30,2492900.0
2019-11-15,1905300.0
2020-04-21,2160200.0
2019-04-16,2068300.0
2019-03-15,1594500.0
2019-02-11,2923800.0
2019-01-10,2493600.0
2019-08-22,2041900.0
2018-11-07,1595200.0
2018-08-03,1525900.0
2018-09-04,1684100.0
2019-06-19,2137000.0
2019-09-23,2393400.0
2019-11-18,3038900.0
2020-02-05,2005500.0
2020-04-24,7696700.0
2019-03-29,3549900.0
2019-11-21,3979100.0
2020-04-27,3163900.0
2020-02-11,2299300.0
2020-04-30,2276900.0
2019-05-01,1350800.0
2019-02-26,2341000.0
