Dates,AMGN
2018-06-20,184.74000549316406
2018-06-21,184.4199981689453
2018-06-25,184.8300018310547
2018-06-22,184.07000732421875
2018-06-26,183.97999572753906
2018-06-27,183.47000122070312
2018-06-28,181.6999969482422
2018-06-29,183.58999633789062
2018-07-02,182.6999969482422
2018-07-03,185.57000732421875
2018-07-05,185.61000061035156
2018-07-16,188.00999450683594
2018-09-18,191.1699981689453
2019-01-24,192.5399932861328
2019-09-05,192.52000427246094
2018-11-21,192.55999755859375
2020-01-13,193.3800048828125
2020-04-01,194.11000061035156
2020-06-19,192.11000061035156
2019-10-29,192.0500030517578
2020-01-16,190.2899932861328
2020-06-22,189.49000549316406
2018-10-03,189.16000366210938
2018-07-31,190.5
2019-03-12,190.77000427246094
2019-02-08,192.67999267578125
2019-01-07,189.57000732421875
2018-12-06,189.94000244140625
2019-08-19,190.8699951171875
2019-07-18,194.6999969482422
2019-05-15,192.72999572753906
2019-09-20,196.10000610351562
2019-11-01,196.52000427246094
2020-04-07,197.63999938964844
2020-06-25,195.07000732421875
2020-06-16,193.8300018310547
2019-11-04,192.25999450683594
2020-01-22,193.72000122070312
2019-11-07,194.88999938964844
2020-04-13,192.88999938964844
2019-07-01,192.72999572753906
2019-05-30,195.27999877929688
2018-08-15,196.8699951171875
2018-10-18,196.72999572753906
2019-03-27,195.8300018310547
2019-01-22,195.6199951171875
2018-12-21,195.60000610351562
2019-09-03,196.7899932861328
2018-11-19,198.0
2019-08-02,196.9199981689453
2020-01-28,198.6999969482422
2020-04-16,198.38999938964844
2019-11-13,195.3300018310547
2020-01-31,196.85000610351562
2018-12-04,195.1199951171875
2018-11-02,194.75
2019-07-16,196.38999938964844
2018-08-30,199.27000427246094
2018-10-01,198.13999938964844
2019-06-14,199.41000366210938
2019-05-13,200.0
2019-04-11,199.50999450683594
2019-02-06,199.1999969482422
2019-09-18,201.57000732421875
2020-02-03,203.02000427246094
2020-04-22,204.1699981689453
2019-11-19,204.11000061035156
2020-02-06,206.25999450683594
2019-11-22,206.2899932861328
2019-03-25,206.83999633789062
2019-02-21,206.77000427246094
2018-12-19,206.6199951171875
2018-07-12,206.08999633789062
2018-09-14,206.63999938964844
2018-08-13,200.80999755859375
2018-10-16,201.8300018310547
2019-07-31,203.22999572753906
2019-05-28,204.49000549316406
2019-04-26,200.77000427246094
2020-04-28,192.3800048828125
2019-11-25,194.14999389648438
2020-02-12,195.0
2020-05-01,196.22000122070312
2020-05-04,198.94000244140625
2019-06-12,200.27999877929688
2019-04-09,201.4499969482422
2019-03-08,197.47000122070312
2019-02-04,193.72000122070312
2018-07-27,187.3699951171875
2018-08-28,181.30999755859375
2019-01-03,183.27999877929688
2019-08-15,184.8000030517578
2018-10-31,187.02999877929688
2019-09-16,189.0399932861328
2020-02-18,190.9600067138672
2020-05-07,185.8300018310547
2018-08-17,187.5500030517578
2019-12-04,189.52000427246094
2020-02-21,192.00999450683594
2018-12-17,195.27999877929688
2019-08-30,192.17999267578125
2018-11-15,190.47999572753906
2019-07-29,191.02999877929688
2019-06-27,189.66000366210938
2019-04-24,187.1199951171875
2018-07-10,191.69000244140625
2018-09-12,192.8699951171875
2019-02-19,192.75999450683594
2019-01-18,192.61000061035156
2020-02-24,190.77000427246094
2020-05-13,192.49000549316406
2019-12-10,191.8699951171875
2020-02-27,196.05999755859375
2019-12-13,199.52999877929688
2020-05-19,201.7899932861328
2019-03-06,200.3800048828125
2018-11-30,197.2899932861328
2019-08-13,193.1999969482422
2019-07-12,191.0500030517578
2019-06-10,188.19000244140625
2019-05-09,194.33999633789062
2018-07-25,196.3000030517578
2018-09-27,195.22000122070312
2018-10-29,191.66000366210938
2019-10-16,188.63999938964844
2019-12-16,184.41000366210938
2020-03-04,182.52999877929688
2020-05-22,182.72000122070312
2019-10-01,179.2100067138672
2019-12-19,178.2899932861328
2018-09-10,178.8800048828125
2019-05-24,183.6199951171875
2018-08-09,190.05999755859375
2019-04-22,191.61000061035156
2019-03-21,188.9499969482422
2019-01-16,188.6699981689453
2019-08-28,190.83999633789062
2018-11-13,194.0
2018-10-12,196.67999267578125
2019-06-25,199.6300048828125
2020-03-10,199.47000122070312
2020-05-28,198.0
2019-10-07,196.66000366210938
2020-03-13,196.0399932861328
2019-10-10,197.60000610351562
2020-03-16,197.97999572753906
2020-06-03,201.0399932861328
2018-11-28,200.77999877929688
2018-09-25,200.1300048828125
2018-07-23,199.74000549316406
2018-08-24,196.8800048828125
2019-07-10,190.00999450683594
2019-05-07,190.8000030517578
2019-04-05,179.64999389648438
