Dates,LDOS
2019-04-16,925400.0
2019-03-15,992300.0
2019-02-11,942300.0
2019-01-10,739600.0
2019-08-22,1009700.0
2018-11-07,1271600.0
2018-08-03,1342200.0
2018-09-04,1290000.0
2019-06-19,893400.0
2019-09-23,1552500.0
2019-11-18,1798500.0
2020-02-05,1571100.0
2020-04-24,1403600.0
2019-03-29,1721700.0
2019-11-21,1873800.0
2020-04-27,1057100.0
2020-02-11,1114700.0
2020-04-30,772100.0
2019-05-01,1232800.0
2019-02-26,1234900.0
2019-01-25,861200.0
2018-12-24,887300.0
2019-09-06,1068600.0
2018-07-17,1304200.0
2018-09-19,1134500.0
2019-08-05,1316500.0
2019-10-08,980800.0
2019-12-11,1802100.0
2019-11-27,1159700.0
2020-02-14,1065300.0
2020-05-06,1192300.0
2019-01-08,810600.0
2018-12-07,1897300.0
2019-08-20,968800.0
2018-11-05,587100.0
2019-07-19,428200.0
2018-10-04,598000.0
2019-06-17,542000.0
2019-05-16,808900.0
2018-08-01,849300.0
2019-03-13,756700.0
2019-12-03,686700.0
2020-02-20,438200.0
2019-12-06,634600.0
2020-05-12,615400.0
2019-12-09,798200.0
2020-02-26,959700.0
2020-05-15,737100.0
2019-03-28,690600.0
2018-09-17,752100.0
2018-08-16,940100.0
2018-10-19,951700.0
2019-04-29,1157800.0
2019-01-23,1467500.0
2019-09-04,1715900.0
2018-11-20,1446000.0
2019-07-02,3358200.0
2019-05-31,2005800.0
2019-12-12,1938100.0
2020-05-18,2046600.0
2019-09-27,34119300.0
2020-03-03,1565500.0
2020-05-21,1438600.0
2019-05-14,1737000.0
2018-08-31,1726000.0
2018-07-30,1013500.0
2018-10-02,1361300.0
2019-04-12,1507800.0
2019-03-11,1339200.0
2019-02-07,815600.0
2019-07-17,1094400.0
2019-09-19,1340400.0
2019-10-21,1498400.0
2019-12-18,1310100.0
2020-03-06,1241400.0
2019-10-03,1000700.0
2020-03-09,1119900.0
2020-05-27,1553000.0
2019-12-24,687200.0
2020-03-12,775500.0
2018-12-20,962300.0
2019-08-01,1695800.0
2018-08-14,1719100.0
2018-07-13,1283300.0
2018-10-17,1120500.0
2019-05-29,1021100.0
2019-03-26,844000.0
2019-02-22,1001000.0
2019-10-04,723500.0
2019-11-05,937300.0
2019-12-27,3708700.0
2020-06-02,1122000.0
2019-12-30,1126300.0
2020-03-18,1047900.0
2020-06-05,758100.0
2019-07-15,874500.0
2018-12-03,848500.0
