Dates,ALLE
2018-06-20,78.31806945800781
2018-06-21,76.24263000488281
2018-06-25,76.05663299560547
2018-06-22,74.77416229248047
2018-06-26,74.72522735595703
2018-06-27,75.762939453125
2018-06-28,75.55736541748047
2018-06-29,75.73358154296875
2018-07-02,75.99789428710938
2018-07-03,75.40071105957031
2018-07-05,76.24263000488281
2018-07-16,75.24408721923828
2018-09-18,76.30137634277344
2019-01-24,76.7027587890625
2019-09-05,76.27201080322266
2018-11-21,77.41740417480469
2020-01-13,78.03417205810547
2020-04-01,77.57403564453125
2020-06-19,78.3963851928711
2019-10-29,77.56425476074219
2020-01-16,77.02582550048828
2020-06-22,77.81878662109375
2018-10-03,77.05519104003906
2018-07-31,78.14185333251953
2019-03-12,78.40616607666016
2019-02-08,79.76696014404297
2019-01-07,79.88443756103516
2018-12-06,79.22852325439453
2019-08-19,79.82568359375
2019-07-18,79.17955780029297
2019-05-15,79.49282836914062
2019-09-20,80.00189208984375
2019-11-01,80.83403778076172
2020-04-07,81.3528823852539
2020-06-25,80.78508758544922
2020-06-16,80.8242416381836
2019-11-04,80.0802230834961
2020-01-22,80.0116958618164
2019-11-07,81.5193099975586
2020-04-13,83.50663757324219
2019-07-01,83.63390350341797
2019-05-30,84.87721252441406
2018-08-15,85.1317367553711
2018-10-18,85.94429779052734
2019-03-27,85.268798828125
2019-01-22,84.6226806640625
2018-12-21,85.43521118164062
2019-09-03,85.84638977050781
2018-11-19,85.8757553100586
2019-08-02,85.1317367553711
2020-01-28,85.45478820800781
2020-04-16,85.38628387451172
2019-11-13,85.31774139404297
2020-01-31,87.32464599609375
2018-12-04,87.0603256225586
2018-11-02,86.84495544433594
2019-07-16,87.91202545166016
2018-08-30,87.81413269042969
2018-10-01,87.8532943725586
2019-06-14,87.4616928100586
2019-05-13,86.17621612548828
2019-04-11,87.22621154785156
2019-02-06,88.6784896850586
2019-09-18,88.88456726074219
2020-02-03,89.20838165283203
2020-04-22,88.38409423828125
2019-11-19,87.71683502197266
2020-02-06,87.4616928100586
2019-11-22,87.85420989990234
2019-03-25,88.30559539794922
2019-02-21,88.87474822998047
2018-12-19,89.43407440185547
2018-07-12,89.61071014404297
2018-09-14,89.5125732421875
2018-08-13,88.50186157226562
2018-10-16,87.87384796142578
2019-07-31,86.7159194946289
2019-05-28,85.97997283935547
2019-04-26,82.97724914550781
2020-04-28,81.2109375
2019-11-25,82.2020263671875
2020-02-12,82.26090240478516
2020-05-01,83.63469696044922
2020-05-04,82.59455108642578
2019-06-12,81.161865234375
2019-04-09,80.25909423828125
2019-03-08,79.98432922363281
2019-02-04,81.20112609863281
2018-07-27,78.24746704101562
2018-08-28,81.3875732421875
2019-01-03,81.161865234375
2019-08-15,80.14134216308594
2018-10-31,83.01648712158203
2019-09-16,84.12533569335938
2020-02-18,85.77391052246094
2020-05-07,86.490234375
2018-08-17,86.94161987304688
2019-12-04,87.44208526611328
2020-02-21,88.0897216796875
2018-12-17,88.72755432128906
2019-08-30,87.71683502197266
2018-11-15,86.93180084228516
2019-07-29,87.20657348632812
2019-06-27,85.4795150756836
2019-04-24,86.80423736572266
2018-07-10,87.59907531738281
2018-09-12,87.76589965820312
2019-02-19,87.08881378173828
2019-01-18,88.1191635131836
2020-02-24,87.44208526611328
2020-05-13,88.0897216796875
2019-12-10,88.56073760986328
2020-02-27,90.47423553466797
2019-12-13,90.03266143798828
2020-05-19,89.87565612792969
2019-03-06,91.35739135742188
2018-11-30,88.59017944335938
2019-08-13,88.06028747558594
2019-07-12,87.01030731201172
2019-06-10,85.59725952148438
2019-05-09,85.6757583618164
2018-07-25,86.19583129882812
2018-09-27,85.80333709716797
2018-10-29,84.9377212524414
2019-10-16,82.30155944824219
2019-12-16,82.93109130859375
2020-03-04,80.63920593261719
2020-05-22,79.09487915039062
2019-10-01,77.25546264648438
2019-12-19,74.17665100097656
2018-09-10,77.32431030273438
2019-05-24,78.00303649902344
2018-08-09,77.26530456542969
2019-04-22,78.40631866455078
2019-03-21,79.72441864013672
2019-01-16,78.37682342529297
2019-08-28,78.19975280761719
2018-11-13,79.01619720458984
2018-10-12,80.10804748535156
2019-06-25,81.00314331054688
2020-03-10,80.85560607910156
2020-05-28,80.72772216796875
2019-10-07,80.43263244628906
2020-03-13,80.4129638671875
2019-10-10,79.68507385253906
2020-03-16,80.42279815673828
2020-06-03,82.14418029785156
2018-11-28,80.83592987060547
2018-09-25,81.08184051513672
2018-07-23,81.64251708984375
2018-08-24,82.81304931640625
2019-07-10,82.9015884399414
2019-05-07,83.63931274414062
2019-04-05,84.50492858886719
2019-03-04,84.45574188232422
2019-01-31,85.3311767578125
2019-09-12,85.8525161743164
2019-12-31,87.64276123046875
2020-03-19,88.17391204833984
2020-01-03,89.25592803955078
2020-06-09,89.89530181884766
2019-02-15,90.01333618164062
2019-01-14,91.518310546875
2018-07-06,92.23636627197266
2018-08-07,90.18054962158203
2018-10-10,90.06250762939453
2018-12-13,86.58040618896484
2019-08-26,86.51156616210938
2019-07-25,86.78697967529297
2019-05-22,88.23294067382812
2019-03-19,87.24929809570312
2020-01-06,87.19027709960938
2020-03-25,88.95100402832031
2020-06-12,88.48867797851562
2019-10-22,89.70840454101562
2020-01-09,88.71492004394531
2020-06-15,88.46900939941406
2019-10-25,87.97718811035156
2020-03-31,86.53124237060547
2020-06-18,86.54107666015625
2019-04-03,87.13126373291016
2018-08-22,87.35749053955078
2018-10-25,88.17391204833984
2019-01-29,87.58193969726562
2018-12-28,87.22676849365234
2018-11-26,87.71021270751953
2019-08-09,87.52275848388672
2019-07-08,86.56573486328125
2019-06-06,87.71021270751953
2019-09-10,86.05269622802734
2020-01-15,86.27961730957031
2020-04-03,87.23662567138672
2019-10-31,87.01957702636719
2020-04-06,88.6178970336914
2020-06-24,89.49597930908203
2018-11-09,91.40015411376953
2019-07-23,91.18309783935547
2019-06-21,92.23877716064453
2019-05-20,92.8603515625
2019-04-18,93.64964294433594
2018-09-06,93.13660430908203
2018-10-08,92.23877716064453
2019-02-13,92.08092498779297
2018-12-11,92.51502990722656
2019-09-25,93.3043212890625
2020-01-21,92.81101989746094
2020-04-09,92.64329528808594
2019-11-06,92.64329528808594
2020-01-24,92.49529266357422
2020-01-27,92.7024917602539
2020-04-15,94.705322265625
2018-12-26,94.22188568115234
2019-08-07,95.26769256591797
2019-06-04,96.9942626953125
2018-09-21,97.09294128417969
2018-07-19,97.9019546508789
2018-08-20,97.7145004272461
2018-10-23,97.59610748291016
2019-05-03,100.82234954833984
2019-04-01,99.87519073486328
2019-02-28,98.03022003173828
2019-11-12,98.28673553466797
2020-01-30,98.76031494140625
2019-11-15,98.93790435791016
2020-04-21,97.74410247802734
2019-04-16,98.06968688964844
2019-03-15,99.08589172363281
2019-02-11,100.50662994384766
2019-01-10,99.1253662109375
2019-08-22,98.64192962646484
2018-11-07,100.1218490600586
2018-08-03,98.59259033203125
2018-09-04,97.77369689941406
2019-06-19,97.9512939453125
2019-09-23,97.4974365234375
2019-11-18,96.48123931884766
2020-02-05,98.14861297607422
2020-04-24,95.75113677978516
2019-03-29,98.26701354980469
2019-11-21,99.0760269165039
2020-04-27,101.92736053466797
2020-02-11,102.3121337890625
2020-04-30,102.74624633789062
2019-05-01,104.12751007080078
2019-02-26,103.59473419189453
2019-01-25,103.1408920288086
2018-12-24,104.16963195800781
2019-09-06,104.87193298339844
2018-07-17,103.51677703857422
2018-09-19,105.00054168701172
2019-08-05,105.99960327148438
2019-10-08,107.08768463134766
2019-12-11,106.67223358154297
2019-11-27,106.72168731689453
2020-02-14,106.40515899658203
2020-05-06,106.42493438720703
2019-01-08,107.5921630859375
