Dates,MCO
2018-06-20,170.04974365234375
2018-06-21,169.0302276611328
2018-06-25,169.01063537597656
2018-06-22,166.25604248046875
2018-06-26,166.12860107421875
2018-06-27,165.1483154296875
2018-06-28,167.21670532226562
2018-06-29,167.19711303710938
2018-07-02,167.59901428222656
2018-07-03,166.4128875732422
2018-07-05,167.687255859375
2018-07-16,169.4027557373047
2018-09-18,171.9906768798828
2019-01-24,173.2062530517578
2019-09-05,174.5198211669922
2018-11-21,177.93124389648438
2020-01-13,178.3723602294922
2020-04-01,178.72525024414062
2020-06-19,179.08795166015625
2019-10-29,180.85247802734375
2020-01-16,178.75466918945312
2020-06-22,181.76414489746094
2018-10-03,182.45034790039062
2018-07-31,181.96998596191406
2019-03-12,183.33258056640625
2019-02-08,182.05819702148438
2019-01-07,173.11802673339844
2018-12-06,167.44216918945312
2019-08-19,167.74606323242188
2019-07-18,167.77548217773438
2019-05-15,168.50091552734375
2019-09-20,169.2753143310547
2019-11-01,168.18722534179688
2020-04-07,169.83407592773438
2020-06-25,169.1968994140625
2020-06-16,168.64794921875
2019-11-04,167.61863708496094
2020-01-22,166.03054809570312
2019-11-07,167.5500030517578
2020-04-13,166.12860107421875
2019-07-01,168.18722534179688
2019-05-30,168.55081176757812
2018-08-15,168.27565002441406
2018-10-18,168.9538116455078
2019-03-27,168.86534118652344
2019-01-22,168.36412048339844
2018-12-21,170.2216033935547
2019-09-03,172.3739471435547
2018-11-19,173.23883056640625
2019-08-02,173.28794860839844
2020-01-28,173.71055603027344
2020-04-16,174.95872497558594
2019-11-13,175.06683349609375
2020-01-31,173.07174682617188
2018-12-04,173.6122589111328
2018-11-02,173.75970458984375
2019-07-16,174.11351013183594
2018-08-30,174.66387939453125
2018-10-01,175.82357788085938
2019-06-14,176.1773681640625
2019-05-13,178.42799377441406
2019-04-11,173.86781311035156
2019-02-06,174.79164123535156
2019-09-18,174.7425079345703
2020-02-03,175.67617797851562
2020-04-22,171.58770751953125
2019-11-19,172.5312042236328
2020-02-06,169.9365997314453
2019-11-22,169.83831787109375
2019-03-25,170.47715759277344
2019-02-21,164.3247833251953
2018-12-19,166.64419555664062
2018-07-12,163.7154541015625
2018-09-14,163.38128662109375
2018-08-13,160.23629760742188
2018-10-16,158.585205078125
2019-07-31,158.87020874023438
2019-05-28,158.87020874023438
2019-04-26,153.35667419433594
2020-04-28,150.6736297607422
2019-11-25,153.24856567382812
2020-02-12,153.7694854736328
2020-05-01,156.9439239501953
2020-05-04,159.04713439941406
2019-06-12,155.54833984375
2019-04-09,157.02255249023438
2019-03-08,156.6981964111328
2019-02-04,154.52622985839844
2018-07-27,151.37142944335938
2018-08-28,152.4033966064453
2019-01-03,139.19448852539062
2019-08-15,138.83084106445312
2018-10-31,138.71292114257812
2019-09-16,142.97828674316406
2020-02-18,147.36158752441406
2020-05-07,146.8898468017578
2018-08-17,148.39353942871094
2019-12-04,148.0397186279297
2020-02-21,150.81121826171875
2018-12-17,152.66873168945312
2019-08-30,150.86036682128906
2018-11-15,147.48936462402344
2019-07-29,145.51393127441406
2019-06-27,143.8431396484375
2019-04-24,144.92425537109375
2018-07-10,144.7178497314453
2018-09-12,145.64170837402344
2019-02-19,143.76878356933594
2019-01-18,148.6087188720703
2020-02-24,148.04685974121094
2020-05-13,151.7236328125
2019-12-10,150.53089904785156
2020-02-27,156.44529724121094
2019-12-13,154.4048309326172
2020-05-19,156.80015563964844
2019-03-06,155.94256591796875
2018-11-30,150.2746124267578
2019-08-13,147.70184326171875
2019-07-12,143.6997833251953
2019-06-10,143.6702423095703
2019-05-09,143.3350830078125
2018-07-25,146.31198120117188
2018-09-27,146.8245391845703
2018-10-29,143.4435272216797
2019-10-16,139.37242126464844
2019-12-16,140.17086791992188
2020-03-04,137.5093994140625
2020-05-22,134.7197723388672
2019-10-01,130.68814086914062
2019-12-19,127.50423431396484
2018-09-10,134.70005798339844
2019-05-24,137.95298767089844
2018-08-09,137.36154174804688
2019-04-22,138.04168701171875
2019-03-21,138.8401336669922
2019-01-16,134.2367706298828
2019-08-28,141.23545837402344
2018-11-13,141.7578887939453
2018-10-12,143.81808471679688
2019-06-25,144.3010711669922
2020-03-10,146.9132843017578
2020-05-28,146.84425354003906
2019-10-07,147.0906982421875
2020-03-13,151.04347229003906
2019-10-10,153.18251037597656
2020-03-16,155.60740661621094
2020-06-03,157.1254425048828
2018-11-28,153.26136779785156
2018-09-25,152.6009063720703
2018-07-23,151.92079162597656
2018-08-24,154.29638671875
2019-07-10,153.6556854248047
2019-05-07,152.9262237548828
2019-04-05,154.2372589111328
2019-03-04,156.24813842773438
2019-01-31,157.91403198242188
2019-09-12,158.37730407714844
2019-12-31,160.44735717773438
2020-03-19,159.39260864257812
2020-01-03,158.46603393554688
2020-06-09,158.732177734375
2019-02-15,159.4912109375
2019-01-14,160.82191467285156
2018-07-06,162.26109313964844
2018-08-07,161.39366149902344
2018-10-10,166.8447265625
2018-12-13,165.56329345703125
2019-08-26,167.04188537597656
2019-07-25,168.16563415527344
2019-05-22,170.73605346679688
2019-03-19,170.53831481933594
2020-01-06,170.52842712402344
2020-03-25,171.62582397460938
2020-06-12,171.15127563476562
2019-10-22,173.67227172851562
2020-01-09,170.28128051757812
2020-06-15,169.11471557617188
2019-10-25,168.2150421142578
2020-03-31,167.4340362548828
2020-06-18,168.0074462890625
2019-04-03,169.5892333984375
2018-08-22,170.4691162109375
2018-10-25,171.58627319335938
2019-01-29,172.99012756347656
2018-12-28,174.68067932128906
2018-11-26,175.94613647460938
2019-08-09,176.59861755371094
2019-07-08,175.2342987060547
2019-06-06,179.92041015625
2019-09-10,175.86703491210938
2020-01-15,175.3925018310547
2020-04-03,175.88681030273438
2019-10-31,175.81759643554688
2020-04-06,177.3499755859375
2020-06-24,179.03065490722656
2018-11-09,182.38206481933594
2019-07-23,182.94561767578125
2019-06-21,184.102294921875
2019-05-20,184.7053680419922
2019-04-18,185.11068725585938
2018-09-06,185.04150390625
2018-10-08,184.53729248046875
2019-02-13,183.17298889160156
2018-12-11,183.14334106445312
2019-09-25,184.982177734375
2020-01-21,187.0583038330078
2020-04-09,188.3731689453125
2019-11-06,185.8323974609375
2020-01-24,186.91000366210938
2020-01-27,185.95101928710938
2020-04-15,186.49478149414062
2018-12-26,192.1595916748047
