Dates,MCO
2018-06-20,683500.0
2018-06-21,515100.0
2018-06-25,752100.0
2018-06-22,793600.0
2018-06-26,596900.0
2018-06-27,665900.0
2018-06-28,711100.0
2018-06-29,888900.0
2018-07-02,1040100.0
2018-07-03,437100.0
2018-07-05,681700.0
2018-07-16,682500.0
2018-09-18,639200.0
2019-01-24,768700.0
2019-09-05,770600.0
2018-11-21,1181000.0
2020-01-13,604300.0
2020-04-01,509500.0
2020-06-19,534500.0
2019-10-29,787400.0
2020-01-16,541900.0
2020-06-22,679000.0
2018-10-03,642700.0
2018-07-31,554600.0
2019-03-12,657300.0
2019-02-08,787900.0
2019-01-07,2120000.0
2018-12-06,1692100.0
2019-08-19,1527700.0
2019-07-18,888200.0
2019-05-15,884200.0
2019-09-20,854200.0
2019-11-01,741400.0
2020-04-07,740300.0
2020-06-25,371800.0
2020-06-16,651300.0
2019-11-04,751300.0
2020-01-22,675400.0
2019-11-07,494700.0
2020-04-13,571700.0
2019-07-01,804700.0
2019-05-30,593000.0
2018-08-15,596300.0
2018-10-18,1253100.0
2019-03-27,772600.0
2019-01-22,541600.0
2018-12-21,451100.0
2019-09-03,727000.0
2018-11-19,827900.0
2019-08-02,723400.0
2020-01-28,718800.0
2020-04-16,592500.0
2019-11-13,861900.0
2020-01-31,713500.0
2018-12-04,501700.0
2018-11-02,785600.0
2019-07-16,477300.0
2018-08-30,783900.0
2018-10-01,548100.0
2019-06-14,418300.0
2019-05-13,535300.0
2019-04-11,988200.0
2019-02-06,887800.0
2019-09-18,691600.0
2020-02-03,719900.0
2020-04-22,2384500.0
2019-11-19,804600.0
2020-02-06,831000.0
2019-11-22,677500.0
2019-03-25,526600.0
2019-02-21,1366900.0
2018-12-19,745900.0
2018-07-12,779100.0
2018-09-14,747200.0
2018-08-13,1340900.0
2018-10-16,1124700.0
2019-07-31,1185400.0
2019-05-28,780700.0
2019-04-26,1314900.0
2020-04-28,1582000.0
2019-11-25,1643700.0
2020-02-12,1680700.0
2020-05-01,888400.0
2020-05-04,928900.0
2019-06-12,1285900.0
2019-04-09,1098500.0
2019-03-08,782000.0
2019-02-04,978600.0
2018-07-27,1007700.0
2018-08-28,1885500.0
2019-01-03,4445000.0
2019-08-15,2307500.0
2018-10-31,1867300.0
2019-09-16,1851800.0
2020-02-18,1490300.0
2020-05-07,1149300.0
2018-08-17,1045100.0
2019-12-04,944000.0
2020-02-21,1016400.0
2018-12-17,1156600.0
2019-08-30,1718700.0
2018-11-15,1327100.0
2019-07-29,1102400.0
2019-06-27,1534900.0
2019-04-24,1253900.0
2018-07-10,1565000.0
2018-09-12,1279100.0
2019-02-19,1270800.0
2019-01-18,1761700.0
2020-02-24,522700.0
2020-05-13,1148200.0
2019-12-10,829100.0
2020-02-27,1121600.0
2019-12-13,1222000.0
2020-05-19,2937900.0
2019-03-06,1291300.0
2018-11-30,1318400.0
2019-08-13,1523700.0
2019-07-12,1165800.0
2019-06-10,973600.0
2019-05-09,1141900.0
2018-07-25,1567600.0
2018-09-27,1103700.0
2018-10-29,1482300.0
2019-10-16,1509200.0
2019-12-16,1245400.0
2020-03-04,1554300.0
2020-05-22,1881900.0
2019-10-01,2324400.0
2019-12-19,724500.0
2018-09-10,1250200.0
2019-05-24,1126800.0
2018-08-09,769800.0
2019-04-22,679300.0
2019-03-21,1196400.0
2019-01-16,1064500.0
2019-08-28,1139200.0
2018-11-13,941300.0
2018-10-12,1437500.0
2019-06-25,1017100.0
2020-03-10,929800.0
