Dates,MCO
2018-06-20,173.47000122070312
2018-06-21,172.42999267578125
2018-06-25,172.41000366210938
2018-06-22,169.60000610351562
2018-06-26,169.47000122070312
2018-06-27,168.47000122070312
2018-06-28,170.5800018310547
2018-06-29,170.55999755859375
2018-07-02,170.97000122070312
2018-07-03,169.75999450683594
2018-07-05,171.05999755859375
2018-07-16,172.80999755859375
2018-09-18,175.4499969482422
2019-01-24,176.69000244140625
2019-09-05,178.02999877929688
2018-11-21,181.50999450683594
2020-01-13,181.9600067138672
2020-04-01,182.32000732421875
2020-06-19,182.69000244140625
2019-10-29,184.49000549316406
2020-01-16,182.35000610351562
2020-06-22,185.4199981689453
2018-10-03,186.1199951171875
2018-07-31,185.6300048828125
2019-03-12,187.02000427246094
2019-02-08,185.72000122070312
2019-01-07,176.60000610351562
2018-12-06,170.80999755859375
2019-08-19,171.1199951171875
2019-07-18,171.14999389648438
2019-05-15,171.88999938964844
2019-09-20,172.67999267578125
2019-11-01,171.57000732421875
2020-04-07,173.25
2020-06-25,172.60000610351562
2020-06-16,172.0399932861328
2019-11-04,170.99000549316406
2020-01-22,169.3699951171875
2019-11-07,170.9199981689453
2020-04-13,169.47000122070312
2019-07-01,171.57000732421875
2019-05-30,171.5
2018-08-15,171.22000122070312
2018-10-18,171.91000366210938
2019-03-27,171.82000732421875
2019-01-22,171.30999755859375
2018-12-21,173.1999969482422
2019-09-03,175.38999938964844
2018-11-19,176.27000427246094
2019-08-02,176.32000732421875
2020-01-28,176.75
2020-04-16,178.02000427246094
2019-11-13,178.1300048828125
2020-01-31,176.10000610351562
2018-12-04,176.64999389648438
2018-11-02,176.8000030517578
2019-07-16,177.16000366210938
2018-08-30,177.72000122070312
2018-10-01,178.89999389648438
2019-06-14,179.25999450683594
2019-05-13,181.5500030517578
2019-04-11,176.91000366210938
2019-02-06,177.85000610351562
2019-09-18,177.8000030517578
2020-02-03,178.75
2020-04-22,174.58999633789062
2019-11-19,175.5500030517578
2020-02-06,172.91000366210938
2019-11-22,172.80999755859375
2019-03-25,173.4600067138672
2019-02-21,167.1999969482422
2018-12-19,169.55999755859375
2018-07-12,166.5800018310547
2018-09-14,166.24000549316406
2018-08-13,163.0399932861328
2018-10-16,161.36000061035156
2019-07-31,161.64999389648438
2019-05-28,161.64999389648438
2019-04-26,156.0399932861328
2020-04-28,153.30999755859375
2019-11-25,155.92999267578125
2020-02-12,156.4600067138672
2020-05-01,159.69000244140625
2020-05-04,161.8300018310547
2019-06-12,158.27000427246094
2019-04-09,159.77000427246094
2019-03-08,159.44000244140625
2019-02-04,157.22999572753906
2018-07-27,154.02000427246094
2018-08-28,155.07000732421875
2019-01-03,141.6300048828125
2019-08-15,141.25999450683594
2018-10-31,141.13999938964844
2019-09-16,145.47999572753906
2020-02-18,149.94000244140625
2020-05-07,149.4600067138672
2018-08-17,150.99000549316406
2019-12-04,150.6300048828125
2020-02-21,153.4499969482422
2018-12-17,155.33999633789062
2019-08-30,153.5
2018-11-15,150.07000732421875
2019-07-29,148.05999755859375
2019-06-27,146.36000061035156
