Dates,WDC
2018-06-20,80.04000091552734
2018-06-21,80.7300033569336
2018-06-25,79.54000091552734
2018-06-22,77.01000213623047
2018-06-26,77.72000122070312
2018-06-27,77.27999877929688
2018-06-28,76.4000015258789
2018-06-29,77.20999908447266
2018-07-02,76.05999755859375
2018-07-03,76.62000274658203
2018-07-05,76.55000305175781
2018-07-16,76.48999786376953
2018-09-18,78.12000274658203
2019-01-24,79.12999725341797
2019-09-05,77.88999938964844
2018-11-21,78.33000183105469
2020-01-13,78.77999877929688
2020-04-01,78.2300033569336
2020-06-19,77.66000366210938
2019-10-29,78.5199966430664
2020-01-16,77.19000244140625
2020-06-22,76.5
2018-10-03,74.80999755859375
2018-07-31,74.97000122070312
2019-03-12,75.05000305175781
2019-02-08,75.37999725341797
2019-01-07,69.95999908447266
2018-12-06,69.52999877929688
2019-08-19,70.12000274658203
2019-07-18,69.19000244140625
2019-05-15,68.41000366210938
2019-09-20,67.33000183105469
2019-11-01,67.62000274658203
2020-04-07,67.72000122070312
2020-06-25,67.0199966430664
2020-06-16,65.30000305175781
2019-11-04,64.68000030517578
2020-01-22,64.04000091552734
2019-11-07,64.36000061035156
2020-04-13,61.540000915527344
2019-07-01,64.36000061035156
2019-05-30,63.650001525878906
2018-08-15,63.310001373291016
2018-10-18,64.36000061035156
2019-03-27,63.939998626708984
2019-01-22,63.18000030517578
2018-12-21,63.470001220703125
2019-09-03,64.0
2018-11-19,64.16999816894531
2019-08-02,63.36000061035156
2020-01-28,62.88999938964844
2020-04-16,62.599998474121094
2019-11-13,58.91999816894531
2020-01-31,59.29999923706055
2018-12-04,57.529998779296875
2018-11-02,56.61000061035156
2019-07-16,56.90999984741211
2018-08-30,54.119998931884766
2018-10-01,53.61000061035156
2019-06-14,56.150001525878906
2019-05-13,56.16999816894531
2019-04-11,56.70000076293945
2019-02-06,57.2599983215332
2019-09-18,57.97999954223633
2020-02-03,59.13999938964844
2020-04-22,59.11000061035156
2019-11-19,59.52000045776367
2020-02-06,58.970001220703125
2019-11-22,57.939998626708984
2019-03-25,58.08000183105469
2019-02-21,57.630001068115234
2018-12-19,57.36000061035156
2018-07-12,57.66999816894531
2018-09-14,57.7599983215332
2018-08-13,56.060001373291016
2018-10-16,56.0099983215332
2019-07-31,55.33000183105469
2019-05-28,53.58000183105469
2019-04-26,53.95000076293945
2020-04-28,53.75
2019-11-25,53.88999938964844
2020-02-12,53.810001373291016
2020-05-01,54.779998779296875
2020-05-04,55.36000061035156
2019-06-12,55.38999938964844
