Dates,WDC
2018-06-20,81.16999816894531
2018-06-21,83.77999877929688
2018-06-25,81.37999725341797
2018-06-22,79.47000122070312
2018-06-26,78.80999755859375
2018-06-27,78.91999816894531
2018-06-28,77.58000183105469
2018-06-29,78.55999755859375
2018-07-02,78.16999816894531
2018-07-03,78.80999755859375
2018-07-05,77.72000122070312
2018-07-16,78.02999877929688
2018-09-18,79.69999694824219
2019-01-24,80.12000274658203
2019-09-05,79.33999633789062
2018-11-21,78.93000030517578
2020-01-13,80.05999755859375
2020-04-01,79.68000030517578
2020-06-19,79.11000061035156
2019-10-29,79.26000213623047
2020-01-16,78.83999633789062
2020-06-22,77.66999816894531
2018-10-03,76.52999877929688
2018-07-31,76.9800033569336
2019-03-12,76.13999938964844
2019-02-08,77.54000091552734
2019-01-07,75.0
2018-12-06,71.9000015258789
2019-08-19,71.72000122070312
2019-07-18,70.43000030517578
2019-05-15,69.16000366210938
2019-09-20,68.8499984741211
2019-11-01,68.45999908447266
2020-04-07,69.55000305175781
2020-06-25,67.75
2020-06-16,67.0
2019-11-04,65.97000122070312
2020-01-22,65.37999725341797
2019-11-07,65.79000091552734
2020-04-13,64.19000244140625
2019-07-01,65.48999786376953
2019-05-30,64.94000244140625
2018-08-15,64.8499984741211
2018-10-18,65.23999786376953
2019-03-27,64.86000061035156
2019-01-22,64.44999694824219
2018-12-21,64.25
2019-09-03,65.22000122070312
2018-11-19,64.93000030517578
2019-08-02,64.86000061035156
2020-01-28,63.5
2020-04-16,63.33000183105469
2019-11-13,61.75
2020-01-31,60.86000061035156
2018-12-04,59.86000061035156
2018-11-02,58.349998474121094
2019-07-16,58.060001373291016
2018-08-30,55.880001068115234
2018-10-01,57.66999816894531
2019-06-14,57.720001220703125
2019-05-13,57.95000076293945
2019-04-11,58.11000061035156
2019-02-06,59.11000061035156
2019-09-18,58.939998626708984
2020-02-03,60.66999816894531
2020-04-22,61.09000015258789
2019-11-19,60.619998931884766
2020-02-06,60.43000030517578
2019-11-22,59.439998626708984
2019-03-25,59.20000076293945
2019-02-21,59.22999954223633
2018-12-19,59.560001373291016
2018-07-12,59.279998779296875
2018-09-14,59.2400016784668
2018-08-13,57.88999938964844
2018-10-16,57.38999938964844
2019-07-31,56.459999084472656
2019-05-28,55.63999938964844
2019-04-26,55.36000061035156
2020-04-28,55.90999984741211
2019-11-25,55.65999984741211
2020-02-12,55.470001220703125
2020-05-01,56.2400016784668
2020-05-04,56.86000061035156
2019-06-12,56.869998931884766
2019-04-09,57.779998779296875
2019-03-08,57.119998931884766
2019-02-04,56.04999923706055
2018-07-27,55.720001220703125
2018-08-28,54.84000015258789
2019-01-03,47.56999969482422
2019-08-15,44.93000030517578
2018-10-31,42.599998474121094
2019-09-16,44.189998626708984
2020-02-18,47.400001525878906
2020-05-07,47.9900016784668
2018-08-17,49.220001220703125
2019-12-04,49.189998626708984
2020-02-21,49.58000183105469
2018-12-17,48.91999816894531
2019-08-30,47.2599983215332
2018-11-15,45.31999969482422
2019-07-29,44.84000015258789
2019-06-27,46.45000076293945
2019-04-24,47.119998931884766
2018-07-10,47.060001373291016
2018-09-12,46.779998779296875
2019-02-19,46.58000183105469
2019-01-18,47.70000076293945
2020-02-24,48.09000015258789
2020-05-13,48.5
2019-12-10,48.939998626708984
2020-02-27,49.380001068115234
2019-12-13,48.0
2020-05-19,45.709999084472656
2019-03-06,46.540000915527344
2018-11-30,46.369998931884766
2019-08-13,43.65999984741211
2019-07-12,43.77000045776367
2019-06-10,42.040000915527344
2019-05-09,42.65999984741211
2018-07-25,42.279998779296875
2018-09-27,41.220001220703125
2018-10-29,39.9900016784668
2019-10-16,40.119998931884766
2019-12-16,39.810001373291016
2020-03-04,39.16999816894531
2020-05-22,38.36000061035156
2019-10-01,37.61000061035156
2019-12-19,36.349998474121094
2018-09-10,37.0
2019-05-24,36.90999984741211
2018-08-09,37.56999969482422
2019-04-22,38.09000015258789
2019-03-21,38.869998931884766
2019-01-16,37.15999984741211
2019-08-28,37.41999816894531
2018-11-13,38.720001220703125
2018-10-12,39.43000030517578
2019-06-25,41.59000015258789
2020-03-10,40.25
2020-05-28,40.529998779296875
2019-10-07,38.16999816894531
2020-03-13,38.2400016784668
2019-10-10,38.7400016784668
2020-03-16,37.38999938964844
2020-06-03,39.220001220703125
2018-11-28,38.970001220703125
2018-09-25,38.349998474121094
2018-07-23,41.34000015258789
2018-08-24,47.95000076293945
2019-07-10,44.150001525878906
2019-05-07,44.529998779296875
2019-04-05,43.9900016784668
2019-03-04,45.06999969482422
2019-01-31,47.279998779296875
2019-09-12,47.88999938964844
2019-12-31,48.25
2020-03-19,48.68000030517578
2020-01-03,47.5
2020-06-09,46.72999954223633
2019-02-15,46.880001068115234
2019-01-14,47.83000183105469
2018-07-06,48.75
2018-08-07,48.40999984741211
2018-10-10,48.459999084472656
2018-12-13,48.9900016784668
2019-08-26,49.189998626708984
2019-07-25,48.5
2019-05-22,49.54999923706055
2019-03-19,52.2400016784668
2020-01-06,51.599998474121094
2020-03-25,51.369998931884766
2020-06-12,50.52000045776367
2019-10-22,51.95000076293945
2020-01-09,53.400001525878906
2020-06-15,52.2400016784668
2019-10-25,50.36000061035156
2020-03-31,47.86000061035156
2020-06-18,47.560001373291016
2019-04-03,50.0
2018-08-22,50.560001373291016
2018-10-25,49.470001220703125
2019-01-29,48.720001220703125
2018-12-28,49.130001068115234
2018-11-26,48.66999816894531
2019-08-09,48.84000015258789
2019-07-08,48.16999816894531
2019-06-06,52.27000045776367
2019-09-10,51.45000076293945
2020-01-15,48.849998474121094
2020-04-03,48.93000030517578
2019-10-31,47.45000076293945
2020-04-06,46.279998779296875
2020-06-24,48.599998474121094
2018-11-09,49.58000183105469
2019-07-23,50.84000015258789
