Dates,EURUSD=X
2020-01-01,1.1220825910568237
2020-01-02,1.1220825910568237
2020-01-07,1.1171437501907349
2020-01-03,1.1161960363388062
2020-01-06,1.1197994947433472
2020-01-08,1.1154738664627075
2020-01-09,1.1113210916519165
2020-01-10,1.1111111640930176
2020-01-13,1.1116669178009033
2020-01-14,1.1135733127593994
2020-01-15,1.113089919090271
2020-01-27,1.1154004335403442
2020-02-20,1.1139578819274902
2020-02-12,1.1094592809677124
2020-02-04,1.109693169593811
2020-04-08,1.108561396598816
2020-05-28,1.1096439361572266
2020-07-08,1.1055220365524292
2020-05-31,1.1025358438491821
2020-05-12,1.101976990699768
2020-06-22,1.1022562980651855
2020-06-03,1.1016855239868164
2020-03-06,1.1029127836227417
2020-02-27,1.1089794635772705
2020-02-19,1.1062926054000854
2020-04-15,1.1047282218933105
2020-02-03,1.1002310514450073
2020-02-11,1.0982975959777832
2020-04-07,1.0949305295944214
2020-03-30,1.0913456678390503
2020-04-23,1.091941475868225
2020-05-17,1.0875948667526245
2020-07-14,1.0845986604690552
2020-06-25,1.0841753482818604
2020-06-16,1.0840108394622803
2020-05-18,1.079540491104126
2020-04-29,1.081009864807129
2020-06-28,1.078799843788147
2020-06-09,1.0839051008224487
2020-05-21,1.0849199295043945
2020-01-17,1.0881996154785156
2020-03-13,1.0885894298553467
2020-03-05,1.0997228622436523
2020-02-26,1.1051311492919922
2020-02-18,1.1144047975540161
2020-03-29,1.118067979812622
2020-02-10,1.113908290863037
2020-04-14,1.1223849058151245
2020-04-06,1.1386020183563232
2020-04-22,1.1397960186004639
2020-07-01,1.1316505670547485
2020-05-24,1.1261515617370605
2020-04-16,1.1184931993484497
2020-06-15,1.115536093711853
2020-05-27,1.1163206100463867
2020-07-07,1.101552128791809
2020-03-31,1.0961546897888184
2020-06-18,1.0657345056533813
2020-04-05,1.0694386959075928
2020-04-13,1.0764610767364502
2020-03-20,1.080263614654541
2020-03-12,1.0889569520950317
2020-01-16,1.1048258543014526
2020-01-24,1.113908290863037
2020-03-04,1.1030466556549072
2020-02-25,1.102657437324524
2020-02-17,1.0953621864318848
2020-04-21,1.0847399234771729
2020-05-11,1.0806955099105835
2020-06-21,1.0803803205490112
2020-06-02,1.0895144939422607
2020-05-14,1.0863661766052246
2020-07-13,1.0927408933639526
2020-06-24,1.0932666063308716
2020-02-28,1.0922993421554565
2020-01-23,1.098538875579834
2020-02-24,1.0905101299285889
2020-04-12,1.0858471393585205
2020-01-31,1.0866966247558594
2020-03-19,1.0864840745925903
2020-03-27,1.0856467485427856
2020-03-11,1.080964207649231
2020-03-03,1.077702283859253
2020-04-20,1.08236825466156
2020-04-28,1.0824854373931885
2020-07-16,1.0836584568023682
2020-06-08,1.087725043296814
2020-05-20,1.094546914100647
2020-06-30,1.0959625244140625
2020-06-11,1.0904293060302734
2020-03-10,1.0838581323623657
2020-03-02,1.0798553228378296
2020-01-22,1.0837171077728271
2020-01-30,1.0839520692825317
2020-02-07,1.080940842628479
2020-03-26,1.0846810340881348
2020-03-18,1.08236825466156
2020-04-19,1.0806955099105835
2020-04-27,1.0821340084075928
2020-05-05,1.0915124416351318
2020-05-26,1.0927767753601074
2020-06-14,1.0982975959777832
2020-05-07,1.0952903032302856
2020-07-06,1.0907801389694214
2020-06-17,1.0902997255325317
2020-05-10,1.0981770753860474
2020-07-09,1.1016855239868164
2020-06-01,1.1079105138778687
2020-01-21,1.1118524074554443
2020-01-29,1.1125946044921875
2020-03-25,1.118943691253662
2020-03-17,1.1235954761505127
2020-03-09,1.1337867975234985
2020-02-14,1.1319515705108643
2020-02-06,1.1305567026138306
2020-04-02,1.1332215070724487
2020-04-26,1.1365444660186768
2020-05-04,1.1288082599639893
2020-05-13,1.1252011060714722
2020-07-12,1.1337740421295166
2020-06-23,1.1265701055526733
2020-06-04,1.1242902278900146
2020-06-07,1.1211000680923462
2020-05-19,1.1177555322647095
2020-04-30,1.1279679536819458
2020-04-09,1.1312345266342163
2020-04-01,1.1250872611999512
2020-03-24,1.1222084760665894
2020-03-16,1.1225864887237549
2020-01-20,1.1247202157974243
2020-01-28,1.1235954761505127
2020-02-05,1.1251378059387207
2020-02-21,1.1237848997116089
2020-02-13,1.1247202157974243
2020-03-23,1.1312856674194336
2020-06-29,1.1275228261947632
2020-06-10,1.1339154243469238
2020-05-03,1.1287955045700073
2020-07-02,1.1310042142868042
2020-05-25,1.134549617767334
2020-05-06,1.1410704851150513
2020-07-05,1.1388224363327026
