Dates,HRL
2018-06-20,35.79999923706055
2018-06-21,35.56999969482422
2018-06-25,35.880001068115234
2018-06-22,36.220001220703125
2018-06-26,36.70000076293945
2018-06-27,37.029998779296875
2018-06-28,36.779998779296875
2018-06-29,37.15999984741211
2018-07-02,37.150001525878906
2018-07-03,36.779998779296875
2018-07-05,36.91999816894531
2018-07-16,37.130001068115234
2018-09-18,37.15999984741211
2019-01-24,37.119998931884766
2019-09-05,37.33000183105469
2018-11-21,37.560001373291016
2020-01-13,37.380001068115234
2020-04-01,37.560001373291016
2020-06-19,36.630001068115234
2019-10-29,36.66999816894531
2020-01-16,36.38999938964844
2020-06-22,37.08000183105469
2018-10-03,37.2599983215332
2018-07-31,37.119998931884766
2019-03-12,36.52000045776367
2019-02-08,36.41999816894531
2019-01-07,36.630001068115234
2018-12-06,35.810001373291016
2019-08-19,35.79999923706055
2019-07-18,35.7599983215332
2019-05-15,35.849998474121094
2019-09-20,36.709999084472656
2019-11-01,37.209999084472656
2020-04-07,37.11000061035156
2020-06-25,37.189998626708984
2020-06-16,37.16999816894531
2019-11-04,37.09000015258789
2020-01-22,37.25
2019-11-07,37.15999984741211
2020-04-13,37.13999938964844
2019-07-01,37.66999816894531
2019-05-30,37.779998779296875
2018-08-15,38.689998626708984
2018-10-18,39.04999923706055
2019-03-27,38.5
2019-01-22,36.29999923706055
2018-12-21,37.16999816894531
2019-09-03,38.04999923706055
2018-11-19,37.900001525878906
2019-08-02,38.130001068115234
2020-01-28,38.33000183105469
2020-04-16,38.68000030517578
2019-11-13,39.13999938964844
2020-01-31,39.810001373291016
2018-12-04,40.380001068115234
2018-11-02,41.0
2019-07-16,41.38999938964844
2018-08-30,41.59000015258789
2018-10-01,41.599998474121094
2019-06-14,42.15999984741211
2019-05-13,42.16999816894531
2019-04-11,41.25
2019-02-06,40.970001220703125
2019-09-18,40.619998931884766
2020-02-03,39.689998626708984
2020-04-22,39.88999938964844
2019-11-19,40.040000915527344
2020-02-06,40.0
2019-11-22,39.709999084472656
2019-03-25,39.16999816894531
2019-02-21,38.93000030517578
2018-12-19,39.470001220703125
2018-07-12,39.349998474121094
2018-09-14,39.540000915527344
2018-08-13,39.65999984741211
2018-10-16,39.59000015258789
2019-07-31,39.70000076293945
2019-05-28,40.5099983215332
2019-04-26,40.86000061035156
2020-04-28,39.9900016784668
2019-11-25,39.7599983215332
2020-02-12,39.709999084472656
2020-05-01,40.54999923706055
2020-05-04,41.189998626708984
2019-06-12,40.97999954223633
2019-04-09,41.13999938964844
2019-03-08,41.95000076293945
2019-02-04,41.47999954223633
2018-07-27,42.54999923706055
2018-08-28,41.959999084472656
2019-01-03,41.400001525878906
2019-08-15,41.61000061035156
2018-10-31,42.86000061035156
2019-09-16,43.0
2020-02-18,43.68000030517578
2020-05-07,43.529998779296875
2018-08-17,43.290000915527344
2019-12-04,43.72999954223633
2020-02-21,44.189998626708984
2018-12-17,44.130001068115234
2019-08-30,44.59000015258789
2018-11-15,45.029998779296875
2019-07-29,45.310001373291016
2019-06-27,45.34000015258789
2019-04-24,44.619998931884766
2018-07-10,45.400001525878906
2018-09-12,45.900001525878906
2019-02-19,44.79999923706055
2019-01-18,45.09000015258789
2020-02-24,45.2400016784668
2020-05-13,45.790000915527344
2019-12-10,44.970001220703125
2020-02-27,44.689998626708984
2019-12-13,44.86000061035156
2020-05-19,45.290000915527344
2019-03-06,45.11000061035156
2018-11-30,45.59000015258789
2019-08-13,44.900001525878906
2019-07-12,44.900001525878906
2019-06-10,44.5
2019-05-09,44.54999923706055
