Dates,HRL
2018-06-20,35.86000061035156
2018-06-21,35.91999816894531
2018-06-25,36.36000061035156
2018-06-22,37.040000915527344
2018-06-26,37.18000030517578
2018-06-27,37.09000015258789
2018-06-28,37.27000045776367
2018-06-29,37.400001525878906
2018-07-02,37.439998626708984
2018-07-03,37.209999084472656
2018-07-05,37.2400016784668
2018-07-16,37.45000076293945
2018-09-18,37.470001220703125
2019-01-24,37.349998474121094
2019-09-05,37.54999923706055
2018-11-21,37.779998779296875
2020-01-13,37.689998626708984
2020-04-01,37.560001373291016
2020-06-19,36.79999923706055
2019-10-29,36.68000030517578
2020-01-16,37.2599983215332
2020-06-22,37.290000915527344
2018-10-03,37.2599983215332
2018-07-31,37.400001525878906
2019-03-12,36.84000015258789
2019-02-08,36.88999938964844
2019-01-07,36.90999984741211
2018-12-06,36.040000915527344
2019-08-19,36.18000030517578
2019-07-18,36.209999084472656
2019-05-15,36.540000915527344
2019-09-20,37.349998474121094
2019-11-01,37.310001373291016
2020-04-07,37.369998931884766
2020-06-25,37.27000045776367
2020-06-16,37.27000045776367
2019-11-04,37.20000076293945
2020-01-22,37.25
2019-11-07,37.310001373291016
2020-04-13,38.0099983215332
2019-07-01,38.119998931884766
2019-05-30,38.650001525878906
2018-08-15,39.130001068115234
2018-10-18,39.150001525878906
2019-03-27,38.54999923706055
2019-01-22,37.77000045776367
2018-12-21,38.099998474121094
2019-09-03,38.25
2018-11-19,38.189998626708984
2019-08-02,38.5
2020-01-28,38.90999984741211
2020-04-16,39.22999954223633
2019-11-13,40.08000183105469
2020-01-31,40.36000061035156
2018-12-04,41.380001068115234
2018-11-02,41.4900016784668
2019-07-16,41.689998626708984
2018-08-30,41.90999984741211
2018-10-01,42.099998474121094
2019-06-14,42.290000915527344
2019-05-13,42.220001220703125
2019-04-11,41.5
2019-02-06,40.970001220703125
2019-09-18,40.619998931884766
2020-02-03,39.91999816894531
2020-04-22,40.150001525878906
2019-11-19,40.20000076293945
2020-02-06,40.02000045776367
2019-11-22,39.869998931884766
2019-03-25,39.25
2019-02-21,39.400001525878906
2018-12-19,39.560001373291016
2018-07-12,39.86000061035156
2018-09-14,39.959999084472656
2018-08-13,39.68000030517578
2018-10-16,40.04999923706055
2019-07-31,40.66999816894531
2019-05-28,40.849998474121094
2019-04-26,41.099998474121094
2020-04-28,40.25
2019-11-25,39.84000015258789
2020-02-12,40.66999816894531
2020-05-01,41.369998931884766
2020-05-04,41.22999954223633
2019-06-12,41.40999984741211
2019-04-09,41.849998474121094
2019-03-08,42.099998474121094
2019-02-04,42.58000183105469
2018-07-27,42.9900016784668
2018-08-28,41.959999084472656
2019-01-03,41.4900016784668
2019-08-15,42.84000015258789
2018-10-31,43.38999938964844
2019-09-16,43.88999938964844
2020-02-18,43.97999954223633
2020-05-07,43.810001373291016
2018-08-17,44.4900016784668
2019-12-04,44.09000015258789
2020-02-21,44.27000045776367
2018-12-17,44.66999816894531
2019-08-30,45.130001068115234
2018-11-15,45.65999984741211
2019-07-29,45.4900016784668
2019-06-27,45.540000915527344
2019-04-24,45.470001220703125
2018-07-10,46.04999923706055
2018-09-12,46.2599983215332
2019-02-19,45.060001373291016
2019-01-18,45.77000045776367
2020-02-24,45.959999084472656
2020-05-13,46.099998474121094
2019-12-10,45.150001525878906
2020-02-27,45.2400016784668
2019-12-13,45.380001068115234
2020-05-19,45.58000183105469
2019-03-06,45.560001373291016
2018-11-30,45.70000076293945
2019-08-13,44.939998626708984
2019-07-12,45.029998779296875
2019-06-10,44.689998626708984
2019-05-09,45.16999816894531
2018-07-25,45.279998779296875
2018-09-27,45.400001525878906
2018-10-29,45.29999923706055
2019-10-16,44.630001068115234
2019-12-16,43.83000183105469
2020-03-04,44.029998779296875
2020-05-22,43.45000076293945
2019-10-01,43.7599983215332
2019-12-19,42.84000015258789
2018-09-10,42.34000015258789
2019-05-24,42.560001373291016
2018-08-09,43.04999923706055
2019-04-22,42.810001373291016
2019-03-21,42.470001220703125
2019-01-16,42.09000015258789
2019-08-28,42.25
2018-11-13,42.56999969482422
2018-10-12,42.540000915527344
2019-06-25,42.95000076293945
2020-03-10,43.310001373291016
2020-05-28,43.16999816894531
2019-10-07,42.93000030517578
2020-03-13,43.5099983215332
2019-10-10,43.68000030517578
2020-03-16,43.349998474121094
2020-06-03,43.86000061035156
2018-11-28,43.95000076293945
2018-09-25,43.2599983215332
