Dates,DXCM
2018-06-20,101.29000091552734
2018-06-21,100.36000061035156
2018-06-25,100.31999969482422
2018-06-22,98.93000030517578
2018-06-26,95.2300033569336
2018-06-27,95.80000305175781
2018-06-28,92.30000305175781
2018-06-29,94.61000061035156
2018-07-02,96.66999816894531
2018-07-03,98.45999908447266
2018-07-05,98.6500015258789
2018-07-16,97.70999908447266
2018-09-18,99.1500015258789
2019-01-24,100.76000213623047
2019-09-05,98.87999725341797
2018-11-21,103.0
2020-01-13,103.87999725341797
2020-04-01,100.7300033569336
2020-06-19,98.7699966430664
2019-10-29,102.0
2020-01-16,103.54000091552734
2020-06-22,102.94000244140625
2018-10-03,102.69000244140625
2018-07-31,104.2699966430664
2019-03-12,101.41000366210938
2019-02-08,103.26000213623047
2019-01-07,100.31999969482422
2018-12-06,95.33000183105469
2019-08-19,96.72000122070312
2019-07-18,94.12999725341797
2019-05-15,119.4000015258789
2019-09-20,119.4000015258789
2019-11-01,123.61000061035156
2020-04-07,122.44999694824219
2020-06-25,125.30999755859375
2020-06-16,124.05000305175781
2019-11-04,122.0
2020-01-22,122.83999633789062
2019-11-07,124.02999877929688
2020-04-13,127.9000015258789
2019-07-01,125.0
2019-05-30,127.68000030517578
2018-08-15,130.97999572753906
2018-10-18,132.75999450683594
2019-03-27,136.0
2019-01-22,142.75
2018-12-21,142.0399932861328
2019-09-03,137.0
2018-11-19,141.0
2019-08-02,141.3300018310547
2020-01-28,141.61000061035156
2020-04-16,144.7100067138672
2019-11-13,144.10000610351562
2020-01-31,146.1999969482422
2018-12-04,142.75
2018-11-02,141.3300018310547
2019-07-16,143.35000610351562
2018-08-30,145.35000610351562
2018-10-01,148.47999572753906
2019-06-14,147.07000732421875
2019-05-13,144.63999938964844
2019-04-11,142.83999633789062
2019-02-06,138.5500030517578
2019-09-18,139.63999938964844
2020-02-03,140.14999389648438
2020-04-22,138.14999389648438
2019-11-19,139.0399932861328
2020-02-06,142.94000244140625
2019-11-22,144.6999969482422
2019-03-25,143.42999267578125
2019-02-21,143.5500030517578
2018-12-19,140.89999389648438
2018-07-12,134.25999450683594
2018-09-14,130.47000122070312
2018-08-13,125.0
2018-10-16,124.36000061035156
2019-07-31,125.23999786376953
2019-05-28,123.04000091552734
2019-04-26,122.19999694824219
2020-04-28,117.19999694824219
2019-11-25,124.5999984741211
2020-02-12,127.52999877929688
2020-05-01,125.97000122070312
2020-05-04,132.83999633789062
2019-06-12,131.67999267578125
2019-04-09,136.0
2019-03-08,128.72999572753906
2019-02-04,129.77999877929688
2018-07-27,131.13999938964844
2018-08-28,124.72000122070312
2019-01-03,122.4000015258789
2019-08-15,127.31999969482422
2018-10-31,124.33999633789062
2019-09-16,126.56999969482422
2020-02-18,133.5500030517578
2020-05-07,137.1300048828125
2018-08-17,132.66000366210938
2019-12-04,131.50999450683594
2020-02-21,137.0
2018-12-17,143.60000610351562
2019-08-30,148.11000061035156
2018-11-15,147.27000427246094
2019-07-29,143.42999267578125
2019-06-27,143.07000732421875
2019-04-24,137.86000061035156
2018-07-10,134.91000366210938
2018-09-12,137.0
2019-02-19,117.30999755859375
2019-01-18,121.12000274658203
2020-02-24,119.63999938964844
2020-05-13,125.7699966430664
2019-12-10,122.69000244140625
2020-02-27,123.5
2019-12-13,125.86000061035156
2020-05-19,129.5399932861328
2019-03-06,133.63999938964844
2018-11-30,136.25
2019-08-13,127.0
2019-07-12,128.17999267578125
2019-06-10,121.9000015258789
2019-05-09,125.19000244140625
2018-07-25,125.19999694824219
2018-09-27,124.9000015258789
2018-10-29,121.94999694824219
2019-10-16,118.94999694824219
2019-12-16,115.41000366210938
2020-03-04,115.2699966430664
2020-05-22,112.83999633789062
2019-10-01,110.97000122070312
2019-12-19,107.88999938964844
2018-09-10,108.63999938964844
2019-05-24,114.51000213623047
2018-08-09,118.5
2019-04-22,119.22000122070312
2019-03-21,117.01000213623047
2019-01-16,114.29000091552734
2019-08-28,114.18000030517578
2018-11-13,125.52999877929688
2018-10-12,131.4600067138672
2019-06-25,132.8699951171875
2020-03-10,138.75
2020-05-28,141.89999389648438
2019-10-07,140.42999267578125
2020-03-13,143.47999572753906
2019-10-10,147.85000610351562
2020-03-16,147.22000122070312
2020-06-03,150.75
2018-11-28,149.0
2018-09-25,150.0
2018-07-23,147.17999267578125
2018-08-24,144.61000061035156
2019-07-10,144.2899932861328
2019-05-07,141.05999755859375
2019-04-05,140.8300018310547
2019-03-04,144.22999572753906
2019-01-31,140.6999969482422
2019-09-12,141.8300018310547
2019-12-31,145.42999267578125
2020-03-19,148.02999877929688
2020-01-03,144.30999755859375
2020-06-09,142.75999450683594
2019-02-15,147.66000366210938
2019-01-14,153.32000732421875
2018-07-06,152.52000427246094
2018-08-07,148.3000030517578
2018-10-10,149.91000366210938
2018-12-13,149.05999755859375
2019-08-26,147.08999633789062
2019-07-25,145.5399932861328
2019-05-22,153.69000244140625
2019-03-19,137.9499969482422
2020-01-06,140.3000030517578
2020-03-25,140.10000610351562
2020-06-12,140.02000427246094
2019-10-22,140.52000427246094
2020-01-09,143.88999938964844
2020-06-15,141.6300048828125
2019-10-25,146.9600067138672
2020-03-31,143.5800018310547
2020-06-18,141.55999755859375
2019-04-03,143.0
2018-08-22,143.92999267578125
2018-10-25,142.24000549316406
2019-01-29,147.22000122070312
2018-12-28,146.9499969482422
2018-11-26,152.02000427246094
2019-08-09,146.22000122070312
2019-07-08,147.0
2019-06-06,145.5
2019-09-10,140.67999267578125
2020-01-15,128.0
2020-04-03,124.70999908447266
2019-10-31,120.66000366210938
2020-04-06,115.30000305175781
2020-06-24,119.0
2018-11-09,119.94999694824219
2019-07-23,115.3499984741211
2019-06-21,117.8499984741211
2019-05-20,118.44999694824219
2019-04-18,117.80999755859375
2018-09-06,117.1500015258789
2018-10-08,114.19999694824219
2019-02-13,115.05000305175781
2018-12-11,119.20999908447266
2019-09-25,119.5199966430664
2020-01-21,117.47000122070312
2020-04-09,120.68000030517578
2019-11-06,117.80000305175781
2020-01-24,111.86000061035156
2020-01-27,113.7300033569336
2020-04-15,117.25
2018-12-26,117.77999877929688
2019-08-07,119.26000213623047
2019-06-04,118.86000061035156
2018-09-21,124.83000183105469
2018-07-19,124.16000366210938
2018-08-20,122.5199966430664
2018-10-23,118.47000122070312
2019-05-03,121.44999694824219
2019-04-01,118.6500015258789
2019-02-28,121.11000061035156
2019-11-12,118.95999908447266
2020-01-30,116.79000091552734
2019-11-15,116.91999816894531
2020-04-21,116.16000366210938
2019-04-16,116.55000305175781
2019-03-15,118.91000366210938
2019-02-11,120.97000122070312
2019-01-10,118.6500015258789
2019-08-22,117.01000213623047
2018-11-07,119.30999755859375
2018-08-03,117.87000274658203
2018-09-04,117.69999694824219
2019-06-19,115.16000366210938
2019-09-23,119.0
2019-11-18,119.30999755859375
2020-02-05,118.61000061035156
2020-04-24,118.98999786376953
2019-03-29,121.08000183105469
2019-11-21,121.51000213623047
2020-04-27,125.0
2020-02-11,123.02999877929688
2020-04-30,121.25
2019-05-01,127.02999877929688
2019-02-26,136.57000732421875
2019-01-25,139.2100067138672
