Dates,BA,AAPL
2019-01-02,,
2019-01-03,-0.039869070626126324,-0.09960737025028876
2019-01-07,0.052042434845362084,0.04268930277240135
2019-01-04,0.003149073075644493,-0.002225831939036471
2019-01-08,0.03785320161599648,0.01906312082634498
2019-01-09,0.009690740330655867,0.016981741682214002
2019-01-10,0.025535872734158804,0.003196174424155096
2019-01-11,0.0008224626555390913,-0.009818008684413626
2019-01-14,-0.007197530713664246,-0.015037056846080588
2019-01-15,0.005365923511288173,0.020466715494791732
2019-01-16,-0.0005109944378021147,0.01221660042928363
2019-01-18,0.01996818391196764,0.005937770455975322
2019-01-22,0.015706409830282375,0.006159416849145227
2019-01-24,-0.018726227302693133,-0.022446142762788446
2019-01-28,0.0019837705146301676,0.004044325537150728
2019-01-30,-0.0009480950106766084,-0.00792620345125028
2019-02-01,0.016551827881774006,0.03313685435310676
2019-02-20,-0.0033772952913272425,-0.009254510052704501
2019-02-27,0.005344801043837943,-0.010364749483978586
2019-02-19,0.06250855643769859,0.06833467691179762
2019-02-15,-0.0054162955145566904,0.007201225061459926
2019-02-11,0.004693733679561163,0.00048066468325647094
2019-02-26,0.024701255723966087,0.02840497001068898
2019-02-05,0.033198973994411185,0.017109446281934337
2019-02-07,0.0022672794684950315,0.0003445448381349525
2019-02-22,-0.014448619920405359,-0.01893941085698192
2019-01-17,-0.0006417300318583008,-0.003100495915100643
2019-01-23,-0.0023708761117179344,-0.0057509005649181155
2019-01-29,0.016759472234406436,0.008617168016179066
2019-01-25,-0.0003409004870017496,-0.004154758712640039
2019-01-31,-0.0018509895097215123,0.0036432624436515404
2019-02-04,0.019886764313184813,-0.0022248529041146714
2019-02-06,-0.004091182262085824,0.002992574300642481
2019-02-08,0.012708350317683026,0.006435418888726563
2019-02-12,-0.009417628598421102,-0.005638558551334882
2019-02-14,0.015494040492248118,0.011165694431014783
2019-03-01,0.006650176642843286,0.0072844683930379794
2019-02-25,-0.00023427765984851412,0.0005739890143372506
2019-02-21,0.020315424352523204,0.0030975350224347054
2019-02-13,0.010380279690265892,-0.009835885336134886
2019-02-28,0.001500144728902697,0.010511160198520164
