Dates,CPRT
2018-06-20,1634200.0
2018-06-21,1293200.0
2018-06-25,2535500.0
2018-06-22,1528400.0
2018-06-26,3904900.0
2018-06-27,2704700.0
2018-06-28,2661900.0
2018-06-29,53422600.0
2018-07-02,2523000.0
2018-07-03,1487000.0
2018-07-05,2537600.0
2018-07-16,1697500.0
2018-09-18,1611400.0
2019-01-24,1319400.0
2019-09-05,1989800.0
2018-11-21,1903400.0
2020-01-13,1089900.0
2020-04-01,2197800.0
2020-06-19,1569100.0
2019-10-29,1557200.0
2020-01-16,854200.0
2020-06-22,922800.0
2018-10-03,1723000.0
2018-07-31,2259300.0
2019-03-12,1333500.0
2019-02-08,1193800.0
2019-01-07,816600.0
2018-12-06,1045000.0
2019-08-19,1613500.0
2019-07-18,1008800.0
2019-05-15,1191400.0
2019-09-20,754300.0
2019-11-01,988100.0
2020-04-07,1004900.0
2020-06-25,730000.0
2020-06-16,659600.0
2019-11-04,752000.0
2020-01-22,1329000.0
2019-11-07,1146500.0
2020-04-13,1040700.0
2019-07-01,885100.0
2019-05-30,777700.0
2018-08-15,1076200.0
2018-10-18,1114000.0
2019-03-27,687100.0
2019-01-22,736200.0
2018-12-21,1147500.0
2019-09-03,995100.0
2018-11-19,1101000.0
2019-08-02,1705600.0
2020-01-28,1110900.0
2020-04-16,1261100.0
2019-11-13,1684300.0
2020-01-31,1518200.0
2018-12-04,1296700.0
2018-11-02,1098100.0
2019-07-16,1037500.0
2018-08-30,1742700.0
2018-10-01,1387500.0
2019-06-14,830700.0
2019-05-13,1651700.0
2019-04-11,1613000.0
2019-02-06,2340700.0
2019-09-18,14660400.0
2020-02-03,6410300.0
2020-04-22,7464500.0
2019-11-19,4644600.0
2020-02-06,4467900.0
2019-11-22,3006100.0
2019-03-25,2084500.0
2019-02-21,2445200.0
2018-12-19,4551800.0
2018-07-12,5333700.0
2018-09-14,5287800.0
2018-08-13,5146000.0
2018-10-16,4077000.0
2019-07-31,1860400.0
2019-05-28,2205000.0
2019-04-26,3433100.0
2020-04-28,2754800.0
2019-11-25,2159900.0
2020-02-12,1729800.0
2020-05-01,1721000.0
2020-05-04,1213800.0
2019-06-12,1405300.0
2019-04-09,1776000.0
2019-03-08,1698400.0
2019-02-04,1695800.0
2018-07-27,4482500.0
2018-08-28,2421300.0
2019-01-03,2317500.0
2019-08-15,1654900.0
2018-10-31,1195200.0
2019-09-16,1548400.0
2020-02-18,1356200.0
2020-05-07,1155900.0
2018-08-17,937000.0
2019-12-04,1267100.0
2020-02-21,1531800.0
2018-12-17,948700.0
2019-08-30,1377500.0
2018-11-15,1367500.0
2019-07-29,4433900.0
2019-06-27,2024800.0
2019-04-24,1602800.0
2018-07-10,1653000.0
2018-09-12,1782900.0
2019-02-19,2147800.0
2019-01-18,3099900.0
2020-02-24,960200.0
2020-05-13,1533200.0
2019-12-10,1611600.0
2020-02-27,1437700.0
2019-12-13,1300500.0
2020-05-19,2610700.0
2019-03-06,3089600.0
2018-11-30,1902300.0
2019-08-13,1766400.0
2019-07-12,1277500.0
2019-06-10,2499600.0
2019-05-09,2035000.0
2018-07-25,1219100.0
2018-09-27,1353100.0
2018-10-29,2241700.0
2019-10-16,2082700.0
2019-12-16,2664400.0
2020-03-04,2217600.0
2020-05-22,3426800.0
2019-10-01,3929600.0
2019-12-19,1084700.0
2018-09-10,1571700.0
2019-05-24,2644400.0
2018-08-09,1482100.0
2019-04-22,1828400.0
2019-03-21,1369900.0
2019-01-16,2121000.0
2019-08-28,1819900.0
2018-11-13,1485200.0
2018-10-12,1117500.0
2019-06-25,1254200.0
2020-03-10,729100.0
2020-05-28,872000.0
2019-10-07,771900.0
2020-03-13,2173600.0
2019-10-10,1671300.0
2020-03-16,1920500.0
2020-06-03,865700.0
2018-11-28,878800.0
2018-09-25,881000.0
2018-07-23,816400.0
2018-08-24,677500.0
2019-07-10,1118100.0
2019-05-07,728900.0
2019-04-05,834400.0
2019-03-04,1732600.0
2019-01-31,872500.0
2019-09-12,755900.0
2019-12-31,731600.0
2020-03-19,809600.0
2020-01-03,598800.0
2020-06-09,595600.0
2019-02-15,878700.0
2019-01-14,924700.0
2018-07-06,927900.0
2018-08-07,1082200.0
2018-10-10,1301100.0
2018-12-13,1218600.0
2019-08-26,1996100.0
2019-07-25,4453000.0
2019-05-22,3662400.0
2019-03-19,2566500.0
2020-01-06,2044000.0
2020-03-25,872900.0
2020-06-12,1799100.0
2019-10-22,1403200.0
2020-01-09,1392200.0
2020-06-15,974700.0
2019-10-25,1151000.0
2020-03-31,2062100.0
2020-06-18,1312900.0
2019-04-03,1295700.0
2018-08-22,863100.0
2018-10-25,1603600.0
2019-01-29,889500.0
2018-12-28,2936600.0
2018-11-26,1186000.0
2019-08-09,938400.0
2019-07-08,839100.0
2019-06-06,1382400.0
2019-09-10,1025900.0
2020-01-15,789800.0
2020-04-03,1058600.0
2019-10-31,842500.0
2020-04-06,1071100.0
2020-06-24,1235000.0
2018-11-09,1544600.0
2019-07-23,1638600.0
2019-06-21,1237100.0
2019-05-20,1091700.0
2019-04-18,1521000.0
2018-09-06,1685100.0
2018-10-08,1357900.0
2019-02-13,2669900.0
2018-12-11,613300.0
2019-09-25,580400.0
2020-01-21,680400.0
2020-04-09,2509500.0
2019-11-06,1181700.0
2020-01-24,1301900.0
2020-01-27,809900.0
2020-04-15,790000.0
2018-12-26,1159600.0
2019-08-07,870800.0
2019-06-04,972100.0
2018-09-21,980800.0
2018-07-19,2196800.0
2018-08-20,1079200.0
2018-10-23,981900.0
2019-05-03,801800.0
2019-04-01,832400.0
2019-02-28,978200.0
2019-11-12,1295000.0
2020-01-30,1202900.0
2019-11-15,892100.0
2020-04-21,957800.0
2019-04-16,776900.0
2019-03-15,774400.0
2019-02-11,959500.0
2019-01-10,1115200.0
2019-08-22,1617300.0
2018-11-07,1500600.0
2018-08-03,2316700.0
2018-09-04,3813500.0
2019-06-19,2027500.0
2019-09-23,2873000.0
2019-11-18,1349900.0
2020-02-05,1189700.0
2020-04-24,1493700.0
2019-03-29,1452100.0
2019-11-21,1288700.0
2020-04-27,1276500.0
2020-02-11,916800.0
2020-04-30,1270100.0
2019-05-01,888100.0
2019-02-26,1220800.0
2019-01-25,1103500.0
2018-12-24,1359600.0
