Dates,CPRT
2018-06-20,59.63999938964844
2018-06-21,60.189998626708984
2018-06-25,60.22999954223633
2018-06-22,60.0
2018-06-26,57.45000076293945
2018-06-27,56.560001373291016
2018-06-28,55.2400016784668
2018-06-29,56.08000183105469
2018-07-02,56.56999969482422
2018-07-03,57.45000076293945
2018-07-05,57.38999938964844
2018-07-16,57.29999923706055
2018-09-18,58.11000061035156
2019-01-24,59.02000045776367
2019-09-05,57.13999938964844
2018-11-21,58.75
2020-01-13,59.02000045776367
2020-04-01,59.310001373291016
2020-06-19,58.09000015258789
2019-10-29,59.15999984741211
2020-01-16,59.04999923706055
2020-06-22,59.0099983215332
2018-10-03,59.0
2018-07-31,58.63999938964844
2019-03-12,57.38999938964844
2019-02-08,57.970001220703125
2019-01-07,58.22999954223633
2018-12-06,56.86000061035156
2019-08-19,56.400001525878906
2019-07-18,55.959999084472656
2019-05-15,57.61000061035156
2019-09-20,57.709999084472656
2019-11-01,57.56999969482422
2020-04-07,58.5099983215332
2020-06-25,59.099998474121094
2020-06-16,59.40999984741211
2019-11-04,59.70000076293945
2020-01-22,60.349998474121094
2019-11-07,59.40999984741211
2020-04-13,59.209999084472656
2019-07-01,60.27000045776367
2019-05-30,60.83000183105469
2018-08-15,61.119998931884766
2018-10-18,62.0099983215332
2019-03-27,62.380001068115234
2019-01-22,62.939998626708984
2018-12-21,63.150001525878906
2019-09-03,63.04999923706055
2018-11-19,63.81999969482422
2019-08-02,64.27999877929688
2020-01-28,64.11000061035156
2020-04-16,64.26000213623047
2019-11-13,64.70999908447266
2020-01-31,64.7699966430664
2018-12-04,64.66000366210938
2018-11-02,65.16999816894531
2019-07-16,65.91000366210938
2018-08-30,65.81999969482422
2018-10-01,66.43000030517578
2019-06-14,66.38999938964844
2019-05-13,66.26000213623047
2019-04-11,64.97000122070312
2019-02-06,63.689998626708984
2019-09-18,54.529998779296875
2020-02-03,56.439998626708984
2020-04-22,54.619998931884766
2019-11-19,52.25
2020-02-06,51.689998626708984
2019-11-22,51.68000030517578
2019-03-25,51.810001373291016
2019-02-21,51.290000915527344
2018-12-19,51.47999954223633
2018-07-12,52.36000061035156
2018-09-14,51.130001068115234
2018-08-13,52.400001525878906
2018-10-16,51.84000015258789
2019-07-31,51.7599983215332
2019-05-28,51.11000061035156
2019-04-26,51.22999954223633
2020-04-28,49.5
2019-11-25,49.7400016784668
2020-02-12,50.150001525878906
2020-05-01,50.630001068115234
2020-05-04,50.90999984741211
2019-06-12,50.869998931884766
2019-04-09,49.88999938964844
2019-03-08,49.34000015258789
2019-02-04,49.72999954223633
2018-07-27,49.88999938964844
2018-08-28,46.5099983215332
2019-01-03,47.529998779296875
2019-08-15,48.099998474121094
2018-10-31,47.11000061035156
2019-09-16,49.029998779296875
2020-02-18,49.099998474121094
2020-05-07,50.630001068115234
2018-08-17,50.31999969482422
2019-12-04,50.560001373291016
2020-02-21,50.470001220703125
2018-12-17,50.68000030517578
2019-08-30,50.189998626708984
2018-11-15,50.31999969482422
2019-07-29,49.290000915527344
2019-06-27,49.150001525878906
2019-04-24,49.650001525878906
2018-07-10,50.41999816894531
2018-09-12,51.0
2019-02-19,47.81999969482422
2019-01-18,50.02000045776367
2020-02-24,49.34000015258789
2020-05-13,49.41999816894531
2019-12-10,49.779998779296875
2020-02-27,50.099998474121094
2019-12-13,51.650001525878906
2020-05-19,51.72999954223633
2019-03-06,51.939998626708984
2018-11-30,50.7400016784668
2019-08-13,48.540000915527344
2019-07-12,48.810001373291016
2019-06-10,47.09000015258789
2019-05-09,48.9900016784668
2018-07-25,49.20000076293945
2018-09-27,49.31999969482422
2018-10-29,48.86000061035156
2019-10-16,47.9900016784668
2019-12-16,47.540000915527344
2020-03-04,47.18000030517578
2020-05-22,46.65999984741211
2019-10-01,47.08000183105469
2019-12-19,45.68000030517578
2018-09-10,45.189998626708984
2019-05-24,46.77000045776367
2018-08-09,47.97999954223633
2019-04-22,47.81999969482422
2019-03-21,46.900001525878906
2019-01-16,47.209999084472656
2019-08-28,47.619998931884766
2018-11-13,48.790000915527344
2018-10-12,49.15999984741211
2019-06-25,49.72999954223633
2020-03-10,50.09000015258789
2020-05-28,50.27000045776367
2019-10-07,50.29999923706055
2020-03-13,50.029998779296875
2019-10-10,49.209999084472656
2020-03-16,49.040000915527344
2020-06-03,50.25
2018-11-28,49.84000015258789
2018-09-25,49.849998474121094
2018-07-23,49.25
2018-08-24,49.90999984741211
2019-07-10,49.66999816894531
2019-05-07,49.849998474121094
2019-04-05,49.900001525878906
2019-03-04,50.209999084472656
2019-01-31,50.52000045776367
2019-09-12,50.97999954223633
2019-12-31,51.4900016784668
2020-03-19,51.75
2020-01-03,51.5
2020-06-09,51.099998474121094
2019-02-15,51.939998626708984
2019-01-14,52.529998779296875
2018-07-06,53.380001068115234
2018-08-07,53.08000183105469
2018-10-10,54.290000915527344
2018-12-13,54.0
2019-08-26,53.439998626708984
2019-07-25,53.88999938964844
2019-05-22,56.41999816894531
2019-03-19,58.439998626708984
2020-01-06,59.38999938964844
2020-03-25,58.79999923706055
2020-06-12,58.52000045776367
2019-10-22,58.880001068115234
2020-01-09,59.27000045776367
2020-06-15,57.86000061035156
2019-10-25,58.08000183105469
2020-03-31,57.91999816894531
2020-06-18,57.86000061035156
2019-04-03,58.27000045776367
2018-08-22,58.880001068115234
2018-10-25,59.439998626708984
2019-01-29,59.68000030517578
2018-12-28,59.0
2018-11-26,59.11000061035156
2019-08-09,58.9900016784668
2019-07-08,58.939998626708984
2019-06-06,58.91999816894531
2019-09-10,59.630001068115234
2020-01-15,59.279998779296875
2020-04-03,59.560001373291016
2019-10-31,60.13999938964844
2020-04-06,59.72999954223633
2020-06-24,60.25
2018-11-09,60.959999084472656
2019-07-23,62.220001220703125
2019-06-21,63.40999984741211
2019-05-20,63.7599983215332
2019-04-18,63.06999969482422
2018-09-06,63.91999816894531
2018-10-08,64.48999786376953
2019-02-13,64.5
2018-12-11,64.38999938964844
2019-09-25,65.13999938964844
2020-01-21,65.45999908447266
2020-04-09,65.52999877929688
2019-11-06,65.55000305175781
2020-01-24,64.80999755859375
2020-01-27,64.83999633789062
2020-04-15,65.12999725341797
2018-12-26,65.94000244140625
2019-08-07,66.23999786376953
2019-06-04,65.9800033569336
2018-09-21,66.87999725341797
2018-07-19,67.16000366210938
2018-08-20,67.2699966430664
2018-10-23,66.05000305175781
2019-05-03,66.95999908447266
2019-04-01,66.12999725341797
