Dates,CPRT
2018-06-20,60.20000076293945
2018-06-21,59.56999969482422
2018-06-25,59.90999984741211
2018-06-22,58.29999923706055
2018-06-26,56.279998779296875
2018-06-27,55.16999816894531
2018-06-28,56.0099983215332
2018-06-29,56.560001373291016
2018-07-02,56.84000015258789
2018-07-03,57.34000015258789
2018-07-05,57.15999984741211
2018-07-16,58.0099983215332
2018-09-18,58.75
2019-01-24,58.709999084472656
2019-09-05,58.31999969482422
2018-11-21,58.880001068115234
2020-01-13,59.310001373291016
2020-04-01,58.43000030517578
2020-06-19,59.15999984741211
2019-10-29,59.31999969482422
2020-01-16,59.130001068115234
2020-06-22,58.97999954223633
2018-10-03,58.2599983215332
2018-07-31,57.369998931884766
2019-03-12,58.33000183105469
2019-02-08,58.119998931884766
2019-01-07,56.939998626708984
2018-12-06,56.209999084472656
2019-08-19,57.38999938964844
2019-07-18,57.56999969482422
2019-05-15,57.79999923706055
2019-09-20,57.43000030517578
2019-11-01,58.5099983215332
2020-04-07,59.15999984741211
2020-06-25,59.369998931884766
2020-06-16,60.0
2019-11-04,60.22999954223633
2020-01-22,59.29999923706055
2019-11-07,59.5099983215332
2020-04-13,60.060001373291016
2019-07-01,60.81999969482422
2019-05-30,60.97999954223633
2018-08-15,61.66999816894531
2018-10-18,62.470001220703125
2019-03-27,63.0
2019-01-22,62.9900016784668
2018-12-21,62.72999954223633
2019-09-03,63.790000915527344
2018-11-19,64.06999969482422
2019-08-02,64.12000274658203
2020-01-28,64.38999938964844
2020-04-16,64.30999755859375
2019-11-13,64.9000015258789
2020-01-31,64.68000030517578
2018-12-04,65.0999984741211
2018-11-02,65.52999877929688
2019-07-16,65.91000366210938
2018-08-30,66.44999694824219
2018-10-01,66.23999786376953
2019-06-14,66.02999877929688
2019-05-13,64.83000183105469
2019-04-11,63.72999954223633
2019-02-06,64.16999816894531
2019-09-18,55.58000183105469
2020-02-03,56.130001068115234
2020-04-22,52.58000183105469
2019-11-19,51.41999816894531
2020-02-06,51.52000045776367
2019-11-22,51.650001525878906
2019-03-25,51.119998931884766
2019-02-21,51.529998779296875
2018-12-19,52.630001068115234
2018-07-12,51.22999954223633
2018-09-14,52.7599983215332
2018-08-13,51.7400016784668
2018-10-16,51.88999938964844
2019-07-31,51.2599983215332
2019-05-28,51.459999084472656
2019-04-26,49.959999084472656
2020-04-28,49.04999923706055
2019-11-25,50.380001068115234
2020-02-12,50.220001220703125
2020-05-01,51.08000183105469
2020-05-04,50.9900016784668
2019-06-12,49.7599983215332
2019-04-09,49.279998779296875
2019-03-08,50.47999954223633
2019-02-04,49.849998474121094
2018-07-27,46.33000183105469
2018-08-28,48.40999984741211
2019-01-03,47.2599983215332
2019-08-15,47.040000915527344
2018-10-31,48.5
2019-09-16,48.90999984741211
2020-02-18,50.15999984741211
2020-05-07,50.290000915527344
2018-08-17,50.36000061035156
2019-12-04,50.029998779296875
2020-02-21,50.79999923706055
2018-12-17,50.439998626708984
2019-08-30,50.27000045776367
2018-11-15,49.27000045776367
2019-07-29,48.81999969482422
2019-06-27,49.81999969482422
2019-04-24,50.79999923706055
2018-07-10,51.0099983215332
2018-09-12,48.540000915527344
2019-02-19,47.29999923706055
2019-01-18,50.09000015258789
2020-02-24,48.72999954223633
2020-05-13,50.189998626708984
2019-12-10,49.9900016784668
2020-02-27,51.7400016784668
2019-12-13,51.709999084472656
2020-05-19,51.18000030517578
2019-03-06,50.7400016784668
2018-11-30,49.279998779296875
2019-08-13,49.040000915527344
2019-07-12,47.279998779296875
2019-06-10,48.34000015258789
2019-05-09,48.560001373291016
2018-07-25,49.2599983215332
2018-09-27,49.380001068115234
2018-10-29,48.040000915527344
2019-10-16,47.189998626708984
2019-12-16,46.959999084472656
2020-03-04,47.040000915527344
2020-05-22,46.86000061035156
2019-10-01,45.900001525878906
2019-12-19,44.939998626708984
2018-09-10,47.43000030517578
2019-05-24,47.81999969482422
2018-08-09,47.52000045776367
2019-04-22,47.779998779296875
2019-03-21,47.68000030517578
2019-01-16,46.88999938964844
2019-08-28,48.560001373291016
2018-11-13,48.83000183105469
2018-10-12,49.630001068115234
2019-06-25,50.29999923706055
2020-03-10,50.599998474121094
2020-05-28,50.65999984741211
2019-10-07,49.91999816894531
2020-03-13,49.36000061035156
2019-10-10,49.31999969482422
2020-03-16,49.7400016784668
2020-06-03,50.060001373291016
2018-11-28,49.63999938964844
2018-09-25,49.27000045776367
2018-07-23,49.5099983215332
2018-08-24,50.08000183105469
2019-07-10,49.84000015258789
2019-05-07,49.58000183105469
2019-04-05,50.13999938964844
2019-03-04,50.630001068115234
2019-01-31,50.91999816894531
2019-09-12,51.529998779296875
2019-12-31,51.84000015258789
2020-03-19,51.93000030517578
2020-01-03,51.290000915527344
2020-06-09,51.72999954223633
2019-02-15,52.189998626708984
2019-01-14,53.2599983215332
2018-07-06,53.40999984741211
2018-08-07,53.93000030517578
2018-10-10,54.029998779296875
2018-12-13,53.31999969482422
2019-08-26,53.47999954223633
2019-07-25,56.529998779296875
2019-05-22,58.290000915527344
2019-03-19,59.209999084472656
2020-01-06,58.90999984741211
2020-03-25,58.47999954223633
2020-06-12,58.66999816894531
2019-10-22,58.400001525878906
2020-01-09,58.08000183105469
2020-06-15,58.11000061035156
2019-10-25,57.7400016784668
2020-03-31,58.27000045776367
2020-06-18,58.2400016784668
2019-04-03,58.91999816894531
2018-08-22,59.15999984741211
2018-10-25,59.66999816894531
2019-01-29,59.20000076293945
2018-12-28,59.029998779296875
2018-11-26,59.09000015258789
2019-08-09,58.869998931884766
2019-07-08,59.150001525878906
2019-06-06,59.7599983215332
2019-09-10,59.25
2020-01-15,59.529998779296875
2020-04-03,60.2599983215332
2019-10-31,59.70000076293945
2020-04-06,59.869998931884766
2020-06-24,60.59000015258789
2018-11-09,62.18000030517578
2019-07-23,63.15999984741211
2019-06-21,63.72999954223633
2019-05-20,62.9900016784668
2019-04-18,63.95000076293945
2018-09-06,64.63999938964844
2018-10-08,64.23999786376953
2019-02-13,64.2699966430664
2018-12-11,64.88999938964844
2019-09-25,65.37000274658203
2020-01-21,65.20999908447266
2020-04-09,65.18000030517578
2019-11-06,64.80000305175781
2020-01-24,65.05999755859375
2020-01-27,64.98999786376953
2020-04-15,65.86000061035156
2018-12-26,66.52999877929688
