Dates,ED
2018-06-20,74.83999633789062
2018-06-21,74.88999938964844
2018-06-25,75.45999908447266
2018-06-22,76.0
2018-06-26,77.19999694824219
2018-06-27,77.31999969482422
2018-06-28,78.2300033569336
2018-06-29,77.86000061035156
2018-07-02,77.98999786376953
2018-07-03,78.3499984741211
2018-07-05,78.5999984741211
2018-07-16,79.0
2018-09-18,79.5
2019-01-24,76.4000015258789
2019-09-05,78.0199966430664
2018-11-21,79.04000091552734
2020-01-13,79.36000061035156
2020-04-01,79.27999877929688
2020-06-19,79.41999816894531
2019-10-29,79.08000183105469
2020-01-16,78.6500015258789
2020-06-22,78.44999694824219
2018-10-03,78.12999725341797
2018-07-31,77.23999786376953
2019-03-12,77.36000061035156
2019-02-08,77.87000274658203
2019-01-07,78.30000305175781
2018-12-06,78.27999877929688
2019-08-19,78.62000274658203
2019-07-18,78.41999816894531
2019-05-15,77.75
2019-09-20,78.25
2019-11-01,79.04000091552734
2020-04-07,78.77999877929688
2020-06-25,78.33999633789062
2020-06-16,78.6500015258789
2019-11-04,79.18000030517578
2020-01-22,78.55999755859375
2019-11-07,78.27999877929688
2020-04-13,78.7699966430664
2019-07-01,79.69999694824219
2019-05-30,80.62000274658203
2018-08-15,81.3499984741211
2018-10-18,80.16999816894531
2019-03-27,79.81999969482422
2019-01-22,78.98999786376953
2018-12-21,79.02999877929688
2019-09-03,79.5999984741211
2018-11-19,78.80000305175781
2019-08-02,78.6500015258789
2020-01-28,79.30999755859375
2020-04-16,79.38999938964844
2019-11-13,79.19000244140625
2020-01-31,79.62999725341797
2018-12-04,80.62999725341797
2018-11-02,80.80000305175781
2019-07-16,80.38999938964844
2018-08-30,80.55000305175781
2018-10-01,80.19999694824219
2019-06-14,80.2300033569336
2019-05-13,80.37000274658203
2019-04-11,80.33000183105469
2019-02-06,80.33000183105469
2019-09-18,79.97000122070312
2020-02-03,78.2300033569336
2020-04-22,78.0
2019-11-19,77.7699966430664
2020-02-06,76.41999816894531
2019-11-22,75.7300033569336
2019-03-25,74.58000183105469
2019-02-21,75.43000030517578
2018-12-19,76.04000091552734
2018-07-12,76.0
2018-09-14,76.87000274658203
2018-08-13,76.0199966430664
2018-10-16,76.55999755859375
2019-07-31,77.76000213623047
2019-05-28,78.22000122070312
2019-04-26,78.08000183105469
2020-04-28,77.94999694824219
2019-11-25,75.97000122070312
2020-02-12,75.31999969482422
2020-05-01,75.25
2020-05-04,76.08000183105469
2019-06-12,76.19000244140625
2019-04-09,76.29000091552734
2019-03-08,77.30999755859375
2019-02-04,77.0
2018-07-27,76.69000244140625
2018-08-28,77.77999877929688
2019-01-03,77.26000213623047
2019-08-15,76.33000183105469
2018-10-31,77.62000274658203
2019-09-16,76.63999938964844
2020-02-18,76.06999969482422
2020-05-07,76.0999984741211
2018-08-17,74.80999755859375
2019-12-04,76.79000091552734
2020-02-21,77.5
2018-12-17,78.2300033569336
2019-08-30,78.19999694824219
2018-11-15,78.93000030517578
2019-07-29,78.75
2019-06-27,78.19000244140625
2019-04-24,77.44999694824219
2018-07-10,77.33999633789062
2018-09-12,76.97000122070312
2019-02-19,78.0
2019-01-18,77.83999633789062
2020-02-24,77.20999908447266
2020-05-13,77.2300033569336
2019-12-10,78.11000061035156
2020-02-27,78.88999938964844
2019-12-13,78.81999969482422
2020-05-19,79.37000274658203
2019-03-06,79.86000061035156
2018-11-30,81.22000122070312
2019-08-13,82.30000305175781
2019-07-12,81.75
2019-06-10,82.66999816894531
2019-05-09,82.94000244140625
2018-07-25,83.25
2018-09-27,82.58999633789062
2018-10-29,84.0999984741211
2019-10-16,83.94000244140625
2019-12-16,80.93000030517578
2020-03-04,80.44000244140625
2020-05-22,80.12999725341797
2019-10-01,80.73999786376953
2019-12-19,79.94000244140625
2018-09-10,75.51000213623047
2019-05-24,76.02999877929688
2018-08-09,77.16999816894531
2019-04-22,76.4800033569336
2019-03-21,76.31999969482422
2019-01-16,75.13999938964844
2019-08-28,75.0199966430664
2018-11-13,76.0999984741211
2018-10-12,75.4800033569336
2019-06-25,75.70999908447266
2020-03-10,75.37000274658203
2020-05-28,76.43000030517578
2019-10-07,75.55000305175781
2020-03-13,74.1500015258789
2019-10-10,75.66000366210938
2020-03-16,76.3499984741211
2020-06-03,76.66999816894531
2018-11-28,76.63999938964844
2018-09-25,76.72000122070312
2018-07-23,77.08000183105469
2018-08-24,77.44000244140625
2019-07-10,76.11000061035156
2019-05-07,75.75
2019-04-05,75.61000061035156
2019-03-04,76.02999877929688
2019-01-31,77.47000122070312
2019-09-12,76.3499984741211
2019-12-31,77.5
2020-03-19,77.44999694824219
2020-01-03,77.54000091552734
2020-06-09,78.05000305175781
2019-02-15,78.87000274658203
2019-01-14,78.41999816894531
2018-07-06,77.83000183105469
2018-08-07,77.98999786376953
2018-10-10,78.38999938964844
2018-12-13,78.41000366210938
2019-08-26,78.80999755859375
2019-07-25,78.66000366210938
2019-05-22,80.69000244140625
2019-03-19,82.0
2020-01-06,81.8499984741211
2020-03-25,81.26000213623047
2020-06-12,81.69999694824219
2019-10-22,82.44999694824219
2020-01-09,83.0999984741211
2020-06-15,83.16999816894531
2019-10-25,83.12000274658203
2020-03-31,83.55999755859375
2020-06-18,83.56999969482422
2019-04-03,83.76000213623047
2018-08-22,84.44999694824219
2018-10-25,85.02999877929688
2019-01-29,85.19000244140625
2018-12-28,85.20999908447266
2018-11-26,84.94000244140625
2019-08-09,84.69999694824219
2019-07-08,83.94999694824219
2019-06-06,83.91000366210938
2019-09-10,84.69000244140625
2020-01-15,85.12000274658203
2020-04-03,85.0999984741211
2019-10-31,85.80999755859375
2020-04-06,85.26000213623047
2020-06-24,84.2699966430664
2018-11-09,84.66999816894531
2019-07-23,84.30000305175781
2019-06-21,84.51000213623047
2019-05-20,84.56999969482422
2019-04-18,84.0
2018-09-06,84.44999694824219
2018-10-08,83.7699966430664
2019-02-13,84.2699966430664
2018-12-11,84.0
2019-09-25,84.23999786376953
2020-01-21,84.66000366210938
2020-04-09,84.6500015258789
2019-11-06,83.76000213623047
2020-01-24,83.91999816894531
2020-01-27,83.61000061035156
2020-04-15,83.94000244140625
2018-12-26,84.44999694824219
2019-08-07,84.18000030517578
2019-06-04,85.37000274658203
2018-09-21,84.7300033569336
2018-07-19,84.58000183105469
2018-08-20,85.77999877929688
2018-10-23,85.33999633789062
2019-05-03,85.58999633789062
2019-04-01,86.3499984741211
2019-02-28,85.47000122070312
2019-11-12,84.54000091552734
2020-01-30,84.0
2019-11-15,84.0
2020-04-21,85.04000091552734
2019-04-16,85.55000305175781
2019-03-15,85.0999984741211
2019-02-11,85.30000305175781
2019-01-10,86.02999877929688
2019-08-22,87.16999816894531
2018-11-07,87.25
2018-08-03,86.9000015258789
2018-09-04,87.66000366210938
2019-06-19,88.4000015258789
2019-09-23,88.4800033569336
2019-11-18,86.94999694824219
2020-02-05,85.5999984741211
2020-04-24,85.36000061035156
2019-03-29,86.30999755859375
2019-11-21,87.36000061035156
2020-04-27,88.05000305175781
2020-02-11,89.63999938964844
2020-04-30,89.8499984741211
2019-05-01,87.95999908447266
2019-02-26,87.13999938964844
2019-01-25,87.08000183105469
2018-12-24,87.87999725341797
2019-09-06,87.95999908447266
2018-07-17,88.44000244140625
2018-09-19,88.95999908447266
2019-08-05,88.0
2019-10-08,88.94999694824219
2019-12-11,88.94000244140625
2019-11-27,89.26000213623047
2020-02-14,89.75
2020-05-06,88.68000030517578
2019-01-08,87.4800033569336
2018-12-07,87.16000366210938
2019-08-20,87.58000183105469
2018-11-05,87.66999816894531
2019-07-19,88.72000122070312
2018-10-04,88.4000015258789
2019-06-17,89.12999725341797
2019-05-16,88.81999969482422
2018-08-01,89.04000091552734
2019-03-13,89.11000061035156
2019-12-03,89.2699966430664
2020-02-20,88.3499984741211
2019-12-06,88.37999725341797
2020-05-12,88.12000274658203
2019-12-09,87.55999755859375
2020-02-26,88.2699966430664
2020-05-15,87.4800033569336
2019-03-28,86.58000183105469
2018-09-17,86.81999969482422
2018-08-16,86.58999633789062
2018-10-19,86.0199966430664
2019-04-29,86.52999877929688
2019-01-23,86.37999725341797
2019-09-04,85.36000061035156
2018-11-20,84.77999877929688
2019-07-02,87.06999969482422
2019-05-31,86.27999877929688
2019-12-12,85.43000030517578
2020-05-18,86.56999969482422
2019-09-27,86.86000061035156
2020-03-03,87.52999877929688
2020-05-21,87.30999755859375
2019-05-14,86.73999786376953
2018-08-31,86.80000305175781
2018-07-30,85.7699966430664
2018-10-02,86.94999694824219
2019-04-12,87.20999908447266
2019-03-11,88.43000030517578
2019-02-07,87.69999694824219
2019-07-17,88.18000030517578
2019-09-19,88.4800033569336
2019-10-21,87.2699966430664
2019-12-18,88.23999786376953
2020-03-06,88.12999725341797
2019-10-03,88.18000030517578
2020-03-09,88.54000091552734
2020-05-27,88.9000015258789
2019-12-24,90.80000305175781
2020-03-12,90.26000213623047
2018-12-20,91.11000061035156
2019-08-01,90.69000244140625
2018-08-14,90.3499984741211
2018-07-13,89.0
2018-10-17,90.47000122070312
2019-05-29,89.36000061035156
2019-03-26,89.88999938964844
2019-02-22,90.04000091552734
2019-10-04,91.2699966430664
2019-11-05,91.7699966430664
2019-12-27,92.18000030517578
2020-06-02,93.2699966430664
2019-12-30,92.94000244140625
2020-03-18,93.6500015258789
2020-06-05,94.36000061035156
2019-07-15,94.6500015258789
2018-12-03,94.70999908447266
2019-06-13,94.16999816894531
2019-01-04,93.87000274658203
2018-08-29,92.79000091552734
2019-02-05,93.30999755859375
2018-11-01,93.8499984741211
2019-08-16,93.83999633789062
2019-04-10,93.13999938964844
2019-09-17,93.29000091552734
2019-10-15,92.8499984741211
2020-01-02,92.33999633789062
2020-06-08,91.19000244140625
2019-10-18,90.58999633789062
2020-03-24,90.8499984741211
2020-06-11,91.16999816894531
2020-01-08,91.6500015258789
2019-04-25,92.68000030517578
2019-07-30,93.36000061035156
2019-02-20,93.88999938964844
2018-07-11,94.86000061035156
2018-09-13,92.91999816894531
2018-10-15,90.93000030517578
2019-06-28,91.4800033569336
2018-12-18,91.7300033569336
2018-11-16,92.23999786376953
2019-10-02,90.81999969482422
2020-03-27,89.0999984741211
2020-01-10,88.63999938964844
2019-10-24,87.91999816894531
2020-03-30,87.19999694824219
2020-06-17,87.91000366210938
2020-01-14,86.93000030517578
2020-04-02,86.94000244140625
2019-01-02,86.5
2019-08-14,87.30000305175781
2018-10-30,87.98999786376953
2019-06-11,87.19999694824219
2019-05-10,87.19000244140625
2019-04-08,86.5
2018-08-27,86.66999816894531
2018-07-26,86.0999984741211
2018-09-28,86.08999633789062
