Dates,ED
2018-06-20,69.82396697998047
2018-06-21,70.2148208618164
2018-06-25,70.50331115722656
2018-06-22,72.04813385009766
2018-06-26,72.10397338867188
2018-06-27,72.49481964111328
2018-06-28,72.53205108642578
2018-06-29,72.56927490234375
2018-07-02,72.90430450439453
2018-07-03,73.0159683227539
2018-07-05,73.50918579101562
2018-07-16,73.98381805419922
2018-09-18,71.52699279785156
2019-01-24,72.45758819580078
2019-09-05,73.5464096069336
2018-11-21,73.72323608398438
2020-01-13,73.94657897949219
2020-04-01,73.70462036132812
2020-06-19,73.48127746582031
2019-10-29,73.09041595458984
2020-01-16,73.31375122070312
2020-06-22,72.63441467285156
2018-10-03,72.08535766601562
2018-07-31,72.2249526977539
2019-03-12,72.02021026611328
2019-02-08,72.8670654296875
2019-01-07,73.09971618652344
2018-12-06,72.73678588867188
2019-08-19,73.45335388183594
2019-07-18,72.38314819335938
2019-05-15,72.76470947265625
2019-09-20,73.6208724975586
2019-11-01,73.45335388183594
2020-04-07,73.07181549072266
2020-06-25,73.0625
2020-06-16,73.47197723388672
2019-11-04,73.21139526367188
2020-01-22,73.5650405883789
2019-11-07,73.73876953125
2020-04-13,74.93142700195312
2019-07-01,75.79541015625
2019-05-30,76.22740173339844
2018-08-15,75.4103775024414
2018-10-18,74.77178955078125
2019-03-27,74.12379455566406
2019-01-22,74.20831298828125
2018-12-21,74.61212921142578
2019-09-03,74.11441040039062
2018-11-19,73.67301940917969
2019-08-02,74.38674926757812
2020-01-28,74.5557861328125
2020-04-16,74.12379455566406
2019-11-13,74.71543884277344
2020-01-31,75.7766342163086
2018-12-04,76.39643859863281
2018-11-02,75.20378112792969
2019-07-16,75.63575744628906
2018-08-30,75.31645965576172
2018-10-01,75.26951599121094
2019-06-14,75.83297729492188
2019-05-13,75.40099334716797
2019-04-11,75.45733642578125
2019-02-06,75.20378112792969
2019-09-18,73.55094146728516
2020-02-03,73.66363525390625
2020-04-22,73.1471176147461
2019-11-19,71.945068359375
2020-02-06,71.09048461914062
2019-11-22,69.8790283203125
2019-03-25,70.62091827392578
2019-02-21,71.5506362915039
2018-12-19,71.15621185302734
2018-07-12,72.38644409179688
2018-09-14,71.47551727294922
2018-08-13,71.9356689453125
2018-10-16,72.93114471435547
2019-07-31,73.26921081542969
2019-05-28,73.46642303466797
2019-04-26,73.034423828125
2020-04-28,71.4191665649414
2019-11-25,70.64910888671875
2020-02-12,70.69606018066406
2020-05-01,71.46611785888672
2020-05-04,71.47551727294922
2019-06-12,71.71028900146484
2019-04-09,72.66817474365234
2019-03-08,72.14228057861328
2019-02-04,71.6445541381836
2018-07-27,73.45703125
2018-08-28,72.13288116455078
2019-01-03,71.68211364746094
2019-08-15,72.63060760498047
2018-10-31,72.52731323242188
2019-09-16,71.3722152709961
2020-02-18,71.02473449707031
2020-05-07,70.00110626220703
2018-08-17,71.40977478027344
2019-12-04,72.52731323242188
2020-02-21,73.49459838867188
2018-12-17,73.41007995605469
2019-08-30,74.18953704833984
2018-11-15,74.53701782226562
2019-07-29,74.96819305419922
2019-06-27,75.26194763183594
2019-04-24,72.53274536132812
2018-07-10,72.96865844726562
2018-09-12,73.44246673583984
2019-02-19,74.02054595947266
2019-01-18,73.07289123535156
2020-02-24,73.29084777832031
2020-05-13,74.06791687011719
2019-12-10,74.91133880615234
2020-02-27,74.71231842041016
2019-12-13,75.09137725830078
2020-05-19,76.14325714111328
2019-03-06,76.9771957397461
2018-11-30,77.69740295410156
2019-08-13,77.35624694824219
2019-07-12,78.1427993774414
2019-06-10,78.5692367553711
2019-05-09,78.89144134521484
2018-07-25,78.15226745605469
2018-09-27,79.53583526611328
2018-10-29,79.44107055664062
2019-10-16,76.40860748291016
2019-12-16,76.0105972290039
2020-03-04,75.9063491821289
2020-05-22,76.50336456298828
2019-10-01,75.773681640625
2019-12-19,71.37661743164062
2018-09-10,72.10629272460938
2019-05-24,72.80755615234375
2018-08-09,72.47588348388672
2019-04-22,72.4569320678711
2019-03-21,71.20602416992188
2019-01-16,71.3860855102539
2019-08-28,72.54222106933594
2018-11-13,71.4903335571289
2018-10-12,71.9262466430664
2019-06-25,71.357666015625
2020-03-10,72.54222106933594
2020-05-28,71.95467376708984
2019-10-07,70.55215454101562
2020-03-13,71.82201385498047
2019-10-10,72.38111114501953
2020-03-16,72.99708557128906
2020-06-03,72.50430297851562
2018-11-28,72.72225952148438
2018-09-25,72.94969940185547
2018-07-23,73.59410858154297
2018-08-24,71.97362518310547
2019-07-10,71.6324691772461
2019-05-07,71.91676330566406
2019-04-05,72.20105743408203
2019-03-04,73.58460998535156
2019-01-31,72.66541290283203
2019-09-12,73.50880432128906
2019-12-31,73.52777099609375
2020-03-19,73.21503448486328
2020-01-03,74.02054595947266
2020-06-09,74.79759979248047
2019-02-15,74.83551788330078
2019-01-14,75.1607666015625
2018-07-06,74.45287322998047
2018-08-07,74.65375518798828
2018-10-10,75.10336303710938
2018-12-13,75.44774627685547
2019-08-26,75.58167266845703
2019-07-25,76.5287094116211
2019-05-22,78.53758239746094
2019-03-19,78.07841491699219
2020-01-06,77.82970428466797
2020-03-25,78.11669158935547
2020-06-12,78.87239837646484
2019-10-22,79.07329559326172
2020-01-09,79.58985900878906
2020-06-15,79.33158111572266
2019-10-25,79.71421813964844
2020-03-31,79.72378540039062
2020-06-18,80.1829605102539
2019-04-03,80.6134262084961
2018-08-22,81.24479675292969
2018-10-25,81.48394775390625
2019-01-29,81.2926254272461
2018-12-28,81.15870666503906
2018-11-26,81.02477264404297
2019-08-09,80.17339324951172
2019-07-08,80.20208740234375
2019-06-06,80.72821807861328
2019-09-10,81.22566223144531
2020-01-15,81.40741729736328
2020-04-03,81.96224975585938
2019-10-31,81.4648208618164
2020-04-06,80.6134262084961
2020-06-24,81.12999725341797
2018-11-09,80.6612548828125
2019-07-23,81.08216857910156
2019-06-21,80.77606201171875
2019-05-20,80.34557342529297
2019-04-18,81.12999725341797
2018-09-06,80.15425872802734
2018-10-08,80.50821685791016
2019-02-13,80.23078918457031
2018-12-11,80.80475616455078
2019-09-25,80.88128662109375
2020-01-21,80.93868255615234
2020-04-09,79.99164581298828
2019-11-06,80.25949096679688
2020-01-24,79.98206329345703
2020-01-27,80.22122955322266
2020-04-15,80.53691101074219
2018-12-26,80.6612548828125
2019-08-07,80.85258483886719
2019-06-04,81.2830581665039
2018-09-21,80.81432342529297
2018-07-19,82.42143249511719
2018-08-20,81.53178405761719
2018-10-23,81.4648208618164
2019-05-03,82.29705810546875
2019-04-01,81.71353149414062
2019-02-28,81.51264190673828
2019-11-12,80.2881851196289
2020-01-30,80.35514831542969
2019-11-15,81.59873962402344
2020-04-21,82.30663299560547
2019-04-16,81.92066955566406
2019-03-15,82.50926208496094
2019-02-11,83.33908081054688
2019-01-10,83.88908386230469
2019-08-22,83.95662689208984
2018-11-07,83.6478500366211
2018-08-03,84.44872283935547
2018-09-04,85.2785415649414
2019-06-19,85.04696655273438
2019-09-23,83.70574951171875
2019-11-18,82.60575103759766
2020-02-05,82.25838470458984
2020-04-24,83.27153778076172
2019-03-29,84.30399322509766
2019-11-21,84.4583740234375
2020-04-27,86.18556213378906
2020-02-11,86.35924530029297
2020-04-30,85.21100616455078
2019-05-01,84.16890716552734
2019-02-26,83.67680358886719
2019-01-25,84.64170837402344
2018-12-24,84.69959259033203
2019-09-06,85.43292999267578
2018-07-17,85.03731536865234
2018-09-19,84.97943115234375
2019-08-05,85.76100158691406
2019-10-08,85.76100158691406
2019-12-11,86.07942199707031
2019-11-27,86.50398254394531
2020-02-14,85.81889343261719
2020-05-06,84.24608612060547
2019-01-08,84.19784545898438
2018-12-07,84.60311126708984
2019-08-20,84.2943344116211
2018-11-05,85.317138671875
2019-07-19,86.09872436523438
2018-10-04,85.69345092773438
2019-06-17,85.74169921875
2019-05-16,85.60661315917969
2018-08-01,85.9829330444336
2019-03-13,86.10836029052734
2019-12-03,85.83818817138672
2020-02-20,85.44258880615234
2019-12-06,84.73819732666016
2020-05-12,84.5162582397461
2019-12-09,85.24958801269531
2020-02-26,84.17855072021484
2020-05-15,83.7732925415039
2019-03-28,83.47416687011719
2018-09-17,83.49346923828125
2018-08-16,83.06890106201172
2018-10-19,83.31013488769531
2019-04-29,83.61891174316406
2019-01-23,82.40312194824219
2019-09-04,81.97856140136719
2018-11-20,82.9145278930664
2019-07-02,83.10749816894531
2019-05-31,82.48031616210938
2019-12-12,83.58995056152344
2020-05-18,84.00486755371094
2019-09-27,84.4583740234375
2020-03-03,84.19784545898438
2020-05-21,84.39083862304688
2019-05-14,84.42002868652344
2018-08-31,83.66097259521484
2018-07-30,84.63411712646484
2018-10-02,84.85792541503906
2019-04-12,85.77268981933594
2019-03-11,85.40290069580078
2019-02-07,85.90892791748047
2019-07-17,85.87000274658203
2019-09-19,84.57573699951172
2019-10-21,85.4126205444336
2019-12-18,85.67536926269531
2020-03-06,85.4126205444336
2019-10-03,85.78242492675781
2020-03-09,86.51228332519531
2020-05-27,88.2055435180664
2019-12-24,88.40989685058594
2020-03-12,88.43909454345703
2018-12-20,88.6921157836914
2019-08-01,87.9622573852539
2018-08-14,86.93072509765625
2018-07-13,87.51461029052734
2018-10-17,87.76763153076172
2019-05-29,87.39783477783203
2019-03-26,87.51461029052734
2019-02-22,88.48774719238281
2019-10-04,89.02297973632812
2019-11-05,89.41223907470703
2019-12-27,89.91827392578125
2020-06-02,90.25887298583984
2019-12-30,91.43637084960938
2020-03-18,91.46556091308594
2020-06-05,92.10783386230469
2019-07-15,92.07864379882812
2018-12-03,91.93267822265625
2019-06-13,91.5726089477539
2019-01-04,90.18101501464844
2018-08-29,90.52162170410156
2019-02-05,91.61153411865234
2018-11-01,91.33905792236328
2019-08-16,90.50215148925781
2019-04-10,90.85248565673828
2019-09-17,90.55081939697266
2019-10-15,89.74310302734375
