Dates,DISCK
2018-06-20,25.780000686645508
2018-06-21,26.18000030517578
2018-06-25,26.110000610351562
2018-06-22,26.200000762939453
2018-06-26,26.110000610351562
2018-06-27,25.969999313354492
2018-06-28,26.059999465942383
2018-06-29,26.299999237060547
2018-07-02,25.479999542236328
2018-07-03,25.600000381469727
2018-07-05,25.40999984741211
2018-07-16,25.6200008392334
2018-09-18,25.75
2019-01-24,26.100000381469727
2019-09-05,26.15999984741211
2018-11-21,25.760000228881836
2020-01-13,25.520000457763672
2020-04-01,25.600000381469727
2020-06-19,25.18000030517578
2019-10-29,24.770000457763672
2020-01-16,24.979999542236328
2020-06-22,24.56999969482422
2018-10-03,24.5
2018-07-31,24.700000762939453
2019-03-12,24.059999465942383
2019-02-08,24.170000076293945
2019-01-07,24.43000030517578
2018-12-06,24.290000915527344
2019-08-19,24.459999084472656
2019-07-18,24.420000076293945
2019-05-15,24.15999984741211
2019-09-20,24.43000030517578
2019-11-01,24.889999389648438
2020-04-07,23.540000915527344
2020-06-25,23.790000915527344
2020-06-16,23.899999618530273
2019-11-04,24.170000076293945
2020-01-22,24.170000076293945
2019-11-07,24.209999084472656
2020-04-13,24.350000381469727
2019-07-01,24.3799991607666
2019-05-30,24.479999542236328
2018-08-15,24.90999984741211
2018-10-18,26.260000228881836
2019-03-27,27.31999969482422
2019-01-22,26.75
2018-12-21,26.6299991607666
2019-09-03,26.350000381469727
2018-11-19,26.5
2019-08-02,26.030000686645508
2020-01-28,25.989999771118164
2020-04-16,25.860000610351562
2019-11-13,25.6200008392334
2020-01-31,25.31999969482422
2018-12-04,25.489999771118164
2018-11-02,26.15999984741211
2019-07-16,25.809999465942383
2018-08-30,26.190000534057617
2018-10-01,26.559999465942383
2019-06-14,28.5
2019-05-13,29.329999923706055
2019-04-11,29.600000381469727
2019-02-06,28.65999984741211
2019-09-18,29.010000228881836
2020-02-03,29.559999465942383
2020-04-22,29.84000015258789
2019-11-19,29.06999969482422
2020-02-06,29.25
2019-11-22,28.989999771118164
2019-03-25,29.040000915527344
2019-02-21,29.399999618530273
2018-12-19,29.670000076293945
2018-07-12,29.8700008392334
2018-09-14,30.43000030517578
2018-08-13,30.450000762939453
2018-10-16,30.75
2019-07-31,30.149999618530273
2019-05-28,30.170000076293945
2019-04-26,30.690000534057617
2020-04-28,29.360000610351562
2019-11-25,28.81999969482422
2020-02-12,28.989999771118164
2020-05-01,29.65999984741211
2020-05-04,30.079999923706055
2019-06-12,30.110000610351562
2019-04-09,30.030000686645508
2019-03-08,30.200000762939453
2019-02-04,29.739999771118164
2018-07-27,29.639999389648438
2018-08-28,27.329999923706055
2019-01-03,27.59000015258789
2019-08-15,27.920000076293945
2018-10-31,27.670000076293945
2019-09-16,28.6299991607666
2020-02-18,29.290000915527344
2020-05-07,29.829999923706055
2018-08-17,29.290000915527344
2019-12-04,29.989999771118164
2020-02-21,30.0
2018-12-17,30.440000534057617
2019-08-30,30.25
2018-11-15,29.81999969482422
2019-07-29,29.239999771118164
2019-06-27,29.1200008392334
2019-04-24,28.610000610351562
2018-07-10,28.639999389648438
2018-09-12,28.520000457763672
2019-02-19,27.610000610351562
2019-01-18,27.170000076293945
2020-02-24,27.350000381469727
2020-05-13,27.780000686645508
2019-12-10,27.280000686645508
2020-02-27,27.31999969482422
2019-12-13,28.030000686645508
2020-05-19,28.700000762939453
2019-03-06,28.0
2018-11-30,26.040000915527344
2019-08-13,25.6200008392334
2019-07-12,26.969999313354492
2019-06-10,26.889999389648438
2019-05-09,26.799999237060547
2018-07-25,26.309999465942383
2018-09-27,26.100000381469727
2018-10-29,25.799999237060547
2019-10-16,26.040000915527344
2019-12-16,25.850000381469727
2020-03-04,25.239999771118164
2020-05-22,25.1200008392334
2019-10-01,24.079999923706055
2019-12-19,23.399999618530273
2018-09-10,22.979999542236328
2019-05-24,23.459999084472656
2018-08-09,23.049999237060547
2019-04-22,23.149999618530273
2019-03-21,22.790000915527344
2019-01-16,23.469999313354492
2019-08-28,24.170000076293945
2018-11-13,24.309999465942383
2018-10-12,24.8799991607666
2019-06-25,25.260000228881836
2020-03-10,25.200000762939453
2020-05-28,24.809999465942383
2019-10-07,25.030000686645508
2020-03-13,25.200000762939453
2019-10-10,25.18000030517578
2020-03-16,25.149999618530273
2020-06-03,25.700000762939453
2018-11-28,25.799999237060547
2018-09-25,25.010000228881836
2018-07-23,24.780000686645508
2018-08-24,25.59000015258789
2019-07-10,25.700000762939453
2019-05-07,25.860000610351562
2019-04-05,25.479999542236328
2019-03-04,25.469999313354492
2019-01-31,26.670000076293945
2019-09-12,26.649999618530273
2019-12-31,26.600000381469727
2020-03-19,27.1299991607666
2020-01-03,27.139999389648438
2020-06-09,26.68000030517578
2019-02-15,27.3700008392334
2019-01-14,27.079999923706055
2018-07-06,26.43000030517578
2018-08-07,26.690000534057617
2018-10-10,27.459999084472656
2018-12-13,27.479999542236328
2019-08-26,27.389999389648438
2019-07-25,27.450000762939453
2019-05-22,27.420000076293945
2019-03-19,27.700000762939453
