Dates,DISCK
2018-06-20,4686000.0
2018-06-21,2959300.0
2018-06-25,7441100.0
2018-06-22,2684500.0
2018-06-26,4579700.0
2018-06-27,2805200.0
2018-06-28,2511600.0
2018-06-29,2546800.0
2018-07-02,3040000.0
2018-07-03,1081700.0
2018-07-05,1940700.0
2018-07-16,1768700.0
2018-09-18,1828500.0
2019-01-24,1645300.0
2019-09-05,1699300.0
2018-11-21,1858400.0
2020-01-13,1317400.0
2020-04-01,1230000.0
2020-06-19,2290200.0
2019-10-29,1308700.0
2020-01-16,1970900.0
2020-06-22,1167000.0
2018-10-03,1402900.0
2018-07-31,2052500.0
2019-03-12,1629100.0
2019-02-08,1497300.0
2019-01-07,1667300.0
2018-12-06,1613300.0
2019-08-19,1921900.0
2019-07-18,1415000.0
2019-05-15,1127600.0
2019-09-20,1015700.0
2019-11-01,1610700.0
2020-04-07,3496900.0
2020-06-25,2339800.0
2020-06-16,1042900.0
2019-11-04,1028100.0
2020-01-22,1163300.0
2019-11-07,1569400.0
2020-04-13,1621800.0
2019-07-01,935200.0
2019-05-30,1030200.0
2018-08-15,1673100.0
2018-10-18,3417700.0
2019-03-27,1618100.0
2019-01-22,1471600.0
2018-12-21,1113300.0
2019-09-03,1758800.0
2018-11-19,2083800.0
2019-08-02,1662400.0
2020-01-28,1368700.0
2020-04-16,2169800.0
2019-11-13,1775600.0
2020-01-31,1878700.0
2018-12-04,1823400.0
2018-11-02,2058500.0
2019-07-16,2940900.0
2018-08-30,2209200.0
2018-10-01,4369800.0
2019-06-14,4678100.0
2019-05-13,2336200.0
2019-04-11,2353200.0
2019-02-06,2591800.0
2019-09-18,1648500.0
2020-02-03,1750400.0
2020-04-22,7384300.0
2019-11-19,3338800.0
2020-02-06,1710000.0
2019-11-22,1904800.0
2019-03-25,1625900.0
2019-02-21,2309700.0
2018-12-19,3101100.0
2018-07-12,2583800.0
2018-09-14,3332400.0
2018-08-13,2771700.0
2018-10-16,3192600.0
2019-07-31,2124600.0
2019-05-28,1507000.0
2019-04-26,3782000.0
2020-04-28,3293800.0
2019-11-25,2308100.0
2020-02-12,2197700.0
2020-05-01,3626200.0
2020-05-04,4890900.0
2019-06-12,3185100.0
2019-04-09,2879500.0
2019-03-08,1934100.0
2019-02-04,2556600.0
2018-07-27,3728100.0
2018-08-28,2308700.0
2019-01-03,3881800.0
2019-08-15,3127400.0
2018-10-31,2657900.0
2019-09-16,2863500.0
2020-02-18,3067900.0
2020-05-07,2224000.0
2018-08-17,2328200.0
2019-12-04,1701300.0
2020-02-21,3052000.0
2018-12-17,3331400.0
2019-08-30,2007300.0
2018-11-15,1942800.0
2019-07-29,2393800.0
2019-06-27,4085400.0
2019-04-24,2160300.0
2018-07-10,2449800.0
2018-09-12,4522400.0
2019-02-19,2167600.0
2019-01-18,2739900.0
2020-02-24,1080000.0
2020-05-13,2093200.0
2019-12-10,3181700.0
2020-02-27,2946100.0
2019-12-13,2304900.0
2020-05-19,5259100.0
2019-03-06,5530000.0
2018-11-30,5034200.0
2019-08-13,5652200.0
2019-07-12,6428100.0
2019-06-10,4155000.0
2019-05-09,3078300.0
2018-07-25,2349200.0
2018-09-27,4057400.0
