Dates,LVS
2018-06-20,80.98999786376953
2018-06-21,80.05000305175781
2018-06-25,80.19000244140625
2018-06-22,79.31999969482422
2018-06-26,77.61000061035156
2018-06-27,77.88999938964844
2018-06-28,76.33999633789062
2018-06-29,77.1500015258789
2018-07-02,73.1500015258789
2018-07-03,72.02999877929688
2018-07-05,72.38999938964844
2018-07-16,72.45999908447266
2018-09-18,74.08999633789062
2019-01-24,73.76000213623047
2019-09-05,73.05000305175781
2018-11-21,73.36000061035156
2020-01-13,73.77999877929688
2020-04-01,74.44999694824219
2020-06-19,74.76000213623047
2019-10-29,74.83999633789062
2020-01-16,74.97000122070312
2020-06-22,74.2699966430664
2018-10-03,74.31999969482422
2018-07-31,76.0999984741211
2019-03-12,75.72000122070312
2019-02-08,72.98999786376953
2019-01-07,72.41000366210938
2018-12-06,71.5
2019-08-19,72.23999786376953
2019-07-18,72.0999984741211
2019-05-15,68.6500015258789
2019-09-20,68.93000030517578
2019-11-01,69.43000030517578
2020-04-07,69.72000122070312
2020-06-25,69.62999725341797
2020-06-16,69.36000061035156
2019-11-04,68.47000122070312
2020-01-22,68.0
2019-11-07,67.13999938964844
2020-04-13,66.12000274658203
2019-07-01,65.9800033569336
2019-05-30,65.94999694824219
2018-08-15,66.98999786376953
2018-10-18,66.4000015258789
2019-03-27,66.20999908447266
2019-01-22,66.08999633789062
2018-12-21,65.87999725341797
2019-09-03,67.52999877929688
2018-11-19,67.0
2019-08-02,66.83000183105469
2020-01-28,66.36000061035156
2020-04-16,65.87999725341797
2019-11-13,65.41999816894531
2020-01-31,64.20999908447266
2018-12-04,62.83000183105469
2018-11-02,61.209999084472656
2019-07-16,61.45000076293945
2018-08-30,60.599998474121094
2018-10-01,61.459999084472656
2019-06-14,62.349998474121094
2019-05-13,62.70000076293945
2019-04-11,61.790000915527344
2019-02-06,60.79999923706055
2019-09-18,61.150001525878906
2020-02-03,61.63999938964844
2020-04-22,61.79999923706055
2019-11-19,60.61000061035156
2020-02-06,60.91999816894531
2019-11-22,60.900001525878906
2019-03-25,60.029998779296875
2019-02-21,59.90999984741211
2018-12-19,60.130001068115234
2018-07-12,59.97999954223633
2018-09-14,61.470001220703125
2018-08-13,61.06999969482422
2018-10-16,59.790000915527344
2019-07-31,59.06999969482422
2019-05-28,58.43000030517578
2019-04-26,58.25
2020-04-28,56.619998931884766
2019-11-25,57.06999969482422
2020-02-12,56.290000915527344
2020-05-01,57.45000076293945
2020-05-04,58.09000015258789
2019-06-12,57.68000030517578
2019-04-09,56.54999923706055
2019-03-08,56.130001068115234
2019-02-04,53.9900016784668
2018-07-27,53.709999084472656
2018-08-28,54.540000915527344
2019-01-03,53.66999816894531
2019-08-15,52.959999084472656
2018-10-31,51.02000045776367
2019-09-16,52.439998626708984
2020-02-18,57.45000076293945
2020-05-07,57.88999938964844
2018-08-17,56.25
2019-12-04,55.54999923706055
2020-02-21,56.880001068115234
2018-12-17,54.369998931884766
2019-08-30,53.81999969482422
2018-11-15,52.470001220703125
2019-07-29,53.0
2019-06-27,53.0099983215332
2019-04-24,53.9900016784668
2018-07-10,54.22999954223633
2018-09-12,54.04999923706055
2019-02-19,50.709999084472656
2019-01-18,52.880001068115234
2020-02-24,51.68000030517578
2020-05-13,54.66999816894531
2019-12-10,54.41999816894531
2020-02-27,55.369998931884766
2019-12-13,55.13999938964844
2020-05-19,55.130001068115234
2019-03-06,59.209999084472656
2018-11-30,57.95000076293945
2019-08-13,55.720001220703125
2019-07-12,56.20000076293945
2019-06-10,54.790000915527344
2019-05-09,56.47999954223633
2018-07-25,56.31999969482422
2018-09-27,56.4900016784668
2018-10-29,56.04999923706055
2019-10-16,54.33000183105469
2019-12-16,53.79999923706055
2020-03-04,53.43000030517578
2020-05-22,51.63999938964844
2019-10-01,51.02000045776367
2019-12-19,49.349998474121094
2018-09-10,51.54999923706055
2019-05-24,51.22999954223633
2018-08-09,52.0
2019-04-22,52.189998626708984
2019-03-21,54.720001220703125
2019-01-16,53.880001068115234
2019-08-28,55.349998474121094
2018-11-13,56.060001373291016
2018-10-12,56.72999954223633
2019-06-25,57.63999938964844
2020-03-10,57.5
2020-05-28,57.04999923706055
2019-10-07,56.099998474121094
2020-03-13,56.849998474121094
2019-10-10,57.88999938964844
2020-03-16,57.41999816894531
2020-06-03,58.209999084472656
2018-11-28,57.5
2018-09-25,57.65999984741211
2018-07-23,57.63999938964844
2018-08-24,57.5
2019-07-10,57.38999938964844
2019-05-07,56.86000061035156
2019-04-05,59.13999938964844
2019-03-04,59.650001525878906
2019-01-31,59.939998626708984
2019-09-12,59.959999084472656
2019-12-31,59.70000076293945
2020-03-19,61.209999084472656
2020-01-03,60.70000076293945
2020-06-09,59.790000915527344
2019-02-15,59.95000076293945
2019-01-14,61.09000015258789
2018-07-06,60.959999084472656
2018-08-07,59.79999923706055
2018-10-10,60.400001525878906
2018-12-13,61.84000015258789
2019-08-26,61.83000183105469
2019-07-25,61.81999969482422
