Dates,PXD
2018-06-20,1768600.0
2018-06-21,1473800.0
2018-06-25,3099400.0
2018-06-22,1671700.0
2018-06-26,1521800.0
2018-06-27,2388000.0
2018-06-28,1320700.0
2018-06-29,1279600.0
2018-07-02,1189900.0
2018-07-03,941500.0
2018-07-05,1283300.0
2018-07-16,1392600.0
2018-09-18,1659900.0
2019-01-24,1521600.0
2019-09-05,1849100.0
2018-11-21,1447800.0
2020-01-13,1069600.0
2020-04-01,1351600.0
2020-06-19,1053200.0
2019-10-29,1117500.0
2020-01-16,1140500.0
2020-06-22,1482500.0
2018-10-03,1145000.0
2018-07-31,1381500.0
2019-03-12,1018100.0
2019-02-08,1022300.0
2019-01-07,789700.0
2018-12-06,968800.0
2019-08-19,1334000.0
2019-07-18,998900.0
2019-05-15,958700.0
2019-09-20,1439700.0
2019-11-01,1069400.0
2020-04-07,1361300.0
2020-06-25,2220300.0
2020-06-16,1164900.0
2019-11-04,1328500.0
2020-01-22,1235500.0
2019-11-07,966300.0
2020-04-13,2726400.0
2019-07-01,1525800.0
2019-05-30,1721600.0
2018-08-15,1307200.0
2018-10-18,1731900.0
2019-03-27,1365800.0
2019-01-22,982400.0
2018-12-21,911600.0
2019-09-03,1157400.0
2018-11-19,1356200.0
2019-08-02,1159600.0
2020-01-28,1143600.0
2020-04-16,1052000.0
2019-11-13,1233200.0
2020-01-31,1740700.0
2018-12-04,1537700.0
2018-11-02,2110100.0
2019-07-16,2051500.0
2018-08-30,1935000.0
2018-10-01,1442200.0
2019-06-14,1343000.0
2019-05-13,1237600.0
2019-04-11,1115700.0
2019-02-06,1479100.0
2019-09-18,769700.0
2020-02-03,1374600.0
2020-04-22,1534200.0
2019-11-19,1685000.0
2020-02-06,1053500.0
2019-11-22,1304500.0
2019-03-25,1748700.0
2019-02-21,2811500.0
2018-12-19,1350300.0
2018-07-12,1225000.0
2018-09-14,1799000.0
2018-08-13,1285600.0
2018-10-16,1078200.0
2019-07-31,1143300.0
2019-05-28,2097000.0
2019-04-26,1848800.0
2020-04-28,1972800.0
2019-11-25,1318100.0
2020-02-12,1145000.0
2020-05-01,1374100.0
2020-05-04,1274600.0
2019-06-12,1362600.0
2019-04-09,928100.0
2019-03-08,1462600.0
2019-02-04,1869900.0
2018-07-27,2424600.0
2018-08-28,1754800.0
2019-01-03,2349000.0
2019-08-15,2195600.0
2018-10-31,1673300.0
2019-09-16,2253000.0
2020-02-18,1488700.0
2020-05-07,1389800.0
2018-08-17,1398600.0
2019-12-04,2995400.0
2020-02-21,3645700.0
2018-12-17,2094600.0
2019-08-30,1701000.0
2018-11-15,1618200.0
2019-07-29,1680500.0
2019-06-27,1812700.0
2019-04-24,1539100.0
2018-07-10,1064200.0
2018-09-12,1065100.0
2019-02-19,1582000.0
2019-01-18,1292300.0
2020-02-24,874600.0
