Dates,PXD
2018-06-20,183.5500030517578
2018-06-21,182.30999755859375
2018-06-25,186.42999267578125
2018-06-22,186.61000061035156
2018-06-26,187.1999969482422
2018-06-27,195.0
2018-06-28,193.75999450683594
2018-06-29,192.11000061035156
2018-07-02,188.80999755859375
2018-07-03,190.3300018310547
2018-07-05,188.30999755859375
2018-07-16,186.3000030517578
2018-09-18,189.42999267578125
2019-01-24,192.17999267578125
2019-09-05,188.3000030517578
2018-11-21,185.22000122070312
2020-01-13,186.22000122070312
2020-04-01,183.44000244140625
2020-06-19,183.9499969482422
2019-10-29,182.80999755859375
2020-01-16,183.63999938964844
2020-06-22,183.74000549316406
2018-10-03,182.82000732421875
2018-07-31,188.74000549316406
2019-03-12,189.1300048828125
2019-02-08,189.16000366210938
2019-01-07,189.27000427246094
2018-12-06,193.02999877929688
2019-08-19,191.0800018310547
2019-07-18,188.33999633789062
2019-05-15,189.4199981689453
2019-09-20,188.3300018310547
2019-11-01,187.9499969482422
2020-04-07,188.75
2020-06-25,189.77000427246094
2020-06-16,189.0
2019-11-04,188.00999450683594
2020-01-22,186.75
2019-11-07,187.17999267578125
2020-04-13,182.39999389648438
2019-07-01,175.5399932861328
2019-05-30,175.10000610351562
2018-08-15,173.85000610351562
2018-10-18,176.27000427246094
2019-03-27,177.5500030517578
2019-01-22,176.3699951171875
2018-12-21,178.41000366210938
2019-09-03,178.58999633789062
2018-11-19,178.58999633789062
2019-08-02,176.86000061035156
2020-01-28,176.7899932861328
2020-04-16,175.27999877929688
2019-11-13,176.3800048828125
2020-01-31,169.91000366210938
2018-12-04,169.49000549316406
2018-11-02,163.92999267578125
2019-07-16,164.57000732421875
2018-08-30,167.69000244140625
2018-10-01,171.77999877929688
2019-06-14,171.72000122070312
2019-05-13,172.19000244140625
2019-04-11,173.74000549316406
2019-02-06,175.55999755859375
2019-09-18,175.3000030517578
2020-02-03,175.0800018310547
2020-04-22,174.00999450683594
2019-11-19,178.13999938964844
2020-02-06,178.5
2019-11-22,177.41000366210938
2019-03-25,176.0
