Dates,PXD
2018-06-20,183.24000549316406
2018-06-21,178.02000427246094
2018-06-25,185.64999389648438
2018-06-22,182.27000427246094
2018-06-26,186.27999877929688
2018-06-27,192.8000030517578
2018-06-28,188.85000610351562
2018-06-29,189.24000549316406
2018-07-02,185.2100067138672
2018-07-03,186.19000244140625
2018-07-05,183.3300018310547
2018-07-16,185.02000427246094
2018-09-18,189.24000549316406
2019-01-24,189.82000732421875
2019-09-05,182.58999633789062
2018-11-21,182.36000061035156
2020-01-13,184.5500030517578
2020-04-01,183.0
2020-06-19,182.63999938964844
2019-10-29,182.24000549316406
2020-01-16,182.97000122070312
2020-06-22,180.9499969482422
2018-10-03,181.30999755859375
2018-07-31,187.1699981689453
2019-03-12,188.64999389648438
2019-02-08,188.4499969482422
2019-01-07,186.02000427246094
2018-12-06,191.27000427246094
2019-08-19,189.27000427246094
2019-07-18,187.66000366210938
2019-05-15,188.5800018310547
2019-09-20,184.11000061035156
2019-11-01,186.11000061035156
2020-04-07,186.57000732421875
2020-06-25,188.02999877929688
2020-06-16,185.64999389648438
2019-11-04,186.13999938964844
2020-01-22,183.1199951171875
2019-11-07,183.33999633789062
2020-04-13,173.69000244140625
2019-07-01,173.08999633789062
2019-05-30,173.1999969482422
2018-08-15,172.50999450683594
2018-10-18,173.74000549316406
2019-03-27,176.0500030517578
2019-01-22,174.86000061035156
2018-12-21,176.0399932861328
2019-09-03,177.38999938964844
2018-11-19,175.7899932861328
2019-08-02,175.6199951171875
2020-01-28,174.74000549316406
2020-04-16,174.6999969482422
2019-11-13,171.10000610351562
2020-01-31,169.22000122070312
2018-12-04,164.6300048828125
2018-11-02,162.19000244140625
2019-07-16,163.22000122070312
2018-08-30,166.4199981689453
2018-10-01,169.97000122070312
2019-06-14,170.1699981689453
2019-05-13,170.42999267578125
2019-04-11,171.11000061035156
2019-02-06,173.7899932861328
2019-09-18,174.0
2020-02-03,171.38999938964844
2020-04-22,172.52000427246094
2019-11-19,174.85000610351562
2020-02-06,177.3800048828125
2019-11-22,174.0
2019-03-25,172.0
2019-02-21,174.19000244140625
2018-12-19,178.22000122070312
2018-07-12,178.19000244140625
2018-09-14,183.57000732421875
2018-08-13,181.17999267578125
