Dates,PXD
2018-06-20,182.13999938964844
2018-06-21,182.10000610351562
2018-06-25,185.0
2018-06-22,185.91000366210938
2018-06-26,182.07000732421875
2018-06-27,188.57000732421875
2018-06-28,193.4499969482422
2018-06-29,189.86000061035156
2018-07-02,188.80999755859375
2018-07-03,188.41000366210938
2018-07-05,188.14999389648438
2018-07-16,182.27000427246094
2018-09-18,186.6999969482422
2019-01-24,191.05999755859375
2019-09-05,186.8000030517578
2018-11-21,184.17999267578125
2020-01-13,182.05999755859375
2020-04-01,182.0500030517578
2020-06-19,182.64999389648438
2019-10-29,181.5
2020-01-16,182.36000061035156
2020-06-22,182.7100067138672
2018-10-03,182.63999938964844
2018-07-31,182.80999755859375
2019-03-12,187.1699981689453
2019-02-08,188.6699981689453
2019-01-07,187.9199981689453
2018-12-06,189.0
2019-08-19,191.07000732421875
2019-07-18,187.33999633789062
2019-05-15,186.5500030517578
2019-09-20,188.30999755859375
2019-11-01,184.58999633789062
2020-04-07,187.6199951171875
2020-06-25,183.2899932861328
2020-06-16,188.02999877929688
2019-11-04,185.75
2020-01-22,185.6699981689453
2019-11-07,185.4499969482422
2020-04-13,181.99000549316406
2019-07-01,175.0399932861328
2019-05-30,174.22000122070312
2018-08-15,172.9499969482422
2018-10-18,174.02999877929688
2019-03-27,174.35000610351562
2019-01-22,175.00999450683594
2018-12-21,176.9499969482422
2019-09-03,176.3699951171875
2018-11-19,177.72000122070312
2019-08-02,176.86000061035156
2020-01-28,175.4199981689453
2020-04-16,173.72000122070312
2019-11-13,175.32000732421875
2020-01-31,169.6999969482422
2018-12-04,168.8300018310547
2018-11-02,163.92999267578125
2019-07-16,163.52999877929688
2018-08-30,163.58999633789062
2018-10-01,168.52999877929688
2019-06-14,169.0
2019-05-13,170.13999938964844
2019-04-11,172.2100067138672
2019-02-06,172.3699951171875
2019-09-18,174.2899932861328
2020-02-03,174.8699951171875
2020-04-22,172.1199951171875
2019-11-19,175.6699981689453
2020-02-06,175.89999389648438
2019-11-22,176.5
2019-03-25,175.0500030517578
2019-02-21,171.58999633789062
2018-12-19,175.11000061035156
2018-07-12,178.97000122070312
