Dates,AA
2007-02-12,79.77960205078125
2007-02-13,86.6281509399414
2007-02-15,84.1050033569336
2007-02-14,84.32127380371094
2007-02-16,83.98484802246094
2007-02-20,83.9367904663086
2007-02-21,84.4894790649414
2007-02-22,85.282470703125
2007-02-23,84.72978210449219
2007-02-26,85.45068359375
2007-02-27,83.23992156982422
2007-03-28,81.7981185913086
2007-11-07,82.13453674316406
2007-09-04,80.26020050048828
2007-08-03,77.8572006225586
2008-04-15,78.28974151611328
2008-05-21,79.17884826660156
2008-08-08,78.93855285644531
2008-08-11,80.06796264648438
2008-01-25,80.78885650634766
2007-05-14,81.24542999267578
2007-04-12,80.23616790771484
2007-12-24,83.04768371582031
2007-09-19,81.7020034790039
2008-04-30,81.77409362792969
2007-07-17,82.1585693359375
2007-06-15,81.55782318115234
2008-02-26,81.89424133300781
2008-05-27,82.1585693359375
2008-08-14,82.18260192871094
2008-05-30,82.63916778564453
2008-08-20,81.67797088623047
2007-08-01,81.75006103515625
2008-03-12,82.18260192871094
2007-03-26,82.30274963378906
2007-05-29,83.62439727783203
2007-04-27,83.60037231445312
2008-01-08,84.05693817138672
2007-12-07,84.41738891601562
2007-11-05,84.63365936279297
2007-10-04,85.93128204345703
2008-05-15,84.56156921386719
2008-06-05,84.51351165771484
2008-08-26,84.82589721679688
2007-10-19,83.96082305908203
2007-09-17,84.1050033569336
2007-08-16,83.11976623535156
2008-04-28,84.1050033569336
2007-04-10,83.38410186767578
2007-03-09,82.73529052734375
2007-06-13,87.70950317382812
2008-03-27,86.77233123779297
2008-01-23,86.84442138671875
2007-11-20,86.74829864501953
2008-06-11,85.78710174560547
2008-08-29,84.22515106201172
2007-12-05,85.30650329589844
2007-10-02,85.7390365600586
2007-04-25,93.30848693847656
2007-08-31,95.87969970703125
2007-07-30,95.03865051269531
2008-04-11,92.5155029296875
2007-06-28,92.32325744628906
2008-03-10,93.06819152832031
2008-02-07,94.55805206298828
2008-05-13,94.3177490234375
2008-06-23,94.65416717529297
2007-07-13,95.80760955810547
2008-03-25,94.99059295654297
2008-02-22,95.1107406616211
2007-12-20,98.04239654541016
2007-05-10,99.00360107421875
2007-03-07,98.30673217773438
2007-06-11,98.18657684326172
2007-10-17,99.12374877929688
2007-08-14,99.84465026855469
2008-05-28,99.82061767578125
2008-06-26,99.46016693115234
2007-05-31,98.28269958496094
2008-07-02,97.32150268554688
2007-08-29,96.38433074951172
2008-04-09,96.16806030273438
2007-06-26,96.55254364013672
2008-02-05,96.57656860351562
2008-01-04,97.39359283447266
2007-03-22,99.243896484375
2007-05-25,100.18106842041016
2007-04-23,103.08869934082031
2007-12-03,100.90196990966797
2007-11-01,99.89270782470703
2008-07-08,97.53777313232422
2007-12-18,97.65792083740234
2007-11-16,96.12000274658203
2007-10-15,95.15879821777344
2007-09-13,93.83715057373047
2008-04-24,95.78357696533203
2007-07-11,97.92224884033203
2008-02-20,99.72450256347656
2007-03-05,100.34928131103516
2007-05-08,99.86868286132812
2008-06-27,100.9260025024414
2008-07-11,102.22361755371094
2008-07-14,102.60810089111328
2008-03-06,102.10346984863281
2007-05-23,110.89845275878906
2008-01-02,114.59906768798828
2007-03-20,117.1943130493164
2007-10-30,112.82084655761719
2007-09-28,111.95577239990234
2007-08-27,112.79682159423828
2007-07-26,106.71723175048828
2008-04-07,102.58406829833984
2008-05-09,101.79107666015625
2008-07-23,100.66166687011719
2007-09-11,96.6246337890625
2007-04-04,93.26042938232422
2007-06-07,92.39534759521484
2007-08-10,94.3177490234375
2008-04-22,92.3472900390625
2007-07-09,91.84265899658203
2008-01-17,90.47295379638672
2007-11-14,88.02188873291016
2008-06-25,89.15129852294922
2008-08-28,90.3768310546875
2008-07-29,89.223388671875
2007-11-29,85.18634796142578
2007-05-21,86.96456909179688
2007-04-19,86.4359130859375
2007-09-26,84.60962677001953
2007-07-24,80.42841339111328
2007-06-22,80.8128890991211
2008-03-04,82.66320037841797
2008-02-01,84.60962677001953
2007-12-31,87.15680694580078
2008-05-07,88.79084777832031
2008-08-01,88.5986099243164
2008-08-04,90.04041290283203
2008-08-07,88.52651977539062
2008-01-15,87.58934783935547
2007-12-14,88.19010162353516
2007-04-02,88.74279022216797
2007-03-01,88.5986099243164
2007-05-04,89.00711822509766
2007-06-05,89.07920837402344
2007-11-12,86.31575775146484
2007-10-11,84.46544647216797
2007-08-08,82.97559356689453
2008-03-19,82.59111022949219
2008-05-23,83.86470031738281
