Dates,AA
2008-07-22,6319600.0
2008-07-25,3965000.0
2007-08-15,4718200.0
2007-11-19,3008800.0
2007-10-18,3769700.0
2008-01-22,4465700.0
2007-03-08,4681500.0
2007-05-11,5168000.0
2007-04-09,8773100.0
2007-06-12,7590000.0
2007-12-21,5860100.0
2008-03-26,5337200.0
2008-07-28,4538700.0
2007-07-02,5442400.0
2008-07-31,5340900.0
2007-06-27,9363200.0
2008-04-10,5999800.0
2007-12-04,5949300.0
2007-03-23,4753000.0
2007-04-24,9409600.0
2007-11-02,5811300.0
2007-10-01,6539900.0
2008-02-06,4891600.0
2007-08-30,4694000.0
2008-05-12,7387500.0
2008-08-06,6306200.0
2008-05-22,9071700.0
2007-10-16,6804800.0
2007-09-14,6944800.0
2007-08-13,6907300.0
2007-07-12,6220400.0
2008-03-24,8805100.0
2008-02-21,6422800.0
2008-04-25,9606600.0
2007-03-06,5922800.0
2007-05-09,4354600.0
2007-12-19,5947000.0
2008-08-12,5161900.0
2008-08-15,5159000.0
2008-08-18,5289000.0
2008-01-03,4963900.0
2007-10-31,4151600.0
2007-08-28,9292100.0
2007-07-27,5799600.0
2008-04-08,7684800.0
2008-03-07,6883100.0
2007-03-21,5019300.0
2007-05-24,6307600.0
2007-06-25,4867200.0
2008-02-04,5472200.0
2008-06-03,3528000.0
2008-08-21,3498100.0
2008-06-06,2985600.0
2007-05-07,3576400.0
2007-04-05,2268200.0
2007-07-10,3119900.0
2007-06-08,2616200.0
2008-02-19,3801900.0
2008-01-18,2909400.0
2007-12-17,2948900.0
2007-11-15,3884500.0
2007-09-12,3978100.0
2008-04-23,6554900.0
2008-08-27,5028200.0
2008-06-12,4156600.0
2007-09-27,5713800.0
2007-05-22,7278000.0
2007-03-19,9132700.0
2007-04-20,6481500.0
2007-07-25,10058100.0
2008-03-05,9048400.0
2007-11-30,7952500.0
2007-10-29,5471400.0
2008-05-08,7667500.0
2008-06-09,10559400.0
2008-06-18,6300600.0
2007-11-13,5394200.0
2007-03-02,5232700.0
2007-04-03,5240800.0
2007-06-06,3157400.0
2007-10-12,4827300.0
2007-09-10,4577200.0
2007-08-09,3874100.0
2008-04-21,3359900.0
2008-03-20,3935900.0
2008-01-16,3835800.0
2008-06-24,3995100.0
2008-03-03,5012300.0
2008-01-31,7405700.0
2007-04-18,11276900.0
2007-06-21,9764400.0
2007-11-28,6671200.0
2007-09-25,4824300.0
2007-08-24,3893000.0
2007-07-23,4127200.0
2008-04-04,3620000.0
2008-05-06,3128700.0
2008-06-30,7285600.0
2008-07-03,4182300.0
2007-08-07,4602600.0
2007-07-06,5496100.0
2008-03-18,6123300.0
2008-02-15,6212700.0
2007-02-28,5009400.0
2007-05-03,9098700.0
2007-06-04,8318700.0
2008-01-14,4813800.0
2007-12-13,8030900.0
2007-10-10,9359500.0
2008-07-09,9938000.0
2007-11-26,11968100.0
2007-10-25,8401200.0
2007-08-22,6959500.0
2008-04-02,7840400.0
2007-05-18,6688200.0
2007-03-15,8415200.0
2007-04-16,6392100.0
2007-06-19,4835400.0
2008-01-29,4697300.0
2007-12-28,5184600.0
2008-07-15,5843000.0
2008-02-11,4095300.0
2008-07-18,8144600.0
2008-07-21,5285200.0
2008-02-13,6210300.0
2007-12-11,4504300.0
2007-11-09,5588200.0
2007-10-08,5447600.0
2007-09-06,5988500.0
2007-03-30,4477100.0
2007-05-01,3258000.0
2008-04-17,4873200.0
2008-05-19,5122500.0
2008-06-20,5113600.0
2008-07-24,5994700.0
2007-08-20,4470600.0
2007-07-19,3802400.0
2008-03-31,3785700.0
2008-02-28,3822800.0
2007-12-26,4010200.0
2007-10-23,3185600.0
2007-03-13,3199200.0
2007-05-16,3694200.0
2007-09-21,2345600.0
2008-05-02,2677600.0
2008-07-30,3357300.0
2008-08-05,2397800.0
