Dates,BAC
2018-06-20,29.5
2018-06-21,29.450000762939453
2018-06-25,29.520000457763672
2018-06-22,28.90999984741211
2018-06-26,28.670000076293945
2018-06-27,28.850000381469727
2018-06-28,28.84000015258789
2018-06-29,29.170000076293945
2018-07-02,28.280000686645508
2018-07-03,28.43000030517578
2018-07-05,28.079999923706055
2018-07-16,28.149999618530273
2018-09-18,29.09000015258789
2019-01-24,29.329999923706055
2019-09-05,28.90999984741211
2018-11-21,28.969999313354492
2020-01-13,28.690000534057617
2020-04-01,29.850000381469727
2020-06-19,30.200000762939453
2019-10-29,30.290000915527344
2020-01-16,30.020000457763672
2020-06-22,30.15999984741211
2018-10-03,30.850000381469727
2018-07-31,31.110000610351562
2019-03-12,31.110000610351562
2019-02-08,31.209999084472656
2019-01-07,31.139999389648438
2018-12-06,31.450000762939453
2019-08-19,31.420000076293945
2019-07-18,31.549999237060547
2019-05-15,31.309999465942383
2019-09-20,31.510000228881836
2019-11-01,31.59000015258789
2020-04-07,31.799999237060547
2020-06-25,31.90999984741211
2020-06-16,31.790000915527344
2019-11-04,31.329999923706055
2020-01-22,31.1200008392334
2019-11-07,30.899999618530273
2020-04-13,30.6200008392334
2019-07-01,30.84000015258789
2019-05-30,30.860000610351562
2018-08-15,30.93000030517578
2018-10-18,31.25
2019-03-27,31.09000015258789
2019-01-22,30.979999542236328
2018-12-21,31.079999923706055
2019-09-03,31.489999771118164
2018-11-19,31.40999984741211
2019-08-02,31.309999465942383
2020-01-28,31.149999618530273
2020-04-16,30.950000762939453
2019-11-13,31.15999984741211
2020-01-31,31.239999771118164
2018-12-04,31.110000610351562
2018-11-02,31.1200008392334
2019-07-16,31.0
2018-08-30,30.899999618530273
2018-10-01,30.959999084472656
2019-06-14,30.670000076293945
2019-05-13,30.389999389648438
2019-04-11,30.489999771118164
2019-02-06,30.399999618530273
2019-09-18,31.200000762939453
2020-02-03,31.3700008392334
2020-04-22,31.3700008392334
2019-11-19,31.200000762939453
2020-02-06,31.040000915527344
2019-11-22,30.739999771118164
2019-03-25,30.309999465942383
2019-02-21,29.850000381469727
2018-12-19,29.940000534057617
2018-07-12,29.719999313354492
2018-09-14,30.18000030517578
2018-08-13,30.790000915527344
2018-10-16,30.649999618530273
2019-07-31,30.420000076293945
2019-05-28,30.190000534057617
2019-04-26,30.1299991607666
2020-04-28,29.25
2019-11-25,29.040000915527344
2020-02-12,28.6200008392334
2020-05-01,28.579999923706055
2020-05-04,29.190000534057617
2019-06-12,28.899999618530273
2019-04-09,28.520000457763672
2019-03-08,28.350000381469727
2019-02-04,27.200000762939453
2018-07-27,26.899999618530273
2018-08-28,26.93000030517578
2019-01-03,26.579999923706055
2019-08-15,27.18000030517578
2018-10-31,26.860000610351562
2019-09-16,27.8799991607666
2020-02-18,28.0
2020-05-07,28.3799991607666
2018-08-17,28.239999771118164
2019-12-04,28.25
2020-02-21,28.670000076293945
2018-12-17,29.1200008392334
2019-08-30,28.889999389648438
2018-11-15,28.520000457763672
2019-07-29,28.139999389648438
2019-06-27,28.100000381469727
2019-04-24,27.969999313354492
2018-07-10,27.889999389648438
2018-09-12,28.020000457763672
2019-02-19,27.56999969482422
2019-01-18,27.760000228881836
2020-02-24,27.170000076293945
2020-05-13,27.729999542236328
2019-12-10,27.899999618530273
2020-02-27,28.469999313354492
2019-12-13,28.350000381469727
2020-05-19,28.6299991607666
2019-03-06,29.040000915527344
2018-11-30,28.31999969482422
2019-08-13,26.31999969482422
2019-07-12,26.540000915527344
2019-06-10,25.229999542236328
2019-05-09,25.399999618530273
2018-07-25,24.989999771118164
2018-09-27,24.81999969482422
2018-10-29,24.8700008392334
2019-10-16,24.93000030517578
2019-12-16,25.09000015258789
2020-03-04,25.239999771118164
2020-05-22,24.43000030517578
2019-10-01,24.510000228881836
2019-12-19,23.209999084472656
2018-09-10,24.18000030517578
2019-05-24,24.3700008392334
2018-08-09,24.75
2019-04-22,24.969999313354492
2019-03-21,25.139999389648438
2019-01-16,25.040000915527344
2019-08-28,25.649999618530273
2018-11-13,25.780000686645508
2018-10-12,25.790000915527344
2019-06-25,25.850000381469727
2020-03-10,25.780000686645508
2020-05-28,26.040000915527344
2019-10-07,26.479999542236328
2020-03-13,26.809999465942383
2019-10-10,28.719999313354492
2020-03-16,29.0
2020-06-03,29.459999084472656
2018-11-28,29.299999237060547
2018-09-25,29.280000686645508
2018-07-23,29.200000762939453
2018-08-24,29.719999313354492
2019-07-10,29.670000076293945
2019-05-07,29.700000762939453
2019-04-05,29.469999313354492
2019-03-04,28.84000015258789
2019-01-31,28.84000015258789
2019-09-12,28.969999313354492
2019-12-31,28.8799991607666
2020-03-19,28.899999618530273
2020-01-03,28.639999389648438
2020-06-09,28.31999969482422
2019-02-15,28.459999084472656
2019-01-14,28.860000610351562
2018-07-06,28.989999771118164
2018-08-07,28.6200008392334
2018-10-10,29.309999465942383
2018-12-13,29.260000228881836
2019-08-26,29.450000762939453
2019-07-25,29.450000762939453
2019-05-22,29.270000457763672
2019-03-19,29.59000015258789
2020-01-06,29.6299991607666
2020-03-25,29.670000076293945
2020-06-12,29.549999237060547
2019-10-22,29.649999618530273
2020-01-09,29.540000915527344
2020-06-15,29.190000534057617
2019-10-25,29.15999984741211
2020-03-31,28.719999313354492
2020-06-18,28.670000076293945
2019-04-03,29.059999465942383
2018-08-22,29.1200008392334
2018-10-25,29.510000228881836
2019-01-29,29.639999389648438
2018-12-28,29.610000610351562
2018-11-26,29.959999084472656
2019-08-09,30.139999389648438
2019-07-08,29.65999984741211
2019-06-06,28.600000381469727
2019-09-10,28.06999969482422
2020-01-15,27.3799991607666
2020-04-03,27.350000381469727
2019-10-31,27.3700008392334
2020-04-06,27.40999984741211
2020-06-24,27.68000030517578
2018-11-09,28.739999771118164
2019-07-23,28.8700008392334
2019-06-21,29.239999771118164
2019-05-20,29.309999465942383
2019-04-18,29.5
2018-09-06,29.200000762939453
2018-10-08,29.06999969482422
2019-02-13,29.149999618530273
2018-12-11,29.489999771118164
2019-09-25,30.219999313354492
2020-01-21,30.139999389648438
2020-04-09,30.049999237060547
2019-11-06,30.1200008392334
2020-01-24,30.15999984741211
2020-01-27,30.100000381469727
2020-04-15,30.209999084472656
2018-12-26,30.170000076293945
2019-08-07,30.31999969482422
2019-06-04,30.389999389648438
2018-09-21,31.170000076293945
2018-07-19,30.8799991607666
2018-08-20,30.889999389648438
2018-10-23,30.559999465942383
