Dates,BAC
2018-09-21,68408600.0
2018-07-19,47764200.0
2018-08-20,56161000.0
2018-10-23,40634100.0
2019-05-03,35256100.0
2019-04-01,39882000.0
2019-02-28,58528400.0
2019-11-12,39903400.0
2020-01-30,44173500.0
2019-11-15,59649900.0
2020-04-21,72547000.0
2019-04-16,52216100.0
2019-03-15,51973200.0
2019-02-11,42791500.0
2019-01-10,43772500.0
2019-08-22,41717600.0
2018-11-07,39258700.0
2018-08-03,29177600.0
2018-09-04,59772900.0
2019-06-19,35524400.0
2019-09-23,44273400.0
2019-11-18,49818900.0
2020-02-05,58649300.0
2020-04-24,68304200.0
2019-03-29,50109900.0
2019-11-21,58426400.0
2020-04-27,44874400.0
2020-02-11,38633600.0
2020-04-30,51317200.0
2019-05-01,48305800.0
2019-02-26,38691800.0
2019-01-25,33507500.0
2018-12-24,33404200.0
2019-09-06,37322100.0
2018-07-17,33410100.0
2018-09-19,60170700.0
2019-08-05,61953500.0
2019-10-08,60887200.0
2019-12-11,69444000.0
2019-11-27,40046400.0
2020-02-14,46901300.0
2020-05-06,42312300.0
2019-01-08,35575600.0
2018-12-07,101856900.0
2019-08-20,48143200.0
2018-11-05,32263500.0
2019-07-19,26642300.0
2018-10-04,33092000.0
2019-06-17,30924400.0
2019-05-16,28750100.0
2018-08-01,40574800.0
2019-03-13,37376800.0
2019-12-03,29632900.0
2020-02-20,46462100.0
2019-12-06,54920400.0
2020-05-12,84958300.0
2019-12-09,49503500.0
2020-02-26,44863200.0
2020-05-15,31224300.0
2019-03-28,64030300.0
2018-09-17,53171900.0
2018-08-16,43251900.0
2018-10-19,46978800.0
2019-04-29,39176700.0
2019-01-23,37598300.0
2019-09-04,60607600.0
2018-11-20,76913400.0
2019-07-02,57492300.0
2019-05-31,96207700.0
2019-12-12,65115800.0
2020-05-18,75388500.0
2019-09-27,53141900.0
2020-03-03,53499600.0
2020-05-21,52995900.0
2019-05-14,69919200.0
2018-08-31,106591700.0
2018-07-30,70192000.0
2018-10-02,70841700.0
2019-04-12,44964800.0
2019-03-11,47665000.0
2019-02-07,47785400.0
2019-07-17,49353700.0
2019-09-19,81880700.0
2019-10-21,41499100.0
2019-12-18,52517000.0
2020-03-06,45897900.0
2019-10-03,55432900.0
2020-03-09,41326200.0
2020-05-27,50743100.0
2019-12-24,40862500.0
2020-03-12,63413700.0
2018-12-20,56054100.0
2019-08-01,68629300.0
2018-08-14,71066200.0
2018-07-13,53982200.0
2018-10-17,72943900.0
2019-05-29,79657000.0
2019-03-26,43391300.0
2019-02-22,48284900.0
2019-10-04,66640400.0
2019-11-05,43035700.0
2019-12-27,167269000.0
2020-06-02,52048300.0
2019-12-30,64806900.0
2020-03-18,45807700.0
2020-06-05,33198100.0
2019-07-15,41336600.0
2018-12-03,39191000.0
2019-06-13,49434400.0
2019-01-04,52293100.0
2018-08-29,53015800.0
2019-02-05,42641800.0
2018-11-01,36742400.0
2019-08-16,58201100.0
2019-04-10,37511400.0
2019-09-17,48239300.0
2019-10-15,70008600.0
2020-01-02,36040100.0
2020-06-08,78656000.0
2019-10-18,87131700.0
2020-03-24,55575900.0
2020-06-11,48872900.0
2020-01-08,61087400.0
2019-04-25,58662100.0
2019-07-30,47771200.0
2019-02-20,39491000.0
2018-07-11,43702000.0
2018-09-13,58790300.0
2018-10-15,48266600.0
2019-06-28,45262400.0
2018-12-18,49430900.0
2018-11-16,41985300.0
2019-10-02,54228600.0
2020-03-27,68785600.0
2020-01-10,47524500.0
2019-10-24,68310700.0
2020-03-30,38724000.0
2020-06-17,27784000.0
2020-01-14,37282200.0
2020-04-02,48887800.0
2019-01-02,35554600.0
2019-08-14,36398300.0
2018-10-30,31133700.0
2019-06-11,33183700.0
2019-05-10,43612200.0
2019-04-08,42787600.0
2018-08-27,38783900.0
2018-07-26,50238800.0
2018-09-28,50626600.0
2019-03-07,32097700.0
2019-10-30,19503400.0
2020-01-17,47158800.0
2020-06-23,58745100.0
2020-04-08,46637900.0
2020-06-26,38304500.0
2019-03-22,50908500.0
2019-01-17,32974500.0
2019-08-29,41960100.0
2018-11-14,43107800.0
2019-06-26,64942500.0
2018-09-11,48539600.0
2018-07-09,50777100.0
