,AAPL,Dates
0,154.79498291015625,2019-01-02
1,139.37625122070312,2019-01-03
2,145.3261260986328,2019-01-07
3,145.002685546875,2019-01-04
4,147.76686096191406,2019-01-08
5,150.2761993408203,2019-01-09
6,150.75653076171875,2019-01-10
7,149.27638244628906,2019-01-11
8,147.03170776367188,2019-01-14
9,150.0409698486328,2019-01-15
10,151.87396240234375,2019-01-16
11,152.77574157714844,2019-01-24
12,153.7167510986328,2019-02-01
13,150.2664031982422,2019-03-29
14,150.87413024902344,2019-03-21
15,149.67825317382812,2019-03-13
16,154.63815307617188,2019-06-28
17,153.20704650878906,2019-08-27
18,151.61907958984375,2019-12-03
19,161.9799346923828,2019-11-14
20,163.1463623046875,2019-05-21
21,163.22479248046875,2019-07-15
22,167.86119079589844,2019-08-08
23,170.73321533203125,2019-10-07
24,170.7920379638672,2019-07-01
25,167.5573272705078,2019-09-18
26,167.7542266845703,2019-12-06
27,166.7894744873047,2019-06-12
28,168.2267303466797,2019-08-30
29,167.5277862548828,2019-05-24
30,168.13815307617188,2019-10-29
31,167.76406860351562,2019-07-23
32,168.26609802246094,2019-10-10
33,169.34896850585938,2019-12-09
34,168.3940887451172,2019-04-05
35,170.27430725097656,2019-03-28
36,171.51466369628906,2019-01-23
37,171.6131134033203,2019-01-31
38,172.1446990966797,2019-02-08
39,170.45150756835938,2019-03-20
40,172.2431182861328,2019-03-12
41,173.10943603515625,2019-03-04
42,172.79440307617188,2019-04-29
43,171.8001708984375,2019-05-07
44,169.8116455078125,2019-05-08
45,170.2152557373047,2019-07-26
46,176.11187744140625,2019-08-14
47,178.090576171875,2019-11-01
48,178.8780975341797,2019-12-05
49,180.86660766601562,2019-09-24
50,183.2193603515625,2019-12-12
51,185.0897674560547,2019-06-18
52,183.62298583984375,2019-09-05
53,185.2275848388672,2019-05-30
54,192.049560546875,2019-11-04
55,188.07254028320312,2019-07-29
56,185.79852294921875,2019-10-16
57,183.87892150878906,2019-04-22
58,185.53274536132812,2019-07-10
59,185.77883911132812,2019-09-27
60,186.98968505859375,2019-06-21
61,188.2595977783203,2019-11-26
62,190.9962615966797,2019-08-20
63,192.3055419921875,2019-11-07
64,192.6402130126953,2019-05-14
65,193.92979431152344,2019-08-01
66,196.9814910888672,2019-01-22
67,196.39083862304688,2019-01-30
68,197.49337768554688,2019-02-15
69,195.8494110107422,2019-02-07
70,195.77066040039062,2019-04-12
71,196.1250457763672,2019-04-04
72,196.14474487304688,2019-03-27
73,199.9642791748047,2019-03-11
74,200.6829071044922,2019-03-19
75,201.34246826171875,2019-05-06
76,204.24647521972656,2019-09-30
77,203.9314727783203,2019-06-24
78,202.08078002929688,2019-09-11
79,201.1160430908203,2019-11-29
80,201.4212188720703,2019-06-05
81,197.54261779785156,2019-08-23
82,207.23912048339844,2019-05-17
83,205.8904571533203,2019-10-22
84,208.449951171875,2019-07-16
85,205.2309112548828,2019-10-03
86,199.69850158691406,2019-06-27
87,199.73785400390625,2019-12-02
88,197.59182739257812,2019-08-26
89,194.85450744628906,2019-11-13
90,183.52967834472656,2019-05-20
91,186.43499755859375,2019-08-07
92,188.6683349609375,2019-10-25
93,187.8382568359375,2019-07-19
94,186.77099609375,2019-03-18
95,180.93069458007812,2019-03-26
96,184.39930725097656,2019-02-22
97,180.62432861328125,2019-01-29
98,177.5411376953125,2019-02-06
99,176.85928344726562,2019-02-14
100,176.1280059814453,2019-04-11
101,175.28802490234375,2019-04-03
102,176.1971893310547,2019-05-13
103,173.00527954101562,2019-03-05
104,171.25613403320312,2019-06-11
105,177.52137756347656,2019-05-23
106,180.38714599609375,2019-08-29
107,183.0355682373047,2019-09-17
108,187.90740966796875,2019-10-28
109,190.3087615966797,2019-07-22
110,192.512451171875,2019-10-09
111,191.8997802734375,2019-07-03
112,191.8602294921875,2019-09-20
113,190.4668731689453,2019-06-14
114,191.6033172607422,2019-11-19
115,196.10952758789062,2019-08-13
116,195.536376953125,2019-10-31
117,197.1076202392578,2019-07-25
118,196.4356231689453,2019-09-23
119,196.2379913330078,2019-12-11
120,193.2635040283203,2019-06-17
121,197.44361877441406,2019-09-04
122,197.3843231201172,2019-11-22
123,195.5857696533203,2019-05-29
124,199.17298889160156,2019-01-28
125,200.33905029296875,2019-04-02
126,201.99923706054688,2019-03-25
127,201.82135009765625,2019-04-10
128,197.6610107421875,2019-02-05
129,198.86663818359375,2019-04-18
130,200.83316040039062,2019-03-01
131,199.37062072753906,2019-02-21
132,200.90234375,2019-02-13
133,202.78981018066406,2019-04-26
134,202.0881805419922,2019-05-10
135,200.9517364501953,2019-10-15
136,203.2344970703125,2019-07-09
137,200.20069885253906,2019-09-26
138,204.77610778808594,2019-06-20
139,206.37698364257812,2019-11-25
140,206.20901489257812,2019-08-19
141,204.57847595214844,2019-11-06
142,205.28997802734375,2019-07-31
143,207.2070770263672,2019-10-18
144,206.31768798828125,2019-07-12
145,210.5274658203125,2019-09-10
146,205.97181701660156,2019-06-04
147,201.6138458251953,2019-08-22
148,191.05978393554688,2019-05-16
149,194.67662048339844,2019-10-21
150,196.69256591796875,2019-02-20
151,201.03079223632812,2019-04-17
152,199.3742218017578,2019-04-09
153,198.86831665039062,2019-04-01
154,207.2900848388672,2019-02-04
155,201.1200714111328,2019-02-12
156,200.11819458007812,2019-03-08
157,204.8399200439453,2019-02-28
158,208.6589813232422,2019-04-25
159,208.6688995361328,2019-05-03
160,210.93057250976562,2019-06-26
161,210.7520294189453,2019-09-13
162,201.01097106933594,2019-10-02
163,204.8300018310547,2019-06-07
164,202.51873779296875,2019-11-12
165,203.8777313232422,2019-08-06
166,207.32974243164062,2019-10-24
167,207.06192016601562,2019-04-30
168,204.0463409423828,2019-07-18
169,207.50831604003906,2019-09-16
170,211.56541442871094,2019-10-04
171,211.5455780029297,2019-12-04
172,212.44827270507812,2019-06-10
173,214.95791625976562,2019-08-28
174,221.79254150390625,2019-11-15
175,221.2965545654297,2019-05-22
176,216.991455078125,2019-08-16
177,218.1322021484375,2019-08-09
178,218.92578125,2019-10-08
179,220.97914123535156,2019-07-02
180,219.18370056152344,2019-09-19
181,215.97962951660156,2019-01-18
182,216.96168518066406,2019-03-07
183,215.93003845214844,2019-02-27
184,219.25311279296875,2019-02-19
185,218.12228393554688,2019-02-11
186,217.06089782714844,2019-04-16
