,AAPL,Dates
0,154.22999572753906,2019-01-02
1,142.0,2019-01-03
2,143.8000030517578,2019-01-07
3,145.89999389648438,2019-01-04
4,148.52000427246094,2019-01-08
5,149.6300048828125,2019-01-09
6,150.86000061035156,2019-01-10
7,151.50999450683594,2019-01-11
8,149.22000122070312,2019-01-14
9,150.0500030517578,2019-01-15
10,153.0,2019-01-16
11,153.25999450683594,2019-01-24
12,155.97999572753906,2019-02-01
13,152.6199951171875,2019-03-29
14,151.6999969482422,2019-03-21
15,151.74000549316406,2019-03-13
16,154.32000732421875,2019-06-28
17,153.66000366210938,2019-08-27
18,154.11000061035156,2019-12-03
19,160.22999572753906,2019-11-14
20,164.55999755859375,2019-05-21
21,165.92999267578125,2019-07-15
22,167.27999877929688,2019-08-08
23,172.35000610351562,2019-10-07
24,172.85000610351562,2019-07-01
25,170.33999633789062,2019-09-18
26,168.4199981689453,2019-12-06
27,169.25,2019-06-12
28,169.6999969482422,2019-08-30
29,169.9199981689453,2019-05-24
30,169.3800048828125,2019-10-29
31,169.75,2019-07-23
32,169.49000549316406,2019-10-10
33,170.99000549316406,2019-12-09
34,170.3000030517578,2019-04-05
35,171.3800048828125,2019-03-28
36,173.9499969482422,2019-01-23
37,173.1699981689453,2019-01-31
38,172.72999572753906,2019-02-08
39,172.9199981689453,2019-03-20
40,172.88999938964844,2019-03-12
41,173.97000122070312,2019-03-04
42,174.5399932861328,2019-04-29
43,173.94000244140625,2019-05-07
44,172.02000427246094,2019-05-08
45,169.5,2019-07-26
46,175.35000610351562,2019-08-14
47,179.3699951171875,2019-11-01
48,180.9199981689453,2019-12-05
49,182.55999755859375,2019-09-24
50,183.74000549316406,2019-12-12
51,185.7899932861328,2019-06-18
52,185.9199981689453,2019-09-05
53,184.72999572753906,2019-05-30
54,189.80999755859375,2019-11-04
55,190.77999877929688,2019-07-29
56,186.60000610351562,2019-10-16
57,184.5800018310547,2019-04-22
58,186.5500030517578,2019-07-10
59,187.52999877929688,2019-09-27
60,188.5399932861328,2019-06-21
61,188.3800048828125,2019-11-26
62,191.0500030517578,2019-08-20
63,193.14999389648438,2019-11-07
64,193.13999938964844,2019-05-14
65,195.92999267578125,2019-08-01
66,196.33999633789062,2019-01-22
67,199.22999572753906,2019-01-30
68,198.17999267578125,2019-02-15
69,198.44000244140625,2019-02-07
70,196.2100067138672,2019-04-12
71,198.00999450683594,2019-04-04
72,198.55999755859375,2019-03-27
73,198.61000061035156,2019-03-11
74,202.52000427246094,2019-03-19
75,202.33999633789062,2019-05-06
76,203.89999389648438,2019-09-30
77,207.0500030517578,2019-06-24
78,205.1199951171875,2019-09-11
79,202.1199951171875,2019-11-29
80,203.86000061035156,2019-06-05
81,199.11000061035156,2019-08-23
82,209.22999572753906,2019-05-17
83,208.1300048828125,2019-10-22
84,210.22999572753906,2019-07-16
85,203.5,2019-10-03
86,200.8300018310547,2019-06-27
87,201.75,2019-12-02
88,196.66000366210938,2019-08-26
89,192.77000427246094,2019-11-13
90,182.85000610351562,2019-05-20
91,185.41000366210938,2019-08-07
92,186.02000427246094,2019-10-25
93,188.83999633789062,2019-07-19
94,186.75999450683594,2019-03-18
95,180.27999877929688,2019-03-26
96,184.6999969482422,2019-02-22
97,182.5500030517578,2019-01-29
98,177.80999755859375,2019-02-06
99,178.6199951171875,2019-02-14
100,177.91000366210938,2019-04-11
101,176.0,2019-04-03
102,176.6699981689453,2019-05-13
103,174.99000549316406,2019-03-05
104,170.27000427246094,2019-06-11
105,174.52000427246094,2019-05-23
106,181.13999938964844,2019-08-29
107,182.14999389648438,2019-09-17
108,185.77000427246094,2019-10-28
109,191.6199951171875,2019-07-22
110,193.60000610351562,2019-10-09
111,193.38999938964844,2019-07-03
112,193.60000610351562,2019-09-20
113,190.3000030517578,2019-06-14
114,192.1699981689453,2019-11-19
115,195.2100067138672,2019-08-13
116,197.30999755859375,2019-10-31
117,198.02999877929688,2019-07-25
118,198.14999389648438,2019-09-23
119,198.1699981689453,2019-12-11
120,195.2899932861328,2019-06-17
121,197.35000610351562,2019-09-04
122,199.57000732421875,2019-11-22
123,197.0500030517578,2019-05-29
124,200.64999389648438,2019-01-28
125,201.36000061035156,2019-04-02
126,202.69000244140625,2019-03-25
127,202.89999389648438,2019-04-10
128,198.41000366210938,2019-02-05
129,198.80999755859375,2019-04-18
130,201.55999755859375,2019-03-01
131,201.7100067138672,2019-02-21
132,202.1999969482422,2019-02-13
133,204.0,2019-04-26
134,203.5,2019-05-10
135,203.27000427246094,2019-10-15
136,203.6999969482422,2019-07-09
137,202.36000061035156,2019-09-26
138,203.61000061035156,2019-06-20
139,207.2899932861328,2019-11-25
140,207.1699981689453,2019-08-19
141,206.72999572753906,2019-11-06
142,207.13999938964844,2019-07-31
143,208.44000244140625,2019-10-18
144,207.30999755859375,2019-07-12
145,211.3000030517578,2019-09-10
146,206.74000549316406,2019-06-04
147,201.6300048828125,2019-08-22
148,192.5800018310547,2019-05-16
149,194.0399932861328,2019-10-21
150,193.82000732421875,2019-02-20
151,199.38999938964844,2019-04-17
152,199.2899932861328,2019-04-09
153,199.14999389648438,2019-04-01
154,200.47999572753906,2019-02-04
155,202.58999633789062,2019-02-12
156,199.6699981689453,2019-03-08
157,203.83999633789062,2019-02-28
158,210.02999877929688,2019-04-25
159,210.32000732421875,2019-05-03
160,211.60000610351562,2019-06-26
161,210.75,2019-09-13
162,201.0,2019-10-02
163,205.05999755859375,2019-06-07
164,203.52999877929688,2019-11-12
165,203.32000732421875,2019-08-06
166,206.66000366210938,2019-10-24
167,207.1999969482422,2019-04-30
168,204.22000122070312,2019-07-18
169,207.32000732421875,2019-09-16
170,211.50999450683594,2019-10-04
171,212.50999450683594,2019-12-04
172,211.07000732421875,2019-06-10
173,211.7100067138672,2019-08-28
174,217.72999572753906,2019-11-15
175,222.86000061035156,2019-05-22
176,217.02000427246094,2019-08-16
177,217.55999755859375,2019-08-09
178,219.1199951171875,2019-10-08
179,219.44000244140625,2019-07-02
180,220.3699951171875,2019-09-19
181,217.47000122070312,2019-01-18
182,217.64999389648438,2019-03-07
183,217.19000244140625,2019-02-27
184,217.13999938964844,2019-02-19
185,218.8300018310547,2019-02-11
186,217.27999877929688,2019-04-16
187,220.7899932861328,2019-04-08
188,224.1999969482422,2019-03-15
189,217.92999267578125,2019-04-24
190,215.1300048828125,2019-05-02
191,223.88999938964844,2019-06-13
192,225.83999633789062,2019-08-12
193,224.3300018310547,2019-10-30
194,225.63999938964844,2019-11-18
195,227.3000030517578,2019-11-20
196,232.30999755859375,2019-07-24
197,234.6699981689453,2019-10-11
198,234.8800048828125,2019-07-05
199,233.1999969482422,2019-12-10
200,233.52000427246094,2019-09-03
201,234.2899932861328,2019-11-21
202,237.32000732421875,2019-05-28
203,239.6199951171875,2019-08-15
204,241.22000122070312,2019-10-14
205,241.80999755859375,2019-07-08
206,242.8800048828125,2019-09-25
207,246.72000122070312,2019-06-19
208,242.57000732421875,2019-09-06
209,241.2100067138672,2019-05-31
210,237.25999450683594,2019-11-05
211,249.16000366210938,2019-03-22
212,255.3800048828125,2019-03-14
213,256.32000732421875,2019-03-06
214,255.3699951171875,2019-02-26
215,258.1099853515625,2019-01-17
216,256.8500061035156,2019-01-25
217,258.2799987792969,2019-04-23
218,260.9200134277344,2019-04-15
219,261.07000732421875,2019-05-01
220,262.1000061035156,2019-05-09
221,263.010009765625,2019-07-11
222,264.2300109863281,2019-07-30
223,265.3900146484375,2019-10-17
224,260.3999938964844,2019-09-09
225,261.17999267578125,2019-11-27
226,260.8399963378906,2019-06-03
227,262.5199890136719,2019-08-21
228,262.5,2019-02-25
229,265.30999755859375,2019-11-08
230,265.8999938964844,2019-05-15
231,263.45001220703125,2019-08-02
232,256.2900085449219,2019-07-17
233,260.67999267578125,2019-10-01
234,262.7300109863281,2019-06-25
235,267.29998779296875,2019-09-12
236,264.9100036621094,2019-06-06
237,265.8599853515625,2019-11-11
238,268.5,2019-08-05
239,267.32000732421875,2019-10-23
