Dates,AAPL
2019-01-02,157.9199981689453
2019-01-03,142.19000244140625
2019-01-07,148.25999450683594
2019-01-04,147.92999267578125
2019-01-08,150.75
2019-01-09,153.30999755859375
2019-01-10,153.8000030517578
2019-01-11,152.2899932861328
2019-01-14,150.0
2019-01-15,153.07000732421875
2019-01-16,154.94000244140625
2019-01-24,155.86000061035156
2019-02-01,156.82000732421875
2019-03-29,153.3000030517578
2019-03-21,153.9199981689453
2019-03-13,152.6999969482422
2019-06-28,157.75999450683594
2019-08-27,156.3000030517578
2019-12-03,154.67999267578125
2019-11-14,165.25
2019-05-21,166.44000244140625
2019-07-15,166.52000427246094
2019-08-08,171.25
2019-10-07,174.17999267578125
2019-07-01,174.24000549316406
2019-09-18,170.94000244140625
2019-12-06,170.41000366210938
2019-06-12,169.42999267578125
2019-08-30,170.88999938964844
2019-05-24,170.17999267578125
2019-10-29,170.8000030517578
2019-07-23,170.4199981689453
2019-10-10,170.92999267578125
2019-12-09,172.02999877929688
2019-04-05,171.05999755859375
2019-03-28,172.97000122070312
2019-01-23,174.22999572753906
2019-01-31,174.3300018310547
2019-02-08,174.8699951171875
2019-03-20,173.14999389648438
2019-03-12,174.97000122070312
2019-03-04,175.85000610351562
2019-04-29,175.52999877929688
2019-05-07,174.52000427246094
2019-05-08,172.5
2019-07-26,172.91000366210938
2019-08-14,178.89999389648438
2019-11-01,180.91000366210938
2019-12-05,181.7100067138672
2019-09-24,183.72999572753906
2019-12-12,186.1199951171875
2019-06-18,188.02000427246094
2019-09-05,186.52999877929688
2019-05-30,188.16000366210938
2019-11-04,195.08999633789062
2019-07-29,191.0500030517578
2019-10-16,188.74000549316406
2019-04-22,186.7899932861328
2019-07-10,188.47000122070312
2019-09-27,188.72000122070312
2019-06-21,189.9499969482422
2019-11-26,191.24000549316406
2019-08-20,194.02000427246094
2019-11-07,195.35000610351562
2019-05-14,195.69000244140625
2019-08-01,197.0
2019-01-22,200.10000610351562
2019-01-30,199.5
2019-02-15,200.6199951171875
2019-02-07,198.9499969482422
2019-04-12,198.8699951171875
2019-04-04,199.22999572753906
2019-03-27,199.25
2019-03-11,203.1300048828125
2019-03-19,203.86000061035156
2019-05-06,204.52999877929688
2019-09-30,207.47999572753906
2019-06-24,207.16000366210938
2019-09-11,205.27999877929688
2019-11-29,204.3000030517578
2019-06-05,204.61000061035156
2019-08-23,200.6699981689453
2019-05-17,210.52000427246094
2019-10-22,209.14999389648438
2019-07-16,211.75
2019-10-03,208.47999572753906
2019-06-27,202.86000061035156
2019-12-02,202.89999389648438
2019-08-26,200.72000122070312
2019-11-13,197.17999267578125
2019-05-20,185.72000122070312
2019-08-07,188.66000366210938
2019-10-25,190.9199981689453
2019-07-19,190.0800018310547
2019-03-18,189.0
2019-03-26,183.08999633789062
2019-02-22,186.60000610351562
2019-01-29,182.77999877929688
2019-02-06,179.66000366210938
2019-02-14,178.97000122070312
2019-04-11,178.22999572753906
2019-04-03,177.3800048828125
2019-05-13,178.3000030517578
2019-03-05,175.07000732421875
2019-06-11,173.3000030517578
2019-05-23,179.63999938964844
2019-08-29,182.5399932861328
2019-09-17,185.22000122070312
2019-10-28,190.14999389648438
2019-07-22,192.5800018310547
2019-10-09,194.80999755859375
2019-07-03,194.19000244140625
2019-09-20,194.14999389648438
2019-06-14,192.74000549316406
2019-11-19,193.88999938964844
2019-08-13,198.4499969482422
2019-10-31,197.8699951171875
2019-07-25,199.4600067138672
2019-09-23,198.77999877929688
2019-12-11,198.5800018310547
2019-06-17,195.57000732421875
2019-09-04,199.8000030517578
2019-11-22,199.74000549316406
2019-05-29,197.9199981689453
2019-01-28,201.5500030517578
2019-04-02,202.72999572753906
2019-03-25,204.41000366210938
2019-04-10,204.22999572753906
2019-02-05,200.02000427246094
2019-04-18,201.24000549316406
2019-03-01,203.22999572753906
2019-02-21,201.75
2019-02-13,203.3000030517578
2019-04-26,205.2100067138672
2019-05-10,204.5
2019-10-15,203.35000610351562
2019-07-09,205.66000366210938
2019-09-26,202.58999633789062
2019-06-20,207.22000122070312
2019-11-25,208.83999633789062
2019-08-19,208.6699981689453
2019-11-06,207.02000427246094
2019-07-31,207.74000549316406
2019-10-18,209.67999267578125
2019-07-12,208.77999877929688
2019-09-10,213.0399932861328
2019-06-04,208.42999267578125
2019-08-22,204.02000427246094
2019-05-16,193.33999633789062
2019-10-21,197.0
2019-02-20,199.0399932861328
2019-04-17,203.42999267578125
2019-04-09,200.99000549316406
2019-04-01,200.47999572753906
2019-02-04,208.97000122070312
2019-02-12,202.75
2019-03-08,201.74000549316406
2019-02-28,206.5
2019-04-25,210.35000610351562
2019-05-03,210.36000061035156
2019-06-26,212.63999938964844
2019-09-13,212.4600067138672
2019-10-02,202.63999938964844
2019-06-07,206.49000549316406
2019-11-12,204.16000366210938
2019-08-06,205.52999877929688
2019-10-24,209.00999450683594
2019-04-30,208.74000549316406
2019-07-18,205.6999969482422
2019-09-16,209.19000244140625
2019-10-04,213.27999877929688
2019-12-04,213.25999450683594
2019-06-10,214.1699981689453
2019-08-28,216.6999969482422
2019-11-15,223.58999633789062
2019-05-22,223.08999633789062
2019-08-16,218.75
2019-08-09,219.89999389648438
2019-10-08,220.6999969482422
2019-07-02,222.77000427246094
2019-09-19,220.9600067138672
2019-01-18,217.72999572753906
2019-03-07,218.72000122070312
2019-02-27,217.67999267578125
2019-02-19,221.02999877929688
2019-02-11,219.88999938964844
2019-04-16,218.82000732421875
2019-04-08,223.97000122070312
2019-03-15,224.58999633789062
2019-04-24,218.9600067138672
