Dates,CRC
2018-06-20,40.02000045776367
2018-06-21,38.86000061035156
2018-06-25,42.709999084472656
2018-06-22,40.45000076293945
2018-06-26,42.0099983215332
2018-06-27,44.040000915527344
2018-06-28,44.869998931884766
2018-06-29,45.439998626708984
2018-07-02,44.18000030517578
2018-07-03,44.529998779296875
2018-07-05,44.66999816894531
2018-07-16,44.66999816894531
2018-09-18,47.20000076293945
2019-01-24,46.4900016784668
2019-09-05,42.630001068115234
2018-11-21,40.88999938964844
2020-01-13,40.529998779296875
2020-04-01,39.56999969482422
2020-06-19,40.099998474121094
2019-10-29,39.5099983215332
2020-01-16,39.63999938964844
2020-06-22,39.529998779296875
2018-10-03,40.29999923706055
2018-07-31,39.47999954223633
2019-03-12,39.029998779296875
2019-02-08,36.939998626708984
2019-01-07,36.20000076293945
2018-12-06,36.279998779296875
2019-08-19,36.40999984741211
2019-07-18,35.04999923706055
2019-05-15,35.06999969482422
2019-09-20,34.5
2019-11-01,36.13999938964844
2020-04-07,35.790000915527344
2020-06-25,34.34000015258789
2020-06-16,34.15999984741211
2019-11-04,34.9900016784668
2020-01-22,31.649999618530273
2019-11-07,32.08000183105469
2020-04-13,28.690000534057617
2019-07-01,28.959999084472656
2019-05-30,29.270000457763672
2018-08-15,30.450000762939453
2018-10-18,32.70000076293945
2019-03-27,34.650001525878906
2019-01-22,34.20000076293945
2018-12-21,35.779998779296875
2019-09-03,36.599998474121094
2018-11-19,36.61000061035156
2019-08-02,39.0
2020-01-28,40.31999969482422
2020-04-16,41.540000915527344
2019-11-13,41.34000015258789
2020-01-31,39.9900016784668
2018-12-04,37.04999923706055
2018-11-02,36.900001525878906
2019-07-16,35.790000915527344
2018-08-30,37.779998779296875
2018-10-01,39.150001525878906
2019-06-14,37.9900016784668
2019-05-13,37.66999816894531
2019-04-11,36.79999923706055
2019-02-06,39.810001373291016
2019-09-18,40.43000030517578
2020-02-03,38.59000015258789
2020-04-22,39.599998474121094
2019-11-19,46.58000183105469
2020-02-06,46.439998626708984
2019-11-22,45.869998931884766
2019-03-25,47.72999954223633
2019-02-21,48.529998779296875
2018-12-19,48.83000183105469
2018-07-12,48.619998931884766
2018-09-14,49.970001220703125
2018-08-13,47.97999954223633
2018-10-16,46.13999938964844
2019-07-31,44.54999923706055
2019-05-28,44.38999938964844
2019-04-26,40.20000076293945
2020-04-28,38.63999938964844
2019-11-25,39.29999923706055
2020-02-12,38.5
2020-05-01,39.36000061035156
2020-05-04,37.5099983215332
2019-06-12,35.970001220703125
2019-04-09,35.099998474121094
2019-03-08,34.27000045776367
2019-02-04,33.29999923706055
2018-07-27,30.760000228881836
2018-08-28,32.119998931884766
2019-01-03,31.209999084472656
2019-08-15,29.40999984741211
2018-10-31,30.1299991607666
2019-09-16,31.34000015258789
2020-02-18,31.43000030517578
2020-05-07,29.84000015258789
2018-08-17,30.530000686645508
2019-12-04,28.520000457763672
2020-02-21,29.34000015258789
2018-12-17,26.959999084472656
2019-08-30,27.68000030517578
2018-11-15,25.489999771118164
2019-07-29,23.75
2019-06-27,24.06999969482422
2019-04-24,24.520000457763672
2018-07-10,24.959999084472656
2018-09-12,23.219999313354492
2019-02-19,21.170000076293945
2019-01-18,25.100000381469727
2020-02-24,23.260000228881836
2020-05-13,24.549999237060547
2019-12-10,24.5
2020-02-27,24.969999313354492
2019-12-13,24.350000381469727
2020-05-19,23.940000534057617
2019-03-06,24.940000534057617
2018-11-30,23.59000015258789
2019-08-13,21.06999969482422
2019-07-12,21.81999969482422
