Dates,CRC
2018-06-20,1775100.0
2018-06-21,1808700.0
2018-06-25,5392900.0
2018-06-22,1572300.0
2018-06-26,1579900.0
2018-06-27,2722300.0
2018-06-28,1842500.0
2018-06-29,1665700.0
2018-07-02,1854400.0
2018-07-03,1272400.0
2018-07-05,1195300.0
2018-07-16,943800.0
2018-09-18,2061500.0
2019-01-24,2478500.0
2019-09-05,2841900.0
2018-11-21,2332400.0
2020-01-13,2014200.0
2020-04-01,2016900.0
2020-06-19,1761700.0
2019-10-29,1667400.0
2020-01-16,1340200.0
2020-06-22,1460000.0
2018-10-03,1180400.0
2018-07-31,1536200.0
2019-03-12,1840700.0
2019-02-08,1915100.0
2019-01-07,1456800.0
2018-12-06,1552200.0
2019-08-19,1226600.0
2019-07-18,1871600.0
2019-05-15,1413900.0
2019-09-20,4280500.0
2019-11-01,2569100.0
2020-04-07,1483800.0
2020-06-25,1300000.0
2020-06-16,1119400.0
2019-11-04,1339400.0
2020-01-22,2322400.0
2019-11-07,1697500.0
2020-04-13,3738600.0
2019-07-01,1288500.0
2019-05-30,1605700.0
2018-08-15,1050500.0
2018-10-18,2192700.0
2019-03-27,2385300.0
2019-01-22,1864300.0
2018-12-21,1276100.0
2019-09-03,2190300.0
2018-11-19,1580500.0
2019-08-02,3005800.0
2020-01-28,2125300.0
2020-04-16,1717000.0
2019-11-13,2050600.0
2020-01-31,1369900.0
2018-12-04,1874600.0
2018-11-02,1415400.0
2019-07-16,1197100.0
2018-08-30,1591900.0
2018-10-01,1335400.0
2019-06-14,1023500.0
2019-05-13,1025600.0
2019-04-11,1194200.0
2019-02-06,1877400.0
2019-09-18,1485200.0
2020-02-03,1380500.0
2020-04-22,1950400.0
2019-11-19,6224200.0
2020-02-06,2371600.0
2019-11-22,1611500.0
2019-03-25,1552000.0
2019-02-21,1810100.0
2018-12-19,1255100.0
2018-07-12,1395400.0
2018-09-14,1757600.0
2018-08-13,1672500.0
2018-10-16,1528000.0
2019-07-31,1280300.0
2019-05-28,1320700.0
2019-04-26,2416400.0
2020-04-28,2198700.0
2019-11-25,2003700.0
2020-02-12,1362000.0
2020-05-01,862200.0
2020-05-04,1372000.0
2019-06-12,1616500.0
2019-04-09,1177800.0
2019-03-08,1083100.0
2019-02-04,1575600.0
2018-07-27,2258600.0
2018-08-28,1675900.0
2019-01-03,1400000.0
2019-08-15,1564700.0
2018-10-31,1641600.0
2019-09-16,1649300.0
2020-02-18,1654900.0
2020-05-07,3301500.0
2018-08-17,1693900.0
2019-12-04,2220900.0
2020-02-21,2163900.0
2018-12-17,2633300.0
2019-08-30,3091700.0
2018-11-15,3369900.0
2019-07-29,4256300.0
2019-06-27,2535800.0
2019-04-24,2266400.0
2018-07-10,2316600.0
2018-09-12,2317000.0
2019-02-19,3557200.0
2019-01-18,4576800.0
2020-02-24,2494300.0
2020-05-13,2311800.0
2019-12-10,1498400.0
2020-02-27,1764900.0
2019-12-13,2437500.0
2020-05-19,2309300.0
2019-03-06,2806400.0
2018-11-30,1683000.0
2019-08-13,3424600.0
2019-07-12,2134400.0
2019-06-10,2874700.0
2019-05-09,1445200.0
2018-07-25,1900500.0
2018-09-27,1802900.0
2018-10-29,1895000.0
2019-10-16,2165400.0
2019-12-16,3423000.0
2020-03-04,2427500.0
2020-05-22,4510900.0
2019-10-01,4101300.0
2019-12-19,2186300.0
2018-09-10,4443400.0
2019-05-24,2339800.0
2018-08-09,2387100.0
2019-04-22,1647100.0
2019-03-21,3066900.0
2019-01-16,2102100.0
2019-08-28,2725800.0
2018-11-13,2611500.0
2018-10-12,2768600.0
2019-06-25,2637300.0
2020-03-10,1457400.0
2020-05-28,1416800.0
2019-10-07,1555800.0
2020-03-13,1103900.0
2019-10-10,1471600.0
2020-03-16,1377600.0
2020-06-03,1514500.0
2018-11-28,1606500.0
2018-09-25,1458100.0
2018-07-23,2640300.0
2018-08-24,1855400.0
2019-07-10,1779800.0
2019-05-07,1497200.0
2019-04-05,2022000.0
2019-03-04,1831900.0
2019-01-31,1645800.0
2019-09-12,878600.0
2019-12-31,969500.0
2020-03-19,1399700.0
2020-01-03,3200300.0
2020-06-09,3352600.0
2019-02-15,2659300.0
2019-01-14,2125500.0
2018-07-06,3596300.0
2018-08-07,2192000.0
2018-10-10,2825700.0
2018-12-13,2010600.0
2019-08-26,1639100.0
2019-07-25,1931100.0
2019-05-22,1208300.0
2019-03-19,2016600.0
2020-01-06,1138200.0
2020-03-25,2703900.0
2020-06-12,6614700.0
2019-10-22,1934900.0
2020-01-09,1916100.0
2020-06-15,1814500.0
2019-10-25,2242300.0
2020-03-31,1646200.0
2020-06-18,2856500.0
