Dates,CRC
2018-06-20,40.279998779296875
2018-06-21,39.97999954223633
2018-06-25,45.279998779296875
2018-06-22,43.01300048828125
2018-06-26,42.479000091552734
2018-06-27,45.900001525878906
2018-06-28,45.439998626708984
2018-06-29,46.459999084472656
2018-07-02,45.04999923706055
2018-07-03,46.459999084472656
2018-07-05,45.22999954223633
2018-07-16,45.43000030517578
2018-09-18,47.810001373291016
2019-01-24,48.849998474121094
2019-09-05,46.529998779296875
2018-11-21,43.400001525878906
2020-01-13,42.08000183105469
2020-04-01,40.68199920654297
2020-06-19,40.34000015258789
2019-10-29,39.91999816894531
2020-01-16,41.0
2020-06-22,40.380001068115234
2018-10-03,40.70000076293945
2018-07-31,41.13999938964844
2019-03-12,40.125
2019-02-08,39.13999938964844
2019-01-07,37.22999954223633
2018-12-06,37.5099983215332
2019-08-19,36.83000183105469
2019-07-18,35.77000045776367
2019-05-15,35.66999816894531
2019-09-20,35.6349983215332
2019-11-01,37.619998931884766
2020-04-07,37.70000076293945
2020-06-25,35.400001525878906
2020-06-16,34.61000061035156
2019-11-04,35.16999816894531
2020-01-22,34.86000061035156
2019-11-07,33.13999938964844
2020-04-13,31.260000228881836
2019-07-01,29.399999618530273
2019-05-30,29.850000381469727
2018-08-15,30.899999618530273
2018-10-18,32.909000396728516
2019-03-27,34.939998626708984
2019-01-22,34.279998779296875
2018-12-21,36.150001525878906
2019-09-03,37.88999938964844
2018-11-19,37.29999923706055
2019-08-02,39.459999084472656
2020-01-28,41.16999816894531
2020-04-16,41.630001068115234
2019-11-13,42.4900016784668
2020-01-31,41.09000015258789
2018-12-04,40.66999816894531
2018-11-02,37.43899917602539
2019-07-16,38.159000396728516
2018-08-30,38.290000915527344
2018-10-01,39.900001525878906
2019-06-14,38.900001525878906
2019-05-13,38.75
2019-04-11,38.02000045776367
2019-02-06,40.650001525878906
2019-09-18,41.172000885009766
2020-02-03,40.970001220703125
2020-04-22,40.47999954223633
2019-11-19,46.810001373291016
2020-02-06,48.060001373291016
2019-11-22,47.349998474121094
2019-03-25,48.2599983215332
2019-02-21,49.36000061035156
2018-12-19,49.040000915527344
2018-07-12,49.41699981689453
2018-09-14,50.34000015258789
2018-08-13,50.04999923706055
2018-10-16,48.36800003051758
2019-07-31,45.7599983215332
2019-05-28,46.0
2019-04-26,44.02000045776367
2020-04-28,41.33000183105469
2019-11-25,40.9900016784668
2020-02-12,40.290000915527344
2020-05-01,39.47999954223633
2020-05-04,38.959999084472656
2019-06-12,36.93000030517578
2019-04-09,36.93000030517578
2019-03-08,34.86000061035156
2019-02-04,33.970001220703125
2018-07-27,34.43000030517578
2018-08-28,32.7599983215332
2019-01-03,32.0099983215332
2019-08-15,31.489999771118164
2018-10-31,30.18000030517578
2019-09-16,32.85499954223633
2020-02-18,31.969999313354492
2020-05-07,35.20000076293945
2018-08-17,31.200000762939453
2019-12-04,31.100000381469727
2020-02-21,30.450000762939453
2018-12-17,29.540000915527344
2019-08-30,27.8799991607666
2018-11-15,28.479999542236328
2019-07-29,25.5
2019-06-27,25.75
2019-04-24,24.549999237060547
2018-07-10,26.440000534057617
2018-09-12,24.472000122070312
2019-02-19,22.459999084472656
2019-01-18,25.81999969482422
2020-02-24,24.420000076293945
2020-05-13,25.270000457763672
2019-12-10,24.729999542236328
2020-02-27,25.239999771118164
2019-12-13,26.139999389648438
2020-05-19,24.709999084472656
2019-03-06,26.25
2018-11-30,25.209999084472656
2019-08-13,21.989999771118164
2019-07-12,22.899999618530273
2019-06-10,21.600000381469727
