Dates,RMD
2018-06-20,106.80999755859375
2018-06-21,107.02999877929688
2018-06-25,107.93000030517578
2018-06-22,105.5199966430664
2018-06-26,106.37999725341797
2018-06-27,103.43000030517578
2018-06-28,104.08000183105469
2018-06-29,103.58000183105469
2018-07-02,103.77999877929688
2018-07-03,103.5199966430664
2018-07-05,105.26000213623047
2018-07-16,106.81999969482422
2018-09-18,107.2300033569336
2019-01-24,108.0
2019-09-05,107.56999969482422
2018-11-21,109.0199966430664
2020-01-13,109.12000274658203
2020-04-01,108.97000122070312
2020-06-19,109.37999725341797
2019-10-29,108.5199966430664
2020-01-16,108.80999755859375
2020-06-22,109.33000183105469
2018-10-03,109.05000305175781
2018-07-31,108.9800033569336
2019-03-12,109.33000183105469
2019-02-08,108.66000366210938
2019-01-07,106.4800033569336
2018-12-06,104.6500015258789
2019-08-19,105.77999877929688
2019-07-18,106.9800033569336
2019-05-15,108.61000061035156
2019-09-20,104.73999786376953
2019-11-01,106.80000305175781
2020-04-07,107.73999786376953
2020-06-25,107.91999816894531
2020-06-16,108.08999633789062
2019-11-04,107.77999877929688
2020-01-22,106.7300033569336
2019-11-07,108.26000213623047
2020-04-13,107.13999938964844
2019-07-01,106.83999633789062
2019-05-30,106.80000305175781
2018-08-15,106.4000015258789
2018-10-18,106.87000274658203
2019-03-27,107.25
2019-01-22,108.25
2018-12-21,108.9000015258789
2019-09-03,110.73999786376953
2018-11-19,111.52999877929688
2019-08-02,112.37999725341797
2020-01-28,112.4000015258789
2020-04-16,111.41000366210938
2019-11-13,111.8499984741211
2020-01-31,111.9800033569336
2018-12-04,111.93000030517578
2018-11-02,112.04000091552734
2019-07-16,112.01000213623047
2018-08-30,111.33000183105469
2018-10-01,111.6500015258789
2019-06-14,114.08000183105469
2019-05-13,114.2300033569336
2019-04-11,112.76000213623047
2019-02-06,113.43000030517578
2019-09-18,112.61000061035156
2020-02-03,113.4800033569336
2020-04-22,113.83000183105469
2019-11-19,113.98999786376953
2020-02-06,115.36000061035156
2019-11-22,115.55000305175781
2019-03-25,114.58999633789062
2019-02-21,115.33999633789062
2018-12-19,115.16999816894531
2018-07-12,113.87000274658203
2018-09-14,111.75
2018-08-13,109.79000091552734
2018-10-16,109.80999755859375
2019-07-31,107.87000274658203
2019-05-28,106.30000305175781
2019-04-26,103.16000366210938
2020-04-28,101.83999633789062
2019-11-25,103.25
2020-02-12,102.69000244140625
2020-05-01,106.01000213623047
2020-05-04,106.66000366210938
2019-06-12,105.02999877929688
2019-04-09,102.9800033569336
2019-03-08,102.62999725341797
2019-02-04,100.62999725341797
2018-07-27,98.05999755859375
2018-08-28,98.5
2019-01-03,104.0999984741211
2019-08-15,103.16000366210938
2018-10-31,105.19000244140625
2019-09-16,105.91999816894531
2020-02-18,106.0
2020-05-07,105.70999908447266
2018-08-17,105.0
2019-12-04,104.98999786376953
2020-02-21,107.58999633789062
2018-12-17,108.5199966430664
2019-08-30,106.94000244140625
2018-11-15,103.73999786376953
2019-07-29,101.69999694824219
2019-06-27,101.63999938964844
2019-04-24,104.2300033569336
2018-07-10,104.18000030517578
2018-09-12,102.56999969482422
2019-02-19,101.61000061035156
2019-01-18,102.8499984741211
2020-02-24,103.69000244140625
2020-05-13,104.73999786376953
2019-12-10,105.58999633789062
2020-02-27,108.87000274658203
2019-12-13,110.5
2020-05-19,111.79000091552734
2019-03-06,113.02999877929688
2018-11-30,112.12999725341797
2019-08-13,112.3499984741211
2019-07-12,109.98999786376953
2019-06-10,112.9000015258789
2019-05-09,113.94000244140625
2018-07-25,115.16000366210938
2018-09-27,115.33000183105469
2018-10-29,112.93000030517578
2019-10-16,110.76000213623047
2019-12-16,111.6500015258789
2020-03-04,109.52999877929688
2020-05-22,107.47000122070312
2019-10-01,106.44999694824219
2019-12-19,103.5199966430664
2018-09-10,108.87999725341797
2019-05-24,111.13999938964844
2018-08-09,112.04000091552734
2019-04-22,113.87000274658203
2019-03-21,111.7699966430664
2019-01-16,106.4800033569336
2019-08-28,110.19000244140625
2018-11-13,111.22000122070312
2018-10-12,113.51000213623047
2019-06-25,114.55000305175781
2020-03-10,115.38999938964844
2020-05-28,114.80999755859375
2019-10-07,113.58000183105469
2020-03-13,115.66999816894531
2019-10-10,116.88999938964844
2020-03-16,117.41000366210938
2020-06-03,117.83999633789062
2018-11-28,117.47000122070312
2018-09-25,117.22000122070312
2018-07-23,117.30000305175781
2018-08-24,94.55999755859375
2019-07-10,91.55999755859375
2019-05-07,92.04000091552734
2019-04-05,93.73999786376953
2019-03-04,95.16999816894531
2019-01-31,93.62000274658203
2019-09-12,94.33000183105469
2019-12-31,95.16000366210938
2020-03-19,95.58999633789062
2020-01-03,95.72000122070312
2020-06-09,96.80999755859375
2019-02-15,97.20999908447266
2019-01-14,98.20999908447266
2018-07-06,98.93000030517578
2018-08-07,99.44000244140625
2018-10-10,100.44999694824219
2018-12-13,99.75
2019-08-26,99.7699966430664
2019-07-25,100.0999984741211
2019-05-22,101.23999786376953
2019-03-19,101.66000366210938
2020-01-06,100.80000305175781
2020-03-25,101.81999969482422
2020-06-12,102.43000030517578
2019-10-22,103.11000061035156
2020-01-09,101.9000015258789
2020-06-15,102.43000030517578
2019-10-25,100.61000061035156
2020-03-31,100.48999786376953
2020-06-18,101.0
2019-04-03,101.4000015258789
2018-08-22,102.7699966430664
2018-10-25,102.62999725341797
2019-01-29,101.0
2018-12-28,100.37000274658203
2018-11-26,97.4000015258789
2019-08-09,97.9000015258789
2019-07-08,98.80999755859375
2019-06-06,100.97000122070312
2019-09-10,100.13999938964844
2020-01-15,101.41999816894531
2020-04-03,102.31999969482422
2019-10-31,101.5
2020-04-06,102.69999694824219
2020-06-24,103.97000122070312
2018-11-09,104.66999816894531
2019-07-23,105.01000213623047
2019-06-21,103.0
2019-05-20,101.30000305175781
2019-04-18,100.91000366210938
2018-09-06,101.45999908447266
2018-10-08,101.3499984741211
2019-02-13,101.62000274658203
2018-12-11,100.83999633789062
2019-09-25,102.27999877929688
2020-01-21,103.0999984741211
2020-04-09,101.8499984741211
2019-11-06,97.37000274658203
2020-01-24,99.22000122070312
2020-01-27,100.01000213623047
2020-04-15,101.48999786376953
2018-12-26,101.7300033569336
2019-08-07,102.25
2019-06-04,103.94000244140625
2018-09-21,103.06999969482422
2018-07-19,104.51000213623047
2018-08-20,104.44999694824219
2018-10-23,105.73999786376953
2019-05-03,112.68000030517578
2019-04-01,112.62999725341797
2019-02-28,112.33999633789062
2019-11-12,111.41999816894531
2020-01-30,112.05000305175781
2019-11-15,112.08999633789062
2020-04-21,110.8499984741211
2019-04-16,112.05999755859375
2019-03-15,112.81999969482422
2019-02-11,113.43000030517578
2019-01-10,112.77999877929688
2019-08-22,112.05999755859375
2018-11-07,112.48999786376953
2018-08-03,113.12000274658203
2018-09-04,112.73999786376953
2019-06-19,113.88999938964844
2019-09-23,113.37999725341797
2019-11-18,112.16999816894531
2020-02-05,113.30000305175781
2020-04-24,114.12000274658203
2019-03-29,112.76000213623047
2019-11-21,114.06999969482422
2020-04-27,115.12999725341797
2020-02-11,116.88999938964844
2020-04-30,117.4000015258789
2019-05-01,118.33000183105469
2019-02-26,118.19000244140625
2019-01-25,119.52999877929688
2018-12-24,119.44000244140625
2019-09-06,118.08999633789062
2018-07-17,118.5
2018-09-19,119.62999725341797
2019-08-05,120.54000091552734
2019-10-08,123.2699966430664
2019-12-11,120.06999969482422
2019-11-27,121.16999816894531
2020-02-14,119.88999938964844
2020-05-06,119.5
2019-01-08,120.5999984741211
2018-12-07,122.02999877929688
2019-08-20,123.76000213623047
2018-11-05,123.37000274658203
2019-07-19,123.87999725341797
2018-10-04,124.33000183105469
2019-06-17,123.80999755859375
2019-05-16,124.0199966430664
2018-08-01,124.0
2019-03-13,124.72000122070312
2019-12-03,124.38999938964844
2020-02-20,123.75
2019-12-06,123.37000274658203
2020-05-12,123.77999877929688
2019-12-09,124.76000213623047
2020-02-26,123.45999908447266
2020-05-15,123.63999938964844
2019-03-28,123.83000183105469
2018-09-17,125.45999908447266
2018-08-16,123.83999633789062
2018-10-19,126.87000274658203
2019-04-29,129.41000366210938
2019-01-23,130.22000122070312
2019-09-04,128.6999969482422
2018-11-20,131.5500030517578
2019-07-02,130.27999877929688
2019-05-31,126.9000015258789
2019-12-12,129.42999267578125
2020-05-18,129.0
2019-09-27,131.41000366210938
2020-03-03,131.39999389648438
2020-05-21,131.61000061035156
2019-05-14,134.99000549316406
2018-08-31,131.14999389648438
2018-07-30,132.3300018310547
2018-10-02,134.44000244140625
2019-04-12,136.0
2019-03-11,135.32000732421875
2019-02-07,136.55999755859375
2019-07-17,136.0399932861328
2019-09-19,132.17999267578125
2019-10-21,135.1199951171875
2019-12-18,135.97999572753906
2020-03-06,137.02999877929688
2019-10-03,138.3800048828125
2020-03-09,139.3000030517578
2020-05-27,137.77000427246094
2019-12-24,137.8300018310547
2020-03-12,140.3300018310547
2018-12-20,140.3000030517578
2019-08-01,135.11000061035156
2018-08-14,134.36000061035156
2018-07-13,133.69000244140625
2018-10-17,133.9600067138672
2019-05-29,132.19000244140625
2019-03-26,130.7100067138672
2019-02-22,133.92999267578125
2019-10-04,132.5800018310547
2019-11-05,133.50999450683594
2019-12-27,134.52999877929688
2020-06-02,135.50999450683594
2019-12-30,135.6199951171875
2020-03-18,136.00999450683594
2020-06-05,134.61000061035156
2019-07-15,133.60000610351562
2018-12-03,135.11000061035156
2019-06-13,133.58999633789062
2019-01-04,128.8800048828125
2018-08-29,130.2899932861328
2019-02-05,132.39999389648438
2018-11-01,132.17999267578125
2019-08-16,130.22999572753906
2019-04-10,132.17999267578125
