Dates,RMD
2018-06-20,106.55000305175781
2018-06-21,106.22000122070312
2018-06-25,106.94999694824219
2018-06-22,104.44999694824219
2018-06-26,105.52999877929688
2018-06-27,103.30000305175781
2018-06-28,102.06999969482422
2018-06-29,103.55000305175781
2018-07-02,102.55999755859375
2018-07-03,103.18000030517578
2018-07-05,103.80000305175781
2018-07-16,106.0
2018-09-18,106.55000305175781
2019-01-24,107.30999755859375
2019-09-05,104.66000366210938
2018-11-21,108.06999969482422
2020-01-13,108.77999877929688
2020-04-01,108.26000213623047
2020-06-19,108.52999877929688
2019-10-29,108.44999694824219
2020-01-16,107.62000274658203
2020-06-22,108.9800033569336
2018-10-03,108.4800033569336
2018-07-31,108.54000091552734
2019-03-12,108.25
2019-02-08,107.9000015258789
2019-01-07,105.91999816894531
2018-12-06,104.37000274658203
2019-08-19,104.87999725341797
2019-07-18,105.45999908447266
2019-05-15,106.47000122070312
2019-09-20,102.75
2019-11-01,104.81999969482422
2020-04-07,106.66999816894531
2020-06-25,107.16999816894531
2020-06-16,107.68000030517578
2019-11-04,107.23999786376953
2020-01-22,106.68000030517578
2019-11-07,106.73999786376953
2020-04-13,106.22000122070312
2019-07-01,106.68000030517578
2019-05-30,106.25
2018-08-15,106.19999694824219
2018-10-18,106.4800033569336
2019-03-27,106.54000091552734
2019-01-22,107.19999694824219
2018-12-21,108.30000305175781
2019-09-03,109.0999984741211
2018-11-19,110.7300033569336
2019-08-02,111.36000061035156
2020-01-28,112.08000183105469
2020-04-16,111.0999984741211
2019-11-13,111.16999816894531
2020-01-31,110.5
2018-12-04,110.5
2018-11-02,111.3499984741211
2019-07-16,111.94999694824219
2018-08-30,110.20999908447266
2018-10-01,111.0199966430664
2019-06-14,111.97000122070312
2019-05-13,113.6500015258789
2019-04-11,112.4800033569336
2019-02-06,112.41000366210938
2019-09-18,112.33999633789062
2020-02-03,112.47000122070312
2020-04-22,113.61000061035156
2019-11-19,113.29000091552734
2020-02-06,114.1500015258789
2019-11-22,114.87999725341797
2019-03-25,114.41999816894531
2019-02-21,114.19999694824219
2018-12-19,114.98999786376953
2018-07-12,113.30999755859375
2018-09-14,111.6500015258789
2018-08-13,109.19000244140625
2018-10-16,108.61000061035156
2019-07-31,106.70999908447266
2019-05-28,106.0999984741211
2019-04-26,103.05000305175781
2020-04-28,101.16000366210938
2019-11-25,102.0
2020-02-12,102.19999694824219
2020-05-01,103.18000030517578
2020-05-04,105.44000244140625
2019-06-12,104.2699966430664
2019-04-09,102.72000122070312
2019-03-08,101.8499984741211
2019-02-04,98.83000183105469
2018-07-27,97.79000091552734
2018-08-28,96.36000061035156
2019-01-03,99.77999877929688
2019-08-15,101.75
2018-10-31,103.33000183105469
2019-09-16,105.16999816894531
2020-02-18,104.68000030517578
2020-05-07,104.79000091552734
2018-08-17,104.81999969482422
2019-12-04,104.4000015258789
2020-02-21,104.58000183105469
2018-12-17,106.86000061035156
2019-08-30,105.94000244140625
2018-11-15,103.36000061035156
2019-07-29,101.04000091552734
2019-06-27,100.83999633789062
2019-04-24,100.88999938964844
2018-07-10,102.33000183105469
2018-09-12,101.37999725341797
2019-02-19,100.81999969482422
2019-01-18,101.54000091552734
2020-02-24,102.30999755859375
2020-05-13,103.38999938964844
2019-12-10,103.5199966430664
2020-02-27,105.6500015258789
2019-12-13,108.2300033569336
2020-05-19,109.41999816894531
2019-03-06,111.68000030517578
