Dates,CDNS
2018-06-20,1813500.0
2018-06-21,1626700.0
2018-06-25,2836700.0
2018-06-22,1792900.0
2018-06-26,2891400.0
2018-06-27,2326500.0
2018-06-28,1209100.0
2018-06-29,1563900.0
2018-07-02,1202300.0
2018-07-03,809500.0
2018-07-05,1677100.0
2018-07-16,1539900.0
2018-09-18,1637200.0
2019-01-24,1420400.0
2019-09-05,1023600.0
2018-11-21,1375400.0
2020-01-13,978400.0
2020-04-01,756600.0
2020-06-19,1642900.0
2019-10-29,994400.0
2020-01-16,850000.0
2020-06-22,1667700.0
2018-10-03,1359100.0
2018-07-31,3037500.0
2019-03-12,2340900.0
2019-02-08,2199900.0
2019-01-07,1527700.0
2018-12-06,1848600.0
2019-08-19,1928200.0
2019-07-18,1948900.0
2019-05-15,1599500.0
2019-09-20,777000.0
2019-11-01,962300.0
2020-04-07,926100.0
2020-06-25,1275500.0
2020-06-16,1080200.0
2019-11-04,835700.0
2020-01-22,2240000.0
2019-11-07,1345700.0
2020-04-13,1520000.0
2019-07-01,1379300.0
2019-05-30,978200.0
2018-08-15,1095000.0
2018-10-18,1257100.0
2019-03-27,701800.0
2019-01-22,1475900.0
2018-12-21,888400.0
2019-09-03,1141800.0
2018-11-19,793300.0
2019-08-02,1450400.0
2020-01-28,1494200.0
2020-04-16,1254400.0
2019-11-13,2050900.0
2020-01-31,1702100.0
2018-12-04,1922500.0
2018-11-02,1552000.0
2019-07-16,1211400.0
2018-08-30,2074700.0
2018-10-01,1751000.0
2019-06-14,1454700.0
2019-05-13,1220200.0
2019-04-11,1492700.0
2019-02-06,1600800.0
2019-09-18,1137000.0
2020-02-03,1405700.0
2020-04-22,3650300.0
2019-11-19,1118400.0
2020-02-06,1187600.0
2019-11-22,1394500.0
2019-03-25,952200.0
2019-02-21,1189900.0
2018-12-19,1606500.0
2018-07-12,1468700.0
2018-09-14,1449700.0
2018-08-13,1884800.0
2018-10-16,1623100.0
2019-07-31,2387000.0
2019-05-28,1528700.0
2019-04-26,2753700.0
2020-04-28,2921100.0
2019-11-25,2965900.0
2020-02-12,2025300.0
2020-05-01,2127000.0
2020-05-04,1515200.0
2019-06-12,2340800.0
2019-04-09,2582600.0
2019-03-08,3242100.0
2019-02-04,8592100.0
2018-07-27,6652600.0
2018-08-28,3593600.0
2019-01-03,3102500.0
2019-08-15,3421200.0
2018-10-31,2801400.0
2019-09-16,2649400.0
2020-02-18,2596200.0
2020-05-07,2306100.0
2018-08-17,1460500.0
2019-12-04,1601500.0
2020-02-21,1877000.0
2018-12-17,1547200.0
2019-08-30,1576700.0
2018-11-15,2061200.0
2019-07-29,1497900.0
2019-06-27,1375800.0
2019-04-24,1757300.0
2018-07-10,1834600.0
2018-09-12,2142400.0
