Dates,CDNS
2018-06-20,44.869998931884766
2018-06-21,44.81999969482422
2018-06-25,43.86000061035156
2018-06-22,42.959999084472656
2018-06-26,43.27000045776367
2018-06-27,42.849998474121094
2018-06-28,42.4900016784668
2018-06-29,43.09000015258789
2018-07-02,42.84000015258789
2018-07-03,43.779998779296875
2018-07-05,43.72999954223633
2018-07-16,44.52000045776367
2018-09-18,44.529998779296875
2019-01-24,44.540000915527344
2019-09-05,44.279998779296875
2018-11-21,44.77000045776367
2020-01-13,45.20000076293945
2020-04-01,44.970001220703125
2020-06-19,44.810001373291016
2019-10-29,45.25
2020-01-16,44.880001068115234
2020-06-22,45.0
2018-10-03,44.810001373291016
2018-07-31,45.2400016784668
2019-03-12,45.560001373291016
2019-02-08,46.22999954223633
2019-01-07,44.83000183105469
2018-12-06,43.86000061035156
2019-08-19,43.83000183105469
2019-07-18,43.869998931884766
2019-05-15,43.56999969482422
2019-09-20,44.380001068115234
2019-11-01,44.61000061035156
2020-04-07,45.040000915527344
2020-06-25,44.86000061035156
2020-06-16,44.970001220703125
2019-11-04,45.040000915527344
2020-01-22,45.09000015258789
2019-11-07,45.41999816894531
2020-04-13,45.099998474121094
2019-07-01,45.27000045776367
2019-05-30,44.689998626708984
2018-08-15,44.83000183105469
2018-10-18,45.11000061035156
2019-03-27,45.25
2019-01-22,45.58000183105469
2018-12-21,46.540000915527344
2019-09-03,46.70000076293945
2018-11-19,46.66999816894531
2019-08-02,46.97999954223633
2020-01-28,46.97999954223633
2020-04-16,46.7400016784668
2019-11-13,46.41999816894531
2020-01-31,45.70000076293945
2018-12-04,46.31999969482422
2018-11-02,46.220001220703125
2019-07-16,46.38999938964844
2018-08-30,46.2400016784668
2018-10-01,45.790000915527344
2019-06-14,45.900001525878906
2019-05-13,46.11000061035156
2019-04-11,45.34000015258789
2019-02-06,45.20000076293945
2019-09-18,44.689998626708984
2020-02-03,45.13999938964844
2020-04-22,45.439998626708984
2019-11-19,45.0099983215332
2020-02-06,45.380001068115234
2019-11-22,44.900001525878906
2019-03-25,44.7599983215332
2019-02-21,44.779998779296875
2018-12-19,44.91999816894531
2018-07-12,44.38999938964844
2018-09-14,44.5
2018-08-13,43.09000015258789
2018-10-16,42.560001373291016
2019-07-31,40.959999084472656
2019-05-28,40.970001220703125
2019-04-26,39.43000030517578
2020-04-28,39.08000183105469
2019-11-25,39.15999984741211
2020-02-12,39.279998779296875
2020-05-01,39.61000061035156
2020-05-04,39.709999084472656
2019-06-12,39.869998931884766
2019-04-09,39.970001220703125
2019-03-08,40.13999938964844
2019-02-04,43.0
2018-07-27,45.11000061035156
2018-08-28,45.4900016784668
2019-01-03,45.2400016784668
2019-08-15,43.4900016784668
2018-10-31,43.63999938964844
2019-09-16,44.400001525878906
2020-02-18,43.9900016784668
2020-05-07,44.75
2018-08-17,44.5
2019-12-04,44.290000915527344
2020-02-21,45.15999984741211
2018-12-17,45.939998626708984
2019-08-30,45.849998474121094
2018-11-15,44.689998626708984
2019-07-29,44.470001220703125
2019-06-27,44.25
2019-04-24,44.09000015258789
2018-07-10,45.119998931884766
2018-09-12,42.65999984741211
2019-02-19,41.84000015258789
2019-01-18,42.56999969482422
2020-02-24,42.310001373291016
2020-05-13,42.599998474121094
2019-12-10,42.849998474121094
2020-02-27,43.150001525878906
2019-12-13,43.849998474121094
2020-05-19,44.0
2019-03-06,45.56999969482422
2018-11-30,44.58000183105469
2019-08-13,43.220001220703125
2019-07-12,42.290000915527344
2019-06-10,42.439998626708984
2019-05-09,43.58000183105469
2018-07-25,44.34000015258789
2018-09-27,43.86000061035156
2018-10-29,42.5099983215332
2019-10-16,42.06999969482422
2019-12-16,42.52000045776367
2020-03-04,41.439998626708984
2020-05-22,41.0099983215332
2019-10-01,40.630001068115234
2019-12-19,40.310001373291016
2018-09-10,40.439998626708984
2019-05-24,41.7400016784668
2018-08-09,42.650001525878906
2019-04-22,43.150001525878906
2019-03-21,42.5
2019-01-16,41.43000030517578
2019-08-28,41.779998779296875
2018-11-13,42.79999923706055
2018-10-12,43.279998779296875
2019-06-25,43.41999816894531
2020-03-10,43.290000915527344
2020-05-28,43.79999923706055
2019-10-07,43.91999816894531
2020-03-13,44.439998626708984
2019-10-10,44.970001220703125
2020-03-16,44.9900016784668
2020-06-03,45.630001068115234
2018-11-28,45.40999984741211
2018-09-25,45.16999816894531
2018-07-23,45.2400016784668
2018-08-24,46.220001220703125
2019-07-10,45.7599983215332
2019-05-07,45.970001220703125
2019-04-05,46.279998779296875
2019-03-04,47.47999954223633
2019-01-31,48.0
2019-09-12,48.75
2019-12-31,49.689998626708984
2020-03-19,49.7599983215332
2020-01-03,49.959999084472656
2020-06-09,49.970001220703125
2019-02-15,50.70000076293945
2019-01-14,50.97999954223633
2018-07-06,51.20000076293945
2018-08-07,51.0099983215332
2018-10-10,51.70000076293945
2018-12-13,52.13999938964844
2019-08-26,54.90999984741211
2019-07-25,54.220001220703125
2019-05-22,55.459999084472656
2019-03-19,56.650001525878906
2020-01-06,56.880001068115234
2020-03-25,56.70000076293945
2020-06-12,57.150001525878906
2019-10-22,57.41999816894531
2020-01-09,57.54999923706055
2020-06-15,58.279998779296875
2019-10-25,58.43000030517578
2020-03-31,58.209999084472656
2020-06-18,57.7599983215332
2019-04-03,59.20000076293945
2018-08-22,59.86000061035156
2018-10-25,60.0
2019-01-29,60.63999938964844
2018-12-28,60.869998931884766
2018-11-26,61.0099983215332
2019-08-09,60.75
2019-07-08,61.13999938964844
2019-06-06,61.56999969482422
2019-09-10,61.720001220703125
2020-01-15,61.27000045776367
2020-04-03,62.029998779296875
2019-10-31,61.099998474121094
2020-04-06,61.66999816894531
2020-06-24,62.79999923706055
2018-11-09,63.599998474121094
2019-07-23,63.959999084472656
2019-06-21,64.55999755859375
2019-05-20,63.04999923706055
2019-04-18,63.5099983215332
2018-09-06,63.279998779296875
2018-10-08,63.630001068115234
2019-02-13,64.27999877929688
2018-12-11,64.08000183105469
2019-09-25,64.4000015258789
2020-01-21,64.58999633789062
2020-04-09,64.25
2019-11-06,63.7400016784668
2020-01-24,62.52000045776367
2020-01-27,63.25
2020-04-15,65.87999725341797
2018-12-26,66.69000244140625
2019-08-07,66.69000244140625
2019-06-04,66.83999633789062
2018-09-21,67.91999816894531
2018-07-19,68.16000366210938
2018-08-20,68.45999908447266
2018-10-23,68.19999694824219
2019-05-03,68.75
2019-04-01,68.05999755859375
2019-02-28,67.94000244140625
2019-11-12,67.88999938964844
2020-01-30,67.19999694824219
2019-11-15,67.4800033569336
2020-04-21,66.66999816894531
2019-04-16,67.08000183105469
2019-03-15,67.31999969482422
2019-02-11,68.75
2019-01-10,68.55999755859375
2019-08-22,64.37999725341797
2018-11-07,65.16999816894531
2018-08-03,64.44000244140625
2018-09-04,63.310001373291016
2019-06-19,63.779998779296875
2019-09-23,63.459999084472656
2019-11-18,62.81999969482422
2020-02-05,63.81999969482422
