Dates,ALL
2018-06-20,92.18000030517578
2018-06-21,92.2300033569336
2018-06-25,92.23999786376953
2018-06-22,91.62999725341797
2018-06-26,92.22000122070312
2018-06-27,90.30999755859375
2018-06-28,91.3499984741211
2018-06-29,91.2699966430664
2018-07-02,91.66999816894531
2018-07-03,91.9000015258789
2018-07-05,91.94000244140625
2018-07-16,92.16000366210938
2018-09-18,93.5999984741211
2019-01-24,93.36000061035156
2019-09-05,92.83000183105469
2018-11-21,92.9000015258789
2020-01-13,92.83000183105469
2020-04-01,93.45999908447266
2020-06-19,94.26000213623047
2019-10-29,95.76000213623047
2020-01-16,93.41999816894531
2020-06-22,93.41999816894531
2018-10-03,93.19000244140625
2018-07-31,93.2300033569336
2019-03-12,93.75
2019-02-08,94.76000213623047
2019-01-07,94.63999938964844
2018-12-06,94.58999633789062
2019-08-19,95.12000274658203
2019-07-18,94.6500015258789
2019-05-15,97.54000091552734
2019-09-20,98.05000305175781
2019-11-01,98.4000015258789
2020-04-07,98.7699966430664
2020-06-25,99.20999908447266
2020-06-16,99.4800033569336
2019-11-04,98.62999725341797
2020-01-22,98.16000366210938
2019-11-07,98.37999725341797
2020-04-13,98.83999633789062
2019-07-01,99.88999938964844
2019-05-30,100.0199966430664
2018-08-15,100.44000244140625
2018-10-18,101.44000244140625
2019-03-27,99.51000213623047
2019-01-22,99.1500015258789
2018-12-21,99.52999877929688
2019-09-03,100.41999816894531
2018-11-19,100.37999725341797
2019-08-02,100.58000183105469
2020-01-28,100.02999877929688
2020-04-16,100.56999969482422
2019-11-13,100.94999694824219
2020-01-31,101.4000015258789
2018-12-04,101.0999984741211
2018-11-02,100.02999877929688
2019-07-16,97.8499984741211
2018-08-30,98.16000366210938
2018-10-01,97.58000183105469
2019-06-14,99.05000305175781
2019-05-13,99.98999786376953
2019-04-11,100.33000183105469
2019-02-06,101.1500015258789
2019-09-18,101.69999694824219
2020-02-03,102.02999877929688
2020-04-22,101.81999969482422
2019-11-19,100.37999725341797
2020-02-06,99.80000305175781
2019-11-22,98.8499984741211
2019-03-25,98.1500015258789
2019-02-21,98.69999694824219
2018-12-19,98.52999877929688
2018-07-12,98.8499984741211
2018-09-14,98.81999969482422
2018-08-13,99.44000244140625
2018-10-16,99.58999633789062
2019-07-31,100.08999633789062
