Dates,ALL
2018-06-20,1464300.0
2018-06-21,2333400.0
2018-06-25,2228000.0
2018-06-22,2576300.0
2018-06-26,2212800.0
2018-06-27,2750300.0
2018-06-28,1857600.0
2018-06-29,1724900.0
2018-07-02,1789500.0
2018-07-03,836500.0
2018-07-05,1133800.0
2018-07-16,1559600.0
2018-09-18,1391200.0
2019-01-24,1609500.0
2019-09-05,1500800.0
2018-11-21,1267900.0
2020-01-13,1190800.0
2020-04-01,1406200.0
2020-06-19,2285000.0
2019-10-29,2097600.0
2020-01-16,2171500.0
2020-06-22,1863000.0
2018-10-03,1641000.0
2018-07-31,1601400.0
2019-03-12,1488300.0
2019-02-08,1674400.0
2019-01-07,1005100.0
2018-12-06,1434100.0
2019-08-19,1813700.0
2019-07-18,1567400.0
2019-05-15,2730100.0
2019-09-20,2681300.0
2019-11-01,1956100.0
2020-04-07,2189100.0
2020-06-25,1734800.0
2020-06-16,2010500.0
2019-11-04,1227600.0
2020-01-22,1658900.0
2019-11-07,2608500.0
2020-04-13,1536700.0
2019-07-01,3000700.0
2019-05-30,1140100.0
2018-08-15,1150600.0
2018-10-18,2725300.0
2019-03-27,1325600.0
2019-01-22,1607400.0
2018-12-21,1879000.0
2019-09-03,1243800.0
2018-11-19,1953200.0
2019-08-02,1592400.0
2020-01-28,1576000.0
2020-04-16,1480400.0
2019-11-13,2119600.0
2020-01-31,1915100.0
2018-12-04,1653300.0
2018-11-02,1575400.0
2019-07-16,2311600.0
2018-08-30,1699300.0
2018-10-01,1559900.0
2019-06-14,1544300.0
2019-05-13,1345900.0
2019-04-11,2357600.0
2019-02-06,1393300.0
2019-09-18,2140700.0
2020-02-03,1159500.0
2020-04-22,2950300.0
2019-11-19,1070300.0
2020-02-06,1525200.0
2019-11-22,1444700.0
2019-03-25,1617200.0
2019-02-21,1445700.0
2018-12-19,1658400.0
2018-07-12,1565200.0
2018-09-14,1141000.0
2018-08-13,1071400.0
2018-10-16,1373200.0
2019-07-31,1333900.0
2019-05-28,1240500.0
2019-04-26,2344600.0
2020-04-28,2045100.0
2019-11-25,1860400.0
2020-02-12,1667000.0
2020-05-01,3137500.0
2020-05-04,1737900.0
2019-06-12,2424200.0
2019-04-09,2384500.0
2019-03-08,1346700.0
2019-02-04,1652900.0
2018-07-27,2453900.0
2018-08-28,1855600.0
2019-01-03,2608300.0
2019-08-15,2056600.0
2018-10-31,2017700.0
2019-09-16,2124100.0
2020-02-18,5007200.0
2020-05-07,2738200.0
2018-08-17,1742700.0
2019-12-04,1705700.0
2020-02-21,1715200.0
2018-12-17,2539200.0
2019-08-30,1640800.0
2018-11-15,1354300.0
2019-07-29,1360100.0
2019-06-27,2157500.0
2019-04-24,2029300.0
2018-07-10,1778600.0
2018-09-12,2100600.0
2019-02-19,1658000.0
2019-01-18,2262200.0
2020-02-24,567300.0
2020-05-13,1827900.0
2019-12-10,1349900.0
2020-02-27,1513800.0
2019-12-13,1658400.0
2020-05-19,2667100.0
2019-03-06,2963800.0
