Dates,SWKS
2018-06-20,100.2300033569336
2018-06-21,100.3499984741211
2018-06-25,99.76000213623047
2018-06-22,97.95999908447266
2018-06-26,97.48999786376953
2018-06-27,98.29000091552734
2018-06-28,95.98999786376953
2018-06-29,96.83999633789062
2018-07-02,95.45999908447266
2018-07-03,97.19999694824219
2018-07-05,96.5
2018-07-16,99.41999816894531
2018-09-18,100.51000213623047
2019-01-24,100.45999908447266
2019-09-05,100.37999725341797
2018-11-21,99.6500015258789
2020-01-13,99.6500015258789
2020-04-01,99.9000015258789
2020-06-19,98.94000244140625
2019-10-29,101.97000122070312
2020-01-16,101.97000122070312
2020-06-22,103.25
2018-10-03,96.66000366210938
2018-07-31,97.31999969482422
2019-03-12,94.23999786376953
2019-02-08,94.77999877929688
2019-01-07,96.0
2018-12-06,95.16000366210938
2019-08-19,95.08999633789062
2019-07-18,95.36000061035156
2019-05-15,93.6500015258789
2019-09-20,95.66000366210938
2019-11-01,94.05000305175781
2020-04-07,95.41999816894531
2020-06-25,96.05999755859375
2020-06-16,95.19000244140625
2019-11-04,93.47000122070312
2020-01-22,93.58000183105469
2019-11-07,94.02999877929688
2020-04-13,91.93000030517578
2019-07-01,92.30000305175781
2019-05-30,90.66000366210938
2018-08-15,91.91000366210938
2018-10-18,91.16000366210938
2019-03-27,92.27999877929688
2019-01-22,92.5199966430664
2018-12-21,93.01000213623047
2019-09-03,93.20999908447266
2018-11-19,93.94000244140625
2019-08-02,93.7699966430664
2020-01-28,92.87999725341797
2020-04-16,91.3499984741211
2019-11-13,91.12000274658203
2020-01-31,89.80000305175781
2018-12-04,89.79000091552734
2018-11-02,88.51000213623047
2019-07-16,87.55000305175781
2018-08-30,86.6500015258789
2018-10-01,85.08999633789062
2019-06-14,85.0
2019-05-13,87.54000091552734
2019-04-11,87.08999633789062
2019-02-06,86.26000213623047
2019-09-18,87.79000091552734
2020-02-03,89.5999984741211
2020-04-22,91.36000061035156
2019-11-19,91.73999786376953
2020-02-06,93.04000091552734
2019-11-22,90.75
2019-03-25,90.27999877929688
2019-02-21,89.69999694824219
2018-12-19,91.27999877929688
2018-07-12,91.26000213623047
2018-09-14,92.31999969482422
2018-08-13,92.0
2018-10-16,90.6500015258789
2019-07-31,87.23999786376953
2019-05-28,87.69999694824219
2019-04-26,87.29000091552734
2020-04-28,84.66999816894531
2019-11-25,87.23999786376953
2020-02-12,86.75
2020-05-01,87.77999877929688
2020-05-04,89.05999755859375
2019-06-12,87.81999969482422
2019-04-09,86.58000183105469
2019-03-08,85.75
2019-02-04,82.94000244140625
2018-07-27,83.41999816894531
2018-08-28,80.66000366210938
2019-01-03,79.81999969482422
2019-08-15,82.3499984741211
2018-10-31,82.12000274658203
2019-09-16,85.83000183105469
2020-02-18,87.2300033569336
2020-05-07,87.43000030517578
2018-08-17,84.26000213623047
2019-12-04,82.75
2020-02-21,83.4000015258789
2018-12-17,82.20999908447266
2019-08-30,77.43000030517578
2018-11-15,73.93000030517578
2019-07-29,73.48999786376953
2019-06-27,73.0
2019-04-24,71.0999984741211
2018-07-10,72.30000305175781
2018-09-12,72.16999816894531
2019-02-19,68.80000305175781
2019-01-18,70.33000183105469
2020-02-24,69.56999969482422
2020-05-13,71.37000274658203
2019-12-10,70.25
2020-02-27,71.66000366210938
2019-12-13,71.69000244140625
2020-05-19,71.37999725341797
2019-03-06,74.93000030517578
2018-11-30,72.80999755859375
2019-08-13,69.11000061035156
2019-07-12,70.31999969482422
2019-06-10,66.19999694824219
2019-05-09,68.7699966430664
2018-07-25,69.55000305175781
2018-09-27,69.91000366210938
2018-10-29,68.76000213623047
2019-10-16,68.5
2019-12-16,68.91999816894531
2020-03-04,68.37000274658203
2020-05-22,66.0
2019-10-01,66.30000305175781
2019-12-19,63.81999969482422
2018-09-10,63.4900016784668
2019-05-24,65.48999786376953
2018-08-09,67.87000274658203
2019-04-22,67.80000305175781
2019-03-21,65.86000061035156
2019-01-16,64.80000305175781
2019-08-28,61.15999984741211
2018-11-13,63.04999923706055
2018-10-12,64.94999694824219
2019-06-25,65.91000366210938
2020-03-10,67.5
2020-05-28,68.30999755859375
2019-10-07,69.66000366210938
2020-03-13,68.66000366210938
2019-10-10,68.44999694824219
2020-03-16,68.27999877929688
2020-06-03,69.30000305175781
2018-11-28,69.72000122070312
2018-09-25,69.12999725341797
2018-07-23,69.16000366210938
2018-08-24,71.38999938964844
2019-07-10,71.26000213623047
2019-05-07,72.48999786376953
2019-04-05,72.95999908447266
2019-03-04,73.6500015258789
2019-01-31,73.31999969482422
2019-09-12,74.0999984741211
2019-12-31,75.26000213623047
2020-03-19,81.93000030517578
2020-01-03,85.05000305175781
2020-06-09,80.47000122070312
2019-02-15,81.83000183105469
2019-01-14,82.66000366210938
2018-07-06,83.91000366210938
2018-08-07,82.80000305175781
2018-10-10,84.37999725341797
2018-12-13,83.11000061035156
2019-08-26,83.19000244140625
2019-07-25,82.26000213623047
2019-05-22,82.45999908447266
2019-03-19,83.51000213623047
2020-01-06,82.30000305175781
2020-03-25,81.5999984741211
2020-06-12,80.80999755859375
2019-10-22,82.30000305175781
2020-01-09,82.79000091552734
2020-06-15,82.0
2019-10-25,81.94000244140625
2020-03-31,80.72000122070312
2020-06-18,78.38999938964844
2019-04-03,80.58999633789062
2018-08-22,81.73999786376953
2018-10-25,82.80999755859375
2019-01-29,81.87999725341797
2018-12-28,82.16000366210938
2018-11-26,83.87000274658203
2019-08-09,83.20999908447266
2019-07-08,83.37999725341797
2019-06-06,82.12000274658203
2019-09-10,85.62999725341797
