Dates,SWKS
2018-06-20,100.86000061035156
2018-06-21,100.56999969482422
2018-06-25,100.02999877929688
2018-06-22,98.1500015258789
2018-06-26,98.86000061035156
2018-06-27,98.91999816894531
2018-06-28,97.04000091552734
2018-06-29,97.80999755859375
2018-07-02,97.19999694824219
2018-07-03,97.86000061035156
2018-07-05,99.75
2018-07-16,100.44999694824219
2018-09-18,100.63999938964844
2019-01-24,102.0999984741211
2019-09-05,101.0199966430664
2018-11-21,100.26000213623047
2020-01-13,100.2300033569336
2020-04-01,100.62000274658203
2020-06-19,101.7300033569336
2019-10-29,102.9000015258789
2020-01-16,102.88999938964844
2020-06-22,103.94999694824219
2018-10-03,96.93000030517578
2018-07-31,97.4000015258789
2019-03-12,95.20999908447266
2019-02-08,95.56999969482422
2019-01-07,96.5999984741211
2018-12-06,95.41000366210938
2019-08-19,95.70999908447266
2019-07-18,95.9000015258789
2019-05-15,95.80999755859375
2019-09-20,95.91999816894531
2019-11-01,95.13999938964844
2020-04-07,96.11000061035156
2020-06-25,96.25
2020-06-16,95.22000122070312
2019-11-04,93.73999786376953
2020-01-22,94.30000305175781
2019-11-07,94.25
2020-04-13,92.12000274658203
2019-07-01,92.48999786376953
2019-05-30,92.02999877929688
2018-08-15,91.97000122070312
2018-10-18,92.91000366210938
2019-03-27,92.88999938964844
2019-01-22,93.47000122070312
2018-12-21,93.29000091552734
2019-09-03,94.37999725341797
2018-11-19,94.31999969482422
2019-08-02,93.7699966430664
2020-01-28,93.0999984741211
2020-04-16,91.93000030517578
2019-11-13,91.61000061035156
2020-01-31,89.95999908447266
2018-12-04,90.93000030517578
2018-11-02,89.2699966430664
2019-07-16,88.0
2018-08-30,86.95999908447266
2018-10-01,85.30999755859375
2019-06-14,87.5999984741211
2019-05-13,89.2300033569336
2019-04-11,88.05999755859375
2019-02-06,87.19000244140625
2019-09-18,89.20999908447266
2020-02-03,92.11000061035156
2020-04-22,92.54000091552734
2019-11-19,93.62000274658203
2020-02-06,93.30000305175781
2019-11-22,91.41000366210938
2019-03-25,90.7300033569336
2019-02-21,90.81999969482422
2018-12-19,92.16000366210938
