Dates,SWKS
2018-06-20,1422100.0
2018-06-21,1074700.0
2018-06-25,2301900.0
2018-06-22,1965600.0
2018-06-26,1732100.0
2018-06-27,1462300.0
2018-06-28,1283400.0
2018-06-29,1616200.0
2018-07-02,2029100.0
2018-07-03,1060600.0
2018-07-05,2248500.0
2018-07-16,1438400.0
2018-09-18,994200.0
2019-01-24,1217500.0
2019-09-05,1252400.0
2018-11-21,1762300.0
2020-01-13,1118400.0
2020-04-01,1476300.0
2020-06-19,1942000.0
2019-10-29,2163100.0
2020-01-16,2113800.0
2020-06-22,7018900.0
2018-10-03,3257600.0
2018-07-31,2330400.0
2019-03-12,2559300.0
2019-02-08,1829800.0
2019-01-07,1704300.0
2018-12-06,1199500.0
2019-08-19,1176400.0
2019-07-18,1459000.0
2019-05-15,1219800.0
2019-09-20,1278700.0
2019-11-01,1742200.0
2020-04-07,1345900.0
2020-06-25,1062000.0
2020-06-16,1731700.0
2019-11-04,2565600.0
2020-01-22,1616200.0
2019-11-07,1437300.0
2020-04-13,1698800.0
2019-07-01,1400600.0
2019-05-30,1755000.0
2018-08-15,1102800.0
2018-10-18,1358100.0
2019-03-27,914000.0
2019-01-22,904400.0
2018-12-21,1416500.0
2019-09-03,1381100.0
2018-11-19,1156900.0
2019-08-02,1399400.0
2020-01-28,1694200.0
2020-04-16,1749600.0
2019-11-13,2133000.0
2020-01-31,2438200.0
2018-12-04,2226100.0
2018-11-02,2531000.0
2019-07-16,2382700.0
2018-08-30,2892700.0
2018-10-01,2418700.0
2019-06-14,2907100.0
2019-05-13,2135100.0
2019-04-11,1913800.0
2019-02-06,1547800.0
2019-09-18,2304200.0
2020-02-03,3401100.0
2020-04-22,3894000.0
2019-11-19,1780200.0
2020-02-06,2022900.0
2019-11-22,1779000.0
2019-03-25,1051600.0
2019-02-21,1108400.0
2018-12-19,1182600.0
2018-07-12,1076500.0
2018-09-14,1611000.0
2018-08-13,1296600.0
2018-10-16,2129300.0
2019-07-31,1137300.0
2019-05-28,1084600.0
2019-04-26,2699500.0
2020-04-28,2011500.0
2019-11-25,1742100.0
2020-02-12,1756400.0
2020-05-01,1886400.0
2020-05-04,1256300.0
2019-06-12,1444500.0
2019-04-09,1481600.0
2019-03-08,1468400.0
2019-02-04,2338900.0
2018-07-27,2170500.0
2018-08-28,1695300.0
2019-01-03,1561700.0
2019-08-15,1675400.0
2018-10-31,1985100.0
2019-09-16,2362200.0
2020-02-18,1853300.0
2020-05-07,2670000.0
2018-08-17,2538700.0
2019-12-04,2188800.0
2020-02-21,3129500.0
2018-12-17,2667800.0
2019-08-30,8461500.0
2018-11-15,5125300.0
2019-07-29,3314800.0
2019-06-27,3501700.0
2019-04-24,3954400.0
2018-07-10,2481900.0
2018-09-12,2516200.0
2019-02-19,3886800.0
2019-01-18,2392400.0
2020-02-24,964400.0
2020-05-13,2504400.0
2019-12-10,2621400.0
2020-02-27,2303400.0
2019-12-13,2238400.0
2020-05-19,2884200.0
2019-03-06,2538100.0
2018-11-30,2712500.0
2019-08-13,2642400.0
2019-07-12,2293800.0
2019-06-10,2612100.0
2019-05-09,2482600.0
2018-07-25,2654200.0
2018-09-27,1652100.0
2018-10-29,1666400.0
2019-10-16,1792200.0
2019-12-16,1664000.0
2020-03-04,1968900.0
2020-05-22,2206500.0
2019-10-01,4037300.0
2019-12-19,1305600.0
2018-09-10,1800200.0
2019-05-24,1475400.0
2018-08-09,1640400.0
2019-04-22,1311000.0
2019-03-21,1850900.0
2019-01-16,4701900.0
2019-08-28,4067800.0
2018-11-13,2134400.0
2018-10-12,2213900.0
2019-06-25,3456100.0
2020-03-10,2271800.0
2020-05-28,2484100.0
2019-10-07,1628700.0
2020-03-13,1162500.0
2019-10-10,1593100.0
2020-03-16,1559000.0
2020-06-03,2464400.0
2018-11-28,2090900.0
2018-09-25,1482300.0
2018-07-23,1659800.0
2018-08-24,2026300.0
2019-07-10,1745200.0
2019-05-07,1585600.0
2019-04-05,1948800.0
2019-03-04,1753100.0
2019-01-31,1834800.0
2019-09-12,1740700.0
2019-12-31,2798400.0
2020-03-19,8926000.0
2020-01-03,3581200.0
2020-06-09,2828200.0
2019-02-15,1896100.0
2019-01-14,2022300.0
2018-07-06,1557200.0
2018-08-07,2371300.0
2018-10-10,1185400.0
2018-12-13,1409500.0
2019-08-26,2341300.0
2019-07-25,1818100.0
2019-05-22,2319900.0
2019-03-19,1976200.0
2020-01-06,1118200.0
2020-03-25,1468400.0
2020-06-12,1577900.0
2019-10-22,1391200.0
2020-01-09,1554800.0
2020-06-15,1529500.0
2019-10-25,1248900.0
2020-03-31,1501800.0
2020-06-18,1113100.0
2019-04-03,1134100.0
2018-08-22,1296400.0
2018-10-25,1766100.0
2019-01-29,1993300.0
2018-12-28,4004000.0
2018-11-26,1579000.0
2019-08-09,1562600.0
2019-07-08,1953000.0
2019-06-06,2500900.0
2019-09-10,2198400.0
2020-01-15,1814300.0
2020-04-03,1086700.0
2019-10-31,1273500.0
2020-04-06,945700.0
2020-06-24,1589700.0
2018-11-09,1278400.0
2019-07-23,697900.0
2019-06-21,1887700.0
2019-05-20,1312700.0
2019-04-18,1081300.0
2018-09-06,1356600.0
2018-10-08,1096500.0
2019-02-13,1009600.0
2018-12-11,1327700.0
2019-09-25,1532200.0
2020-01-21,1193100.0
