Dates,ETR
2018-06-20,79.4800033569336
2018-06-21,79.58000183105469
2018-06-25,79.69999694824219
2018-06-22,80.19000244140625
2018-06-26,80.68000030517578
2018-06-27,80.79000091552734
2018-06-28,81.06999969482422
2018-06-29,80.20999908447266
2018-07-02,80.48999786376953
2018-07-03,81.05999755859375
2018-07-05,81.05999755859375
2018-07-16,81.76000213623047
2018-09-18,79.86000061035156
2019-01-24,79.55000305175781
2019-09-05,80.94999694824219
2018-11-21,81.7300033569336
2020-01-13,81.55000305175781
2020-04-01,81.16000366210938
2020-06-19,81.66999816894531
2019-10-29,80.29000091552734
2020-01-16,80.6500015258789
2020-06-22,80.01000213623047
2018-10-03,79.16000366210938
2018-07-31,77.58999633789062
2019-03-12,78.70999908447266
2019-02-08,79.58999633789062
2019-01-07,80.23999786376953
2018-12-06,79.83999633789062
2019-08-19,80.08999633789062
2019-07-18,80.69999694824219
2019-05-15,81.33999633789062
2019-09-20,82.47000122070312
2019-11-01,83.31999969482422
2020-04-07,82.25
2020-06-25,82.02999877929688
2020-06-16,82.41999816894531
2019-11-04,83.36000061035156
2020-01-22,83.0199966430664
2019-11-07,83.2699966430664
2020-04-13,83.81999969482422
2019-07-01,83.70999908447266
2019-05-30,84.80999755859375
2018-08-15,84.77999877929688
2018-10-18,84.37000274658203
2019-03-27,84.01000213623047
2019-01-22,84.13999938964844
2018-12-21,84.12000274658203
2019-09-03,83.75
2018-11-19,83.30000305175781
2019-08-02,82.86000061035156
2020-01-28,83.5999984741211
2020-04-16,83.2699966430664
2019-11-13,83.54000091552734
2020-01-31,84.12000274658203
2018-12-04,84.7300033569336
2018-11-02,84.56999969482422
2019-07-16,84.66999816894531
2018-08-30,84.4000015258789
2018-10-01,83.95999908447266
2019-06-14,83.4800033569336
2019-05-13,82.97000122070312
2019-04-11,83.58000183105469
2019-02-06,83.68000030517578
2019-09-18,81.62999725341797
2020-02-03,81.16999816894531
2020-04-22,81.73999786376953
2019-11-19,81.5999984741211
2020-02-06,80.02999877929688
2019-11-22,78.98999786376953
2019-03-25,79.0
2019-02-21,80.16999816894531
2018-12-19,80.36000061035156
2018-07-12,80.93000030517578
2018-09-14,79.66000366210938
2018-08-13,79.56999969482422
2018-10-16,81.26000213623047
2019-07-31,82.7300033569336
2019-05-28,82.83999633789062
2019-04-26,82.88999938964844
2020-04-28,80.9800033569336
2019-11-25,80.04000091552734
2020-02-12,81.22000122070312
2020-05-01,81.55999755859375
2020-05-04,81.87999725341797
2019-06-12,82.2300033569336
2019-04-09,82.7300033569336
2019-03-08,83.29000091552734
2019-02-04,82.55999755859375
2018-07-27,83.19999694824219
2018-08-28,82.8499984741211
2019-01-03,82.06999969482422
2019-08-15,82.45999908447266
2018-10-31,82.44000244140625
2019-09-16,81.0199966430664
2020-02-18,82.70999908447266
2020-05-07,82.08000183105469
2018-08-17,83.37000274658203
2019-12-04,84.33999633789062
2020-02-21,84.16999816894531
2018-12-17,84.31999969482422
2019-08-30,84.62999725341797
2018-11-15,84.9000015258789
2019-07-29,85.20999908447266
2019-06-27,85.12999725341797
2019-04-24,84.41999816894531
2018-07-10,85.38999938964844
2018-09-12,85.76000213623047
2019-02-19,86.0
2019-01-18,85.05999755859375
2020-02-24,85.02999877929688
2020-05-13,85.01000213623047
2019-12-10,85.25
2020-02-27,85.44000244140625
2019-12-13,85.1500015258789
2020-05-19,85.87000274658203
2019-03-06,86.11000061035156
2018-11-30,87.8499984741211
2019-08-13,86.5999984741211
2019-07-12,87.30999755859375
2019-06-10,87.55000305175781
2019-05-09,88.9000015258789
2018-07-25,88.69000244140625
2018-09-27,88.93000030517578
2018-10-29,89.0999984741211
2019-10-16,86.73999786376953
2019-12-16,86.91000366210938
2020-03-04,86.2699966430664
2020-05-22,85.80999755859375
2019-10-01,86.61000061035156
2019-12-19,83.08999633789062
2018-09-10,82.05999755859375
2019-05-24,82.91999816894531
2018-08-09,85.16000366210938
2019-04-22,84.80999755859375
2019-03-21,83.5199966430664
2019-01-16,83.4000015258789
2019-08-28,83.61000061035156
2018-11-13,83.80000305175781
2018-10-12,83.9800033569336
2019-06-25,84.70999908447266
2020-03-10,85.16999816894531
2020-05-28,85.38999938964844
2019-10-07,83.23999786376953
2020-03-13,84.47000122070312
2019-10-10,85.30000305175781
2020-03-16,85.54000091552734
2020-06-03,85.41000366210938
2018-11-28,85.69000244140625
2018-09-25,86.58000183105469
2018-07-23,87.20999908447266
2018-08-24,86.98999786376953
2019-07-10,85.97000122070312
2019-05-07,86.19999694824219
2019-04-05,86.20999908447266
