Dates,ETR
2018-06-20,3330900.0
2018-06-21,1844400.0
2018-06-25,2255300.0
2018-06-22,2770300.0
2018-06-26,1613100.0
2018-06-27,1641000.0
2018-06-28,3017600.0
2018-06-29,1988700.0
2018-07-02,1652100.0
2018-07-03,574700.0
2018-07-05,1982000.0
2018-07-16,1224100.0
2018-09-18,1994100.0
2019-01-24,1222100.0
2019-09-05,1809600.0
2018-11-21,2107500.0
2020-01-13,1253900.0
2020-04-01,1224000.0
2020-06-19,920900.0
2019-10-29,2432200.0
2020-01-16,1293200.0
2020-06-22,2501100.0
2018-10-03,1183000.0
2018-07-31,2224500.0
2019-03-12,1146600.0
2019-02-08,1903900.0
2019-01-07,809800.0
2018-12-06,2778800.0
2019-08-19,2256000.0
2019-07-18,2615500.0
2019-05-15,1764500.0
2019-09-20,1809300.0
2019-11-01,1429600.0
2020-04-07,1815600.0
2020-06-25,1122200.0
2020-06-16,1464800.0
2019-11-04,1170200.0
2020-01-22,2265400.0
2019-11-07,2907900.0
2020-04-13,2339600.0
2019-07-01,1939100.0
2019-05-30,1276700.0
2018-08-15,962900.0
2018-10-18,1418100.0
2019-03-27,867500.0
2019-01-22,914000.0
2018-12-21,601900.0
2019-09-03,1216400.0
2018-11-19,1368500.0
2019-08-02,1566500.0
2020-01-28,1428900.0
2020-04-16,1340700.0
2019-11-13,1254500.0
2020-01-31,907600.0
2018-12-04,905500.0
2018-11-02,904000.0
2019-07-16,852100.0
2018-08-30,1631600.0
2018-10-01,1290700.0
2019-06-14,1583800.0
2019-05-13,1428900.0
2019-04-11,1001800.0
2019-02-06,994900.0
2019-09-18,1006200.0
2020-02-03,1031700.0
2020-04-22,2132700.0
2019-11-19,1066000.0
2020-02-06,1257100.0
2019-11-22,1857000.0
2019-03-25,1476200.0
2019-02-21,1121000.0
2018-12-19,665700.0
2018-07-12,1001200.0
2018-09-14,786500.0
2018-08-13,1048600.0
2018-10-16,1224300.0
2019-07-31,1094600.0
2019-05-28,1177700.0
2019-04-26,1710300.0
2020-04-28,1598400.0
2019-11-25,1637000.0
2020-02-12,2786300.0
2020-05-01,2357500.0
2020-05-04,949100.0
2019-06-12,1114900.0
2019-04-09,874800.0
2019-03-08,1869700.0
2019-02-04,1862300.0
2018-07-27,2243900.0
2018-08-28,1418800.0
2019-01-03,1800000.0
2019-08-15,2051200.0
2018-10-31,1843200.0
2019-09-16,2676900.0
2020-02-18,1775900.0
2020-05-07,1279400.0
2018-08-17,1448700.0
2019-12-04,1297800.0
2020-02-21,1403500.0
2018-12-17,1125800.0
2019-08-30,2409100.0
2018-11-15,1637300.0
2019-07-29,1134000.0
2019-06-27,1292800.0
2019-04-24,1462400.0
2018-07-10,1361000.0
2018-09-12,1157600.0
2019-02-19,1709000.0
