Dates,IEX
2018-06-20,137.2860565185547
2018-06-21,134.8944091796875
2018-06-25,134.80691528320312
2018-06-22,133.30972290039062
2018-06-26,132.2888946533203
2018-06-27,131.82225036621094
2018-06-28,131.7541961669922
2018-06-29,132.68751525878906
2018-07-02,132.01666259765625
2018-07-03,131.67642211914062
2018-07-05,133.7569580078125
2018-07-16,133.57220458984375
2018-09-18,134.53468322753906
2019-01-24,134.9041290283203
2019-09-05,132.9402618408203
2018-11-21,134.3110809326172
2020-01-13,135.2180633544922
2020-04-01,134.01852416992188
2020-06-19,135.19859313964844
2019-10-29,135.63743591308594
2020-01-16,137.18807983398438
2020-06-22,136.57366943359375
2018-10-03,134.0477752685547
2018-07-31,136.1445770263672
2019-03-12,145.35089111328125
2019-02-08,146.64797973632812
2019-01-07,146.2383575439453
2018-12-06,144.307373046875
2019-08-19,149.7785186767578
2019-07-18,148.8715362548828
2019-05-15,149.00807189941406
2019-09-20,148.00357055664062
2019-11-01,149.18362426757812
2020-04-07,149.47622680664062
2020-06-25,148.74478149414062
2020-06-16,147.8963165283203
2019-11-04,147.3013916015625
2020-01-22,147.35015869140625
2019-11-07,148.3448944091797
2020-04-13,147.82803344726562
2019-07-01,148.26687622070312
2019-05-30,148.35464477539062
2018-08-15,149.28114318847656
2018-10-18,149.95404052734375
2019-03-27,149.037353515625
2019-01-22,147.213623046875
2018-12-21,147.75
2019-09-03,149.71023559570312
2018-11-19,149.86630249023438
2019-08-02,151.51446533203125
2020-01-28,150.100341796875
2020-04-16,149.41769409179688
2019-11-13,149.00807189941406
2020-01-31,148.9105682373047
2018-12-04,148.79351806640625
2018-11-02,148.57894897460938
2019-07-16,148.74478149414062
2018-08-30,148.30592346191406
2018-10-01,147.38916015625
2019-06-14,149.56396484375
2019-05-13,151.4364471435547
2019-04-11,150.09059143066406
2019-02-06,152.09962463378906
2019-09-18,151.26089477539062
2020-02-03,152.8895721435547
2020-04-22,152.29466247558594
2019-11-19,150.94882202148438
2020-02-06,150.18814086914062
2019-11-22,149.45669555664062
2019-03-25,148.44244384765625
2019-02-21,146.93081665039062
2018-12-19,147.36965942382812
2018-07-12,146.2091064453125
2018-09-14,147.23312377929688
2018-08-13,146.121337890625
2018-10-16,144.39515686035156
2019-07-31,142.19110107421875
2019-05-28,139.87974548339844
2019-04-26,136.65170288085938
2020-04-28,130.85870361328125
2019-11-25,133.11155700683594
2020-02-12,132.2506103515625
2020-05-01,133.83551025390625
2020-05-04,134.38336181640625
2019-06-12,131.4581298828125
2019-04-09,129.9808807373047
2019-03-08,130.65591430664062
2019-02-04,126.60564422607422
2018-07-27,124.37506103515625
2018-08-28,124.11090850830078
2019-01-03,124.60985565185547
2019-08-15,122.30101013183594
2018-10-31,122.5357894897461
2019-09-16,124.07176971435547
2020-02-18,129.10040283203125
2020-05-07,131.2135772705078
2018-08-17,131.03749084472656
2019-12-04,131.5462188720703
2020-02-21,135.5377960205078
2018-12-17,133.5713653564453
2019-08-30,132.59303283691406
2018-11-15,130.10809326171875
2019-07-29,129.7949981689453
2019-06-27,130.84181213378906
2019-04-24,133.12132263183594
2018-07-10,133.79635620117188
2018-09-12,131.6929473876953
2019-02-19,129.12974548339844
2019-01-18,130.13743591308594
2020-02-24,128.55252075195312
2020-05-13,130.3624267578125
2019-12-10,128.9732208251953
2020-02-27,131.6929473876953
2019-12-13,131.4483642578125
2020-05-19,134.4224853515625
2019-03-06,136.1737060546875
2018-11-30,131.57559204101562
2019-08-13,132.1136474609375
2019-07-12,130.7439727783203
2019-06-10,131.46792602539062
2019-05-09,130.6461639404297
2018-07-25,132.67129516601562
2018-09-27,132.0843048095703
2018-10-29,129.68739318847656
2019-10-16,126.50782775878906
2019-12-16,126.24365234375
2020-03-04,122.97603607177734
2020-05-22,122.2325210571289
2019-10-01,121.02916717529297
2019-12-19,116.06903839111328
2018-09-10,120.99002838134766
2019-05-24,122.7118911743164
2018-08-09,121.46942138671875
2019-04-22,123.52391052246094
2019-03-21,122.34014129638672
2019-01-16,118.78878784179688
2019-08-28,126.54695129394531
2018-11-13,128.9732208251953
2018-10-12,131.97665405273438
2019-06-25,132.60281372070312
2020-03-10,133.61050415039062
2020-05-28,133.6007080078125
2019-10-07,132.39353942871094
2020-03-13,132.148193359375
2019-10-10,133.3160858154297
2020-03-16,135.27891540527344
2020-06-03,138.1544952392578
2018-11-28,135.04339599609375
2018-09-25,133.38479614257812
2018-07-23,134.218994140625
2018-08-24,134.70970153808594
2019-07-10,133.12962341308594
2019-05-07,136.51551818847656
2019-04-05,134.5526885986328
2019-03-04,135.29855346679688
2019-01-31,135.50466918945312
2019-09-12,135.56353759765625
2019-12-31,135.77944946289062
2020-03-19,135.62242126464844
2020-01-03,135.2887420654297
2020-06-09,137.41844177246094
2019-02-15,137.75210571289062
2019-01-14,140.31362915039062
2018-07-06,139.3321990966797
2018-08-07,138.458740234375
2018-10-10,141.44223022460938
2018-12-13,139.89161682128906
2019-08-26,140.50987243652344
2019-07-25,139.8131103515625
2019-05-22,141.8642578125
2019-03-19,142.13906860351562
2020-01-06,140.87301635742188
2020-03-25,142.2666473388672
2020-06-12,141.4226531982422
2019-10-22,142.15872192382812
2020-01-09,142.8456573486328
2020-06-15,142.0507354736328
2019-10-25,142.3942108154297
2020-03-31,141.13800048828125
2020-06-18,140.30380249023438
2019-04-03,144.0233917236328
2018-08-22,143.17935180664062
2018-10-25,144.68093872070312
2019-01-29,143.9448699951172
