Dates,IEX
2018-06-20,142.74000549316406
2018-06-21,141.11000061035156
2018-06-25,140.00999450683594
2018-06-22,138.5500030517578
2018-06-26,137.74000549316406
2018-06-27,138.3300018310547
2018-06-28,136.42999267578125
2018-06-29,138.4499969482422
2018-07-02,136.27000427246094
2018-07-03,137.3699951171875
2018-07-05,137.85000610351562
2018-07-16,137.9499969482422
2018-09-18,139.0
2019-01-24,139.4600067138672
2019-09-05,137.67999267578125
2018-11-21,138.36000061035156
2020-01-13,139.05999755859375
2020-04-01,138.8699951171875
2020-06-19,139.11000061035156
2019-10-29,139.4499969482422
2020-01-16,141.13999938964844
2020-06-22,141.85000610351562
2018-10-03,139.3800048828125
2018-07-31,140.2100067138672
2019-03-12,150.07000732421875
2019-02-08,152.11000061035156
2019-01-07,150.85000610351562
2018-12-06,151.0
2019-08-19,153.86000061035156
2019-07-18,153.99000549316406
2019-05-15,154.24000549316406
2019-09-20,153.75999450683594
2019-11-01,153.50999450683594
2020-04-07,154.6199951171875
2020-06-25,153.25999450683594
2020-06-16,153.27000427246094
2019-11-04,151.92999267578125
2020-01-22,151.82000732421875
2019-11-07,153.4600067138672
2020-04-13,152.02000427246094
2019-07-01,153.2100067138672
2019-05-30,152.9199981689453
2018-08-15,153.52000427246094
2018-10-18,153.99000549316406
2019-03-27,153.44000244140625
2019-01-22,152.7899932861328
2018-12-21,152.02000427246094
2019-09-03,153.7100067138672
2018-11-19,154.41000366210938
2019-08-02,156.0
2020-01-28,155.35000610351562
2020-04-16,154.1300048828125
2019-11-13,153.39999389648438
2020-01-31,153.25999450683594
2018-12-04,154.10000610351562
2018-11-02,153.82000732421875
2019-07-16,154.1199951171875
2018-08-30,153.22999572753906
2018-10-01,152.61000061035156
2019-06-14,153.38999938964844
2019-05-13,155.60000610351562
2019-04-11,156.0
2019-02-06,156.22000122070312
2019-09-18,156.42999267578125
2020-02-03,157.50999450683594
2020-04-22,157.83999633789062
2019-11-19,156.05999755859375
2020-02-06,155.49000549316406
2019-11-22,155.30999755859375
2019-03-25,154.14999389648438
2019-02-21,152.52000427246094
2018-12-19,152.25
2018-07-12,151.30999755859375
2018-09-14,151.6699981689453
2018-08-13,151.60000610351562
2018-10-16,150.60000610351562
2019-07-31,148.3800048828125
2019-05-28,145.94000244140625
2019-04-26,143.5399932861328
2020-04-28,140.80999755859375
2019-11-25,136.85000610351562
2020-02-12,136.3699951171875
2020-05-01,137.8000030517578
2020-05-04,138.16000366210938
2019-06-12,136.1699981689453
2019-04-09,134.80999755859375
2019-03-08,134.55999755859375
2019-02-04,131.6300048828125
2018-07-27,133.88999938964844
2018-08-28,130.88999938964844
2019-01-03,130.16000366210938
2019-08-15,129.7899932861328
2018-10-31,126.5
2019-09-16,128.49000549316406
2020-02-18,132.32000732421875
2020-05-07,134.99000549316406
2018-08-17,135.36000061035156
2019-12-04,134.9499969482422
2020-02-21,139.11000061035156
2018-12-17,139.52000427246094
2019-08-30,136.52999877929688
2018-11-15,136.0800018310547
2019-07-29,135.2899932861328
2019-06-27,136.39999389648438
2019-04-24,136.8800048828125
2018-07-10,137.72000122070312
2018-09-12,137.1300048828125
2019-02-19,134.3699951171875
2019-01-18,134.8000030517578
2020-02-24,133.1999969482422
2020-05-13,133.67999267578125
2019-12-10,132.82000732421875
2020-02-27,134.72999572753906
2019-12-13,135.2899932861328
2020-05-19,137.85000610351562
2019-03-06,142.52999877929688
2018-11-30,139.22000122070312
2019-08-13,135.0399932861328
2019-07-12,137.02000427246094
2019-06-10,135.05999755859375
2019-05-09,137.24000549316406
2018-07-25,137.5800018310547
2018-09-27,136.3699951171875
2018-10-29,135.1699981689453
2019-10-16,132.97999572753906
2019-12-16,131.91000366210938
2020-03-04,129.9600067138672
2020-05-22,126.91999816894531
2019-10-01,127.87999725341797
2019-12-19,123.05999755859375
2018-09-10,123.73999786376953
2019-05-24,125.48999786376953
2018-08-09,126.06999969482422
2019-04-22,126.4000015258789
2019-03-21,125.2300033569336
2019-01-16,124.80999755859375
2019-08-28,129.4600067138672
