Dates,SBUX
2018-09-21,5426800.0
2018-07-19,7384400.0
2018-08-20,6678000.0
2018-10-23,6247500.0
2019-05-03,4967900.0
2019-04-01,5607500.0
2019-02-28,8115800.0
2019-11-12,7799900.0
2020-01-30,7326600.0
2019-11-15,6448600.0
2020-04-21,9778500.0
2019-04-16,6870900.0
2019-03-15,5415500.0
2019-02-11,6941800.0
2019-01-10,7379900.0
2019-08-22,11475000.0
2018-11-07,5808500.0
2018-08-03,5602300.0
2018-09-04,9213200.0
2019-06-19,5627600.0
2019-09-23,16205200.0
2019-11-18,10511600.0
2020-02-05,7178400.0
2020-04-24,7625700.0
2019-03-29,8122200.0
2019-11-21,11685000.0
2020-04-27,7437100.0
2020-02-11,10457200.0
2020-04-30,11278800.0
2019-05-01,8102800.0
2019-02-26,6226400.0
2019-01-25,6088800.0
2018-12-24,7156800.0
2019-09-06,9226500.0
2018-07-17,9313700.0
2018-09-19,10582600.0
2019-08-05,5401400.0
2019-10-08,5215800.0
2019-12-11,12610000.0
2019-11-27,6692500.0
2020-02-14,7312300.0
2020-05-06,7576400.0
2019-01-08,6084200.0
2018-12-07,6735300.0
2019-08-20,7935100.0
2018-11-05,6205800.0
2019-07-19,7818600.0
2018-10-04,5733100.0
2019-06-17,6359500.0
2019-05-16,5355400.0
2018-08-01,5293000.0
2019-03-13,6191400.0
2019-12-03,5628000.0
2020-02-20,6061300.0
2019-12-06,5591900.0
2020-05-12,4635900.0
2019-12-09,6471400.0
2020-02-26,10804800.0
2020-05-15,5636600.0
2019-03-28,7609200.0
2018-09-17,5388100.0
2018-08-16,8106300.0
2018-10-19,20846500.0
2019-04-29,11184500.0
2019-01-23,7248300.0
2019-09-04,9912100.0
2018-11-20,8342300.0
2019-07-02,6381700.0
2019-05-31,8917400.0
2019-12-12,7438000.0
2020-05-18,6414000.0
2019-09-27,7423600.0
2020-03-03,5209200.0
2020-05-21,5513800.0
2019-05-14,8915600.0
2018-08-31,9989500.0
2018-07-30,5559400.0
2018-10-02,4852200.0
2019-04-12,5324900.0
2019-03-11,6809100.0
2019-02-07,4740500.0
2019-07-17,5146200.0
2019-09-19,8076600.0
2019-10-21,5802600.0
2019-12-18,6539800.0
2020-03-06,4948800.0
2019-10-03,4514300.0
2020-03-09,5209500.0
2020-05-27,5150700.0
2019-12-24,12937000.0
2020-03-12,5514400.0
2018-12-20,3991800.0
2019-08-01,6523300.0
2018-08-14,12490900.0
2018-07-13,8406600.0
2018-10-17,6862200.0
2019-05-29,6972300.0
2019-03-26,6339200.0
2019-02-22,6493200.0
2019-10-04,4510700.0
2019-11-05,4843600.0
2019-12-27,10913800.0
2020-06-02,4532400.0
2019-12-30,5662600.0
2020-03-18,4764000.0
2020-06-05,5026400.0
2019-07-15,5987700.0
2018-12-03,6588300.0
2019-06-13,6719400.0
2019-01-04,9858200.0
2018-08-29,5989000.0
2019-02-05,5869000.0
2018-11-01,4382900.0
2019-08-16,6100400.0
2019-04-10,4427200.0
2019-09-17,3986000.0
2019-10-15,5611000.0
2020-01-02,4881000.0
2020-06-08,4695100.0
2019-10-18,3698700.0
2020-03-24,4359400.0
2020-06-11,4631200.0
2020-01-08,4861200.0
2019-04-25,5767500.0
2019-07-30,7136200.0
2019-02-20,4591100.0
2018-07-11,5235300.0
2018-09-13,6653400.0
2018-10-15,5699100.0
2019-06-28,8731300.0
2018-12-18,14008800.0
2018-11-16,10658500.0
2019-10-02,8271200.0
2020-03-27,7054400.0
2020-01-10,6365300.0
2019-10-24,7221400.0
2020-03-30,7054800.0
2020-06-17,5828200.0
2020-01-14,8551400.0
2020-04-02,7407900.0
2019-01-02,5285100.0
2019-08-14,7533000.0
2018-10-30,6432200.0
2019-06-11,6008400.0
2019-05-10,6248700.0
2019-04-08,8300500.0
2018-08-27,6080400.0
2018-07-26,5450400.0
2018-09-28,7651500.0
2019-03-07,7502400.0
2019-10-30,3857000.0
2020-01-17,6425800.0
2020-06-23,6049800.0
2020-04-08,5940300.0
2020-06-26,5170800.0
2019-03-22,8499800.0
2019-01-17,7164700.0
2019-08-29,7944800.0
2018-11-14,4921900.0
2019-06-26,10282100.0
2018-09-11,6714100.0
2018-07-09,6705600.0
2018-08-10,7296900.0
2019-04-23,5859200.0
2019-09-30,6022100.0
2020-01-23,14271500.0
2019-11-08,4349700.0
2020-04-14,1847800.0
2019-11-11,4177700.0
2020-01-29,4129300.0
2020-04-17,4655600.0
2018-07-24,4115600.0
2018-09-26,6473800.0
2019-05-08,4874100.0
2019-03-05,5409800.0
2019-02-01,6514700.0
2018-12-31,7296300.0
2018-11-29,9443500.0
2019-08-12,7097900.0
2019-07-11,7382500.0
2019-09-13,5855200.0
2019-11-14,6145300.0
2020-04-20,5180300.0
2020-02-04,6962800.0
2020-04-23,7094600.0
2018-12-14,6157400.0
2019-08-27,6100600.0
2018-08-08,7815500.0
2018-10-11,11066500.0
2018-11-12,11922400.0
2019-07-26,17678700.0
2019-06-24,12224900.0
2019-05-23,11693900.0
2019-03-20,9092600.0
2019-01-15,9997100.0
2019-11-20,9982700.0
2020-02-07,8901400.0
2020-02-10,8073900.0
2020-04-29,7289300.0
2019-11-26,5098500.0
2020-02-13,7747800.0
2019-01-30,8576600.0
2018-08-23,5686900.0
2018-09-24,5288800.0
2018-11-27,5210800.0
2018-10-26,5969200.0
2019-07-09,5800500.0
2019-06-07,8313600.0
2019-05-06,9404000.0
2019-04-04,10541500.0
2019-09-11,17115600.0
2019-11-29,19120200.0
2020-05-05,14258700.0
2019-12-02,12395900.0
2020-02-19,10999600.0
2020-05-08,12545300.0
2019-05-21,18080100.0
2019-03-18,15930300.0
2018-09-07,18414000.0
2018-08-06,17138000.0
2018-10-09,25170600.0
2019-02-14,19247200.0
2018-12-12,23354300.0
2019-07-24,25045200.0
2019-09-26,28770600.0
2019-10-28,25167400.0
2019-12-05,28420600.0
2020-05-11,24905800.0
2019-07-03,28286200.0
2020-02-25,22977200.0
2020-05-14,20997500.0
2020-02-28,18950500.0
2019-08-08,14199700.0
2019-06-05,20109800.0
2018-07-20,12880400.0
2018-08-21,18175000.0
2018-10-24,14676500.0
2019-04-02,18010800.0
2019-03-01,13799400.0
2019-01-28,10417600.0
2018-12-27,19769600.0
2019-09-09,11191800.0
2020-03-02,10912000.0
2020-05-20,10642500.0
2019-12-17,11946800.0
2020-03-05,14268400.0
2019-02-12,9684700.0
2019-01-11,10345800.0
2018-12-10,11355300.0
2019-08-23,15513400.0
2018-11-08,8460600.0
2019-07-22,8258500.0
2019-06-20,12801400.0
2018-09-05,24575500.0
2019-04-17,15178400.0
2019-09-24,11216700.0
2019-12-20,12921800.0
2020-05-26,12976000.0
2019-04-30,12740900.0
2019-12-23,13360500.0
2020-03-11,11921800.0
2020-05-29,8998800.0
2019-12-26,8549900.0
2020-06-01,11532700.0
2019-05-02,11932300.0
2019-02-27,9489100.0
2018-11-23,8912500.0
2019-08-06,6484900.0
2018-07-18,7790500.0
2018-09-20,10312600.0
2018-10-22,7653300.0
2019-07-05,8422200.0
2019-06-03,8245300.0
2019-10-09,8331400.0
2019-10-11,10109000.0
2020-03-17,7922000.0
2020-06-04,9521000.0
2019-10-14,9956700.0
2020-03-20,7667600.0
2018-11-06,12030800.0
2019-06-18,10229600.0
2019-05-17,7999800.0
2019-04-15,19683800.0
2019-03-14,26422200.0
2019-01-09,18521600.0
2018-08-02,14644700.0
2018-10-05,10890100.0
2019-08-21,6904200.0
2019-10-17,8486000.0
2020-03-23,12538600.0
2020-06-10,8238600.0
2019-02-25,8076600.0
2020-01-07,12306400.0
2020-03-26,8624800.0
2019-10-23,17627800.0
