Dates,AOS
2019-05-03,775600.0
2019-04-01,1569800.0
2019-02-28,1176000.0
2019-11-12,1399300.0
2020-01-30,1391400.0
2019-11-15,1090500.0
2020-04-21,1712100.0
2019-04-16,1798500.0
2019-03-15,1773000.0
2019-02-11,13528800.0
2019-01-10,8016300.0
2019-08-22,3084100.0
2018-11-07,3063100.0
2018-08-03,2069300.0
2018-09-04,2158300.0
2019-06-19,1156300.0
2019-09-23,1864700.0
2019-11-18,5460000.0
2020-02-05,2441600.0
2020-04-24,2394300.0
2019-03-29,1773400.0
2019-11-21,2468800.0
2020-04-27,2052100.0
2020-02-11,1953000.0
2020-04-30,1735100.0
2019-05-01,1818400.0
2019-02-26,2520000.0
2019-01-25,2170500.0
2018-12-24,1963700.0
2019-09-06,1582700.0
2018-07-17,1691600.0
2018-09-19,2038800.0
2019-08-05,1210300.0
2019-10-08,1525600.0
2019-12-11,2274100.0
2019-11-27,1526700.0
2020-02-14,1023400.0
2020-05-06,1311500.0
2019-01-08,1309700.0
2018-12-07,3325500.0
2019-08-20,1596500.0
2018-11-05,1525900.0
2019-07-19,816700.0
2018-10-04,825200.0
2019-06-17,1971500.0
2019-05-16,2025600.0
2018-08-01,1830700.0
2019-03-13,1590400.0
2019-12-03,1379400.0
2020-02-20,1646900.0
2019-12-06,1584500.0
2020-05-12,1851500.0
2019-12-09,1427500.0
2020-02-26,1550600.0
2020-05-15,1246800.0
2019-03-28,1966800.0
2018-09-17,1529100.0
2018-08-16,1488900.0
2018-10-19,2323600.0
2019-04-29,3026800.0
2019-01-23,6616300.0
2019-09-04,5941500.0
2018-11-20,2526800.0
2019-07-02,1433400.0
2019-05-31,4015200.0
2019-12-12,2390300.0
2020-05-18,3431400.0
2019-09-27,2669800.0
2020-03-03,1230500.0
2020-05-21,1790000.0
2019-05-14,1602700.0
2018-08-31,2931100.0
2018-07-30,2826600.0
2018-10-02,1981000.0
2019-04-12,2248300.0
2019-03-11,1022700.0
2019-02-07,829700.0
2019-07-17,877600.0
2019-09-19,1543200.0
2019-10-21,1061500.0
2019-12-18,1279000.0
2020-03-06,691500.0
2019-10-03,802000.0
2020-03-09,648900.0
2020-05-27,780600.0
2019-12-24,637500.0
2020-03-12,1085500.0
2018-12-20,1015000.0
2019-08-01,1223700.0
2018-08-14,2429600.0
2018-07-13,2260400.0
2018-10-17,1648200.0
2019-05-29,2247500.0
2019-03-26,2263500.0
2019-02-22,1476500.0
2019-10-04,946000.0
2019-11-05,971400.0
2019-12-27,1968000.0
2020-06-02,845500.0
2019-12-30,912100.0
2020-03-18,776100.0
2020-06-05,1017700.0
2019-07-15,916900.0
2018-12-03,971400.0
2019-06-13,719300.0
2019-01-04,1664400.0
2018-08-29,1554600.0
2019-02-05,1447900.0
2018-11-01,1288500.0
2019-08-16,1321600.0
2019-04-10,1004900.0
2019-09-17,1041500.0
2019-10-15,1266100.0
2020-01-02,751300.0
2020-06-08,925200.0
2019-10-18,1405000.0
2020-03-24,1002200.0
2020-06-11,1783800.0
2020-01-08,1467100.0
2019-04-25,1351000.0
2019-07-30,1195400.0
2019-02-20,723100.0
2018-07-11,1166800.0
2018-09-13,2195900.0
2018-10-15,3869600.0
2019-06-28,1725400.0
2018-12-18,2141600.0
2018-11-16,1265300.0
2019-10-02,1074500.0
2020-03-27,2140000.0
2020-01-10,1091600.0
2019-10-24,657300.0
2020-03-30,980500.0
2020-06-17,801800.0
2020-01-14,917900.0
2020-04-02,449900.0
2019-01-02,817600.0
2019-08-14,1149800.0
2018-10-30,1308100.0
2019-06-11,1860200.0
2019-05-10,1321500.0
2019-04-08,918100.0
2018-08-27,1090700.0
2018-07-26,1123800.0
2018-09-28,1057200.0
2019-03-07,1036900.0
2019-10-30,470500.0
2020-01-17,1417100.0
2020-06-23,1190500.0
2020-04-08,1846600.0
2020-06-26,4033000.0
2019-03-22,1349500.0
2019-01-17,1966700.0
2019-08-29,2407800.0
2018-11-14,1899000.0
2019-06-26,2008700.0
2018-09-11,1929000.0
2018-07-09,1094300.0
2018-08-10,1349800.0
2019-04-23,1460900.0
2019-09-30,1024300.0
2020-01-23,1827600.0
2019-11-08,1113700.0
2020-04-14,428000.0
2019-11-11,703100.0
2020-01-29,629200.0
2020-04-17,582900.0
2018-07-24,564700.0
2018-09-26,1093200.0
2019-05-08,883200.0
2019-03-05,1088400.0
2019-02-01,868200.0
2018-12-31,1119100.0
2018-11-29,1065800.0
2019-08-12,1707100.0
2019-07-11,1448000.0
2019-09-13,2155800.0
2019-11-14,2630800.0
2020-04-20,1687900.0
2020-02-04,1815800.0
2020-04-23,2663100.0
2018-12-14,2142800.0
2019-08-27,2146600.0
2018-08-08,2235400.0
2018-10-11,3440300.0
2018-11-12,6386900.0
2019-07-26,2517100.0
2019-06-24,2195300.0
2019-05-23,2789200.0
2019-03-20,2547200.0
2019-01-15,1287600.0
2019-11-20,1189500.0
2020-02-07,1285600.0
2020-02-10,1361000.0
2020-04-29,1269000.0
2019-11-26,1475600.0
2020-02-13,1421000.0
2019-01-30,885000.0
2018-08-23,1157000.0
2018-09-24,1733900.0
2018-11-27,1070300.0
2018-10-26,937400.0
2019-07-09,1218400.0
2019-06-07,2262400.0
2019-05-06,3753800.0
2019-04-04,4449700.0
2019-09-11,3527700.0
2019-11-29,4720000.0
2020-05-05,3068200.0
2019-12-02,2739900.0
2020-02-19,4984000.0
2020-05-08,4313200.0
2019-05-21,4555600.0
2019-03-18,3661900.0
2018-09-07,3243000.0
2018-08-06,2325800.0
2018-10-09,6776000.0
2019-02-14,5280600.0
2018-12-12,3434400.0
2019-07-24,2883900.0
2019-09-26,2297900.0
2019-10-28,2806800.0
2019-12-05,2301400.0
2020-05-11,3217500.0
2019-07-03,2655600.0
2020-02-25,2858200.0
2020-05-14,1775900.0
2020-02-28,1809900.0
2019-08-08,1780100.0
2019-06-05,2031000.0
2018-07-20,2217100.0
2018-08-21,2000500.0
2018-10-24,1262600.0
2019-04-02,3000700.0
2019-03-01,3942200.0
2019-01-28,1502100.0
2018-12-27,1849300.0
2019-09-09,1155800.0
2020-03-02,1505400.0
2020-05-20,1501700.0
2019-12-17,1443700.0
2020-03-05,1296700.0
2019-02-12,1086100.0
2019-01-11,1240100.0
2018-12-10,1398800.0
2019-08-23,1546100.0
2018-11-08,1236600.0
2019-07-22,1599800.0
2019-06-20,1325900.0
2018-09-05,1818800.0
2019-04-17,2208700.0
2019-09-24,1197100.0
2019-12-20,2002300.0
2020-05-26,1460500.0
2019-04-30,1370500.0
2019-12-23,1308100.0
2020-03-11,1156900.0
2020-05-29,893800.0
2019-12-26,1545500.0
2020-06-01,1763500.0
2019-05-02,1651400.0
2019-02-27,4775300.0
2018-11-23,1576700.0
2019-08-06,1653600.0
2018-07-18,1269400.0
2018-09-20,835300.0
2018-10-22,1103500.0
2019-07-05,1639200.0
2019-06-03,2183300.0
2019-10-09,2323200.0
2019-10-11,2662000.0
2020-03-17,1067100.0
2020-06-04,1017800.0
2019-10-14,1224800.0
2020-03-20,1705100.0
2018-11-06,2078500.0
2019-06-18,1618600.0
2019-05-17,1709600.0
2019-04-15,1302600.0
2019-03-14,1167200.0
2019-01-09,1163500.0
2018-08-02,940400.0
2018-10-05,1079000.0
2019-08-21,825900.0
2019-10-17,1102500.0
2020-03-23,1458100.0
2020-06-10,667400.0
2019-02-25,967000.0
2020-01-07,1369900.0
2020-03-26,1552200.0
2019-10-23,2639300.0
