Dates,AOS
2018-06-20,61.849998474121094
2018-06-21,61.59000015258789
2018-06-25,60.900001525878906
2018-06-22,59.93000030517578
2018-06-26,59.75
2018-06-27,60.34000015258789
2018-06-28,59.15999984741211
2018-06-29,59.779998779296875
2018-07-02,59.060001373291016
2018-07-03,59.810001373291016
2018-07-05,60.06999969482422
2018-07-16,60.16999816894531
2018-09-18,61.400001525878906
2019-01-24,61.439998626708984
2019-09-05,60.88999938964844
2018-11-21,59.97999954223633
2020-01-13,60.63999938964844
2020-04-01,60.13999938964844
2020-06-19,60.0099983215332
2019-10-29,60.2599983215332
2020-01-16,60.349998474121094
2020-06-22,60.560001373291016
2018-10-03,60.0
2018-07-31,60.36000061035156
2019-03-12,59.59000015258789
2019-02-08,60.27000045776367
2019-01-07,59.97999954223633
2018-12-06,59.959999084472656
2019-08-19,59.9900016784668
2019-07-18,59.52000045776367
2019-05-15,58.95000076293945
2019-09-20,59.119998931884766
2019-11-01,59.130001068115234
2020-04-07,59.7400016784668
2020-06-25,59.09000015258789
2020-06-16,58.959999084472656
2019-11-04,57.93000030517578
2020-01-22,57.56999969482422
2019-11-07,57.970001220703125
2020-04-13,58.08000183105469
2019-07-01,58.630001068115234
2019-05-30,58.439998626708984
2018-08-15,59.0
2018-10-18,59.22999954223633
2019-03-27,59.08000183105469
2019-01-22,58.380001068115234
2018-12-21,58.58000183105469
2019-09-03,59.47999954223633
2018-11-19,59.529998779296875
2019-08-02,59.4900016784668
2020-01-28,59.29999923706055
2020-04-16,58.5
2019-11-13,57.77000045776367
2020-01-31,57.90999984741211
2018-12-04,58.61000061035156
2018-11-02,58.5099983215332
2019-07-16,59.40999984741211
2018-08-30,58.939998626708984
2018-10-01,59.060001373291016
2019-06-14,59.630001068115234
2019-05-13,59.7400016784668
2019-04-11,59.65999984741211
2019-02-06,59.599998474121094
2019-09-18,60.810001373291016
2020-02-03,61.08000183105469
2020-04-22,61.0099983215332
2019-11-19,59.5099983215332
2020-02-06,57.79999923706055
2019-11-22,56.0
2019-03-25,55.220001220703125
2019-02-21,54.15999984741211
2018-12-19,54.709999084472656
2018-07-12,53.36000061035156
2018-09-14,53.459999084472656
2018-08-13,53.060001373291016
2018-10-16,52.540000915527344
2019-07-31,51.790000915527344
2019-05-28,51.86000061035156
2019-04-26,49.779998779296875
2020-04-28,49.22999954223633
2019-11-25,48.90999984741211
2020-02-12,47.97999954223633
2020-05-01,48.75
2020-05-04,48.65999984741211
2019-06-12,47.45000076293945
2019-04-09,46.779998779296875
2019-03-08,45.97999954223633
2019-02-04,45.650001525878906
2018-07-27,45.790000915527344
2018-08-28,45.54999923706055
2019-01-03,44.790000915527344
2019-08-15,44.810001373291016
2018-10-31,45.849998474121094
2019-09-16,47.15999984741211
2020-02-18,48.91999816894531
2020-05-07,48.83000183105469
2018-08-17,48.25
2019-12-04,47.9900016784668
2020-02-21,48.11000061035156
2018-12-17,47.95000076293945
2019-08-30,46.939998626708984
2018-11-15,45.939998626708984
2019-07-29,46.900001525878906
2019-06-27,46.56999969482422
2019-04-24,46.58000183105469
2018-07-10,46.439998626708984
2018-09-12,46.400001525878906
2019-02-19,46.22999954223633
2019-01-18,46.470001220703125
2020-02-24,46.060001373291016
2020-05-13,46.459999084472656
2019-12-10,47.47999954223633
2020-02-27,47.220001220703125
2019-12-13,47.18000030517578
2020-05-19,47.59000015258789
2019-03-06,49.290000915527344
2018-11-30,47.970001220703125
2019-08-13,44.630001068115234
2019-07-12,45.33000183105469
2019-06-10,44.040000915527344
2019-05-09,43.959999084472656
2018-07-25,43.52000045776367
2018-09-27,43.04999923706055
2018-10-29,42.459999084472656
2019-10-16,42.65999984741211
2019-12-16,43.52000045776367
2020-03-04,44.52000045776367
2020-05-22,43.54999923706055
2019-10-01,43.59000015258789
2019-12-19,42.77000045776367
2018-09-10,43.18000030517578
2019-05-24,43.13999938964844
2018-08-09,43.709999084472656
2019-04-22,43.34000015258789
2019-03-21,43.4900016784668
2019-01-16,43.13999938964844
2019-08-28,44.20000076293945
2018-11-13,45.349998474121094
2018-10-12,46.0099983215332
2019-06-25,46.970001220703125
2020-03-10,46.619998931884766
2020-05-28,46.650001525878906
2019-10-07,46.720001220703125
2020-03-13,46.709999084472656
2019-10-10,46.40999984741211
2020-03-16,46.59000015258789
2020-06-03,48.130001068115234
2018-11-28,47.84000015258789
2018-09-25,47.52000045776367
2018-07-23,46.849998474121094
2018-08-24,47.90999984741211
2019-07-10,48.400001525878906
2019-05-07,48.70000076293945
2019-04-05,47.849998474121094
2019-03-04,47.880001068115234
2019-01-31,48.529998779296875
2019-09-12,49.529998779296875
2019-12-31,49.75
2020-03-19,50.20000076293945
2020-01-03,50.11000061035156
2020-06-09,49.2599983215332
2019-02-15,49.7599983215332
2019-01-14,50.95000076293945
2018-07-06,51.65999984741211
2018-08-07,51.4900016784668
2018-10-10,52.0099983215332
2018-12-13,52.22999954223633
2019-08-26,52.54999923706055
2019-07-25,52.869998931884766
2019-05-22,53.22999954223633
2019-03-19,53.959999084472656
2020-01-06,53.31999969482422
2020-03-25,53.08000183105469
2020-06-12,52.63999938964844
2019-10-22,53.099998474121094
2020-01-09,53.06999969482422
2020-06-15,52.63999938964844
2019-10-25,52.380001068115234
2020-03-31,51.83000183105469
2020-06-18,51.0
2019-04-03,51.31999969482422
2018-08-22,51.72999954223633
2018-10-25,51.779998779296875
2019-01-29,51.4900016784668
2018-12-28,51.720001220703125
2018-11-26,52.189998626708984
2019-08-09,52.619998931884766
2019-07-08,52.45000076293945
