Dates,AOS
2018-06-20,59.223567962646484
2018-06-21,57.836875915527344
2018-06-25,58.03909683227539
2018-06-22,56.816104888916016
2018-06-26,57.38426208496094
2018-06-27,57.08574295043945
2018-06-28,56.373138427734375
2018-06-29,56.96055221557617
2018-07-02,56.80647659301758
2018-07-03,56.55610275268555
2018-07-05,57.73093795776367
2018-07-16,57.653907775878906
2018-09-18,58.93467712402344
2019-01-24,59.117645263671875
2019-09-05,56.671653747558594
2018-11-21,57.57686996459961
2020-01-13,58.00057601928711
2020-04-01,57.26871109008789
2020-06-19,57.6250114440918
2019-10-29,57.480567932128906
2020-01-16,57.836875915527344
2020-06-22,57.807979583740234
2018-10-03,56.950923919677734
2018-07-31,57.403526306152344
2019-03-12,56.25757598876953
2019-02-08,57.23981857299805
2019-01-07,56.94129180908203
2018-12-06,56.66117477416992
2019-08-19,57.50153350830078
2019-07-18,56.670833587646484
2019-05-15,56.75776672363281
2019-09-20,56.74810791015625
2019-11-01,56.66117477416992
2020-04-07,57.11515808105469
2020-06-25,56.496971130371094
2020-06-16,56.149234771728516
2019-11-04,55.5020637512207
2020-01-22,54.816261291503906
2019-11-07,55.753211975097656
2020-04-13,56.00434112548828
2019-07-01,56.236167907714844
2019-05-30,56.34242248535156
2018-08-15,56.632198333740234
2018-10-18,57.124820709228516
2019-03-27,56.44866180419922
2019-01-22,56.13957595825195
2018-12-21,56.40037536621094
2019-09-03,57.308349609375
2018-11-19,57.21175765991211
2019-08-02,57.33732223510742
2020-01-28,56.496971130371094
2020-04-16,56.1009407043457
2019-11-13,55.77252197265625
2020-01-31,55.88843536376953
2018-12-04,56.00434112548828
2018-11-02,56.506622314453125
2019-07-16,57.03788375854492
2018-08-30,56.4776496887207
2018-10-01,56.989593505859375
2019-06-14,57.05720520019531
2019-05-13,57.33732223510742
2019-04-11,57.40494155883789
2019-02-06,57.29869079589844
2019-09-18,58.564056396484375
2020-02-03,58.419158935546875
2020-04-22,57.68505859375
2019-11-19,56.13957595825195
2020-02-06,53.90829086303711
2019-11-22,53.13554382324219
2019-03-25,52.25655746459961
2019-02-21,51.551429748535156
2018-12-19,52.02473449707031
2018-07-12,50.537208557128906
2018-09-14,51.261653900146484
2018-08-13,50.52755355834961
2018-10-16,49.77412796020508
2019-07-31,50.005950927734375
2019-05-28,48.16103744506836
2019-04-26,46.83771514892578
2020-04-28,46.23883819580078
2019-11-25,46.132591247558594
2020-02-12,45.93940734863281
2020-05-01,46.982601165771484
2020-05-04,45.99736404418945
2019-06-12,44.86722946166992
2019-04-09,43.640506744384766
2019-03-08,43.93994140625
2019-02-04,43.659820556640625
2018-07-27,42.8194694519043
2018-08-28,43.640506744384766
2019-01-03,42.24957275390625
2019-08-15,40.83931350708008
2018-10-31,44.39310073852539
2019-09-16,44.208614349365234
2020-02-18,46.694313049316406
2020-05-07,46.694313049316406
2018-08-17,46.121437072753906
2019-12-04,46.160282135009766
2020-02-21,46.315635681152344
2018-12-17,45.45146560668945
2019-08-30,44.43193817138672
2018-11-15,44.02412796020508
2019-07-29,44.38338851928711
2019-06-27,43.917320251464844
2019-04-24,44.907718658447266
2018-07-10,44.674678802490234
2018-09-12,44.3154182434082
2019-02-19,44.11151885986328
2019-01-18,44.40280532836914
2020-02-24,44.3154182434082
2020-05-13,45.08249282836914
2019-12-10,44.77178192138672
2020-02-27,45.849571228027344
2019-12-13,45.48059844970703
2020-05-19,46.004920959472656
2019-03-06,46.64576721191406
2018-11-30,43.85906219482422
2019-08-13,43.30560302734375
2019-07-12,42.63562774658203
2019-06-10,41.72291564941406
2019-05-09,41.42190933227539
2018-07-25,41.33452224731445
2018-09-27,41.014095306396484
2018-10-29,40.208187103271484
2019-10-16,41.150028228759766
2019-12-16,41.78116989135742
2020-03-04,41.470455169677734
2020-05-22,41.62581253051758
2019-10-01,40.77135467529297
2019-12-19,40.790767669677734
2018-09-10,41.9171028137207
2019-05-24,41.654945373535156
2018-08-09,41.460750579833984
2019-04-22,41.460750579833984
2019-03-21,42.20840072631836
2019-01-16,41.188873291015625
2019-08-28,42.839534759521484
2018-11-13,43.60660171508789
2018-10-12,44.674678802490234
2019-06-25,45.29611587524414
2020-03-10,45.19900894165039
2020-05-28,44.9951057434082
2019-10-07,45.05336380004883
2020-03-13,44.674678802490234
2019-10-10,44.39310073852539
2020-03-16,45.131038665771484
2020-06-03,46.616634368896484
2018-11-28,45.79131317138672
2018-09-25,45.131038665771484
2018-07-23,45.05336380004883
2018-08-24,46.21854019165039
2019-07-10,46.80112838745117
2019-05-07,46.47099304199219
2019-04-05,46.6270637512207
2019-03-04,46.68559646606445
2019-01-31,46.98798751831055
2019-09-12,48.060997009277344
2019-12-31,48.353633880615234
2020-03-19,48.52922058105469
2020-01-03,48.100013732910156
2020-06-09,48.051246643066406
2019-02-15,48.45117950439453
2019-01-14,49.64124298095703
2018-07-06,50.15823745727539
2018-08-07,49.836334228515625
2018-10-10,50.37283706665039
2018-12-13,50.71425247192383
2019-08-26,51.18247604370117
2019-07-25,51.319034576416016
2019-05-22,51.87505340576172
2019-03-19,52.031124114990234
2020-01-06,51.48486328125
2020-03-25,51.44584655761719
2020-06-12,50.65571975708008
2019-10-22,51.289772033691406
2020-01-09,51.21173858642578
2020-06-15,50.72400665283203
2019-10-25,50.59719467163086
2020-03-31,49.47541427612305
2020-06-18,49.621734619140625
2019-04-03,49.89486312866211
2018-08-22,50.17774200439453
2018-10-25,50.14848327636719
2019-01-29,49.719276428222656
2018-12-28,50.06069564819336
2018-11-26,50.82155227661133
2019-08-09,50.85081481933594
2019-07-08,50.69474411010742
2019-06-06,51.55314636230469
2019-09-10,50.47038650512695
2020-01-15,50.41185760498047
2020-04-03,50.2850456237793
2019-10-31,50.69474411010742
2020-04-06,51.23124694824219
2020-06-24,52.01161575317383
2018-11-09,52.6651725769043
2019-07-23,52.72370147705078
2019-06-21,53.16265869140625
2019-05-20,53.47480773925781
2019-04-18,53.81621551513672
2018-09-06,53.864994049072266
2018-10-08,52.51885223388672
2019-02-13,52.86026382446289
2018-12-11,53.5430908203125
2019-09-25,54.14787673950195
2020-01-21,54.225914001464844
2020-04-09,54.567325592041016
2019-11-06,54.6258544921875
2020-01-24,55.10383224487305
2020-01-27,54.71364212036133
2020-04-15,54.89897918701172
2018-12-26,54.85021209716797
2019-08-07,53.982051849365234
2019-06-04,54.538055419921875
2018-09-21,54.655582427978516
2018-07-19,51.482601165771484
2018-08-20,51.41404724121094
2018-10-23,51.43363571166992
2019-05-03,52.53046417236328
2019-04-01,50.8068733215332
2019-02-28,50.32700729370117
2019-11-12,49.259552001953125
2020-01-30,49.42604064941406
2019-11-15,49.18121337890625
2020-04-21,47.10505676269531
2019-04-16,47.30092239379883
2019-03-15,47.14423370361328
2019-02-11,44.186702728271484
2019-01-10,42.94296646118164
2019-08-22,42.365169525146484
2018-11-07,43.67745590209961
2018-08-03,43.07028579711914
2018-09-04,42.786277770996094
2019-06-19,43.11924362182617
2019-09-23,42.15951919555664
2019-11-18,40.337989807128906
2020-02-05,40.337989807128906
2020-04-24,39.66226577758789
2019-03-29,40.47509765625
2019-11-21,42.26724624633789
2020-04-27,42.472896575927734
2020-02-11,42.345584869384766
2020-04-30,42.92338562011719
2019-05-01,43.46200942993164
2019-02-26,43.667667388916016
2019-01-25,43.9908332824707
2018-12-24,44.362972259521484
2019-09-06,44.58822250366211
2018-07-17,44.470703125
2018-09-19,44.31401062011719
2019-08-05,44.392356872558594
2019-10-08,44.872222900390625
2019-12-11,45.01911926269531
2019-11-27,44.92118453979492
2020-02-14,45.136634826660156
2020-05-06,45.22477722167969
2019-01-08,45.12684631347656
2018-12-07,46.18450927734375
2019-08-20,45.959259033203125
2018-11-05,46.01802062988281
2019-07-19,45.82215881347656
2018-10-04,46.037601470947266
2019-06-17,44.27484130859375
2019-05-16,44.12794494628906
2018-08-01,43.84394073486328
2019-03-13,43.40324783325195
2019-12-03,44.255252838134766
2020-02-20,43.67745590209961
2019-12-06,44.265052795410156
2020-05-12,43.53055953979492
2019-12-09,43.080074310302734
2020-02-26,42.67855453491211
2020-05-15,42.51206970214844
2019-03-28,43.746009826660156
2018-09-17,44.20629119873047
2018-08-16,44.14753341674805
2018-10-19,43.951663970947266
2019-04-29,42.91358947753906
2019-01-23,44.576988220214844
2019-09-04,44.73447036743164
2018-11-20,43.002174377441406
2019-07-02,43.0513916015625
2019-05-31,42.962806701660156
2019-12-12,44.19313049316406
2020-05-18,44.695098876953125
2019-09-27,45.18722152709961
2020-03-03,44.81320571899414
2020-05-21,44.78367614746094
2019-05-14,44.852577209472656
2018-08-31,44.1439094543457
2018-07-30,45.37423324584961
2018-10-02,45.541561126708984
2019-04-12,45.86635971069336
2019-03-11,45.45297622680664
2019-02-07,46.08290100097656
2019-07-17,45.72856521606445
2019-09-19,44.3013916015625
2019-10-21,44.488407135009766
2019-12-18,43.77973937988281
2020-03-06,44.38013458251953
2019-10-03,45.40376281738281
2020-03-09,45.787620544433594
2020-05-27,44.882102966308594
2019-12-24,45.571083068847656
2020-03-12,46.870304107666016
2018-12-20,47.057315826416016
2019-08-01,48.327003479003906
2018-08-14,48.9372444152832
2018-07-13,50.03961181640625
2018-10-17,50.89591598510742
2019-05-29,49.449058532714844
2019-03-26,47.98251724243164
2019-02-22,48.38606262207031
2019-10-04,48.0317268371582
2019-11-05,47.72660827636719
2019-12-27,46.732505798339844
2020-06-02,47.017940521240234
2019-12-30,46.61439514160156
2020-03-18,47.22463607788086
2020-06-05,46.74235153198242
2019-07-15,46.909671783447266
2018-12-03,46.95888900756836
2019-06-13,46.073055267333984
2019-01-04,44.47855758666992
2018-08-29,44.29155349731445
2019-02-05,44.793521881103516
2018-11-01,44.41950607299805
2019-08-16,44.527774810791016
2019-04-10,44.74430847167969
2019-09-17,45.61045455932617
2019-10-15,47.23448181152344
2020-01-02,46.978572845458984
2020-06-08,47.68723678588867
2019-10-18,48.041568756103516
2020-03-24,49.232521057128906
2020-06-11,50.206932067871094
2020-01-08,50.29551696777344
2019-04-25,50.92544174194336
2019-07-30,50.0494499206543
2019-02-20,50.118350982666016
2018-07-11,50.265987396240234
2018-09-13,50.54158020019531
2018-10-15,48.4549560546875
2019-06-28,49.829776763916016
2018-12-18,49.137420654296875
2018-11-16,49.73086929321289
2019-10-02,50.304534912109375
2020-03-27,51.323280334472656
2020-01-10,51.461753845214844
2019-10-24,51.30350112915039
2020-03-30,51.51121139526367
2020-06-17,51.184814453125
2020-01-14,51.481536865234375
2020-04-02,51.21448516845703
2019-01-02,50.95732498168945
2019-08-14,50.225406646728516
2018-10-30,48.71211624145508
2019-06-11,47.742820739746094
2019-05-10,47.56478500366211
2019-04-08,47.92085647583008
2018-08-27,47.673587799072266
2018-07-26,48.22746658325195
2018-09-28,48.158233642578125
2019-03-07,48.20768737792969
2019-10-30,47.87139892578125
2020-01-17,46.813087463378906
2020-06-23,46.18996810913086
2020-04-08,45.86357116699219
2020-06-26,46.38778305053711
2019-03-22,46.27898406982422
2019-01-17,44.88438415527344
2019-08-29,44.8942756652832
2018-11-14,45.02285385131836
2019-06-26,46.27898406982422
2018-09-11,46.011932373046875
2018-07-09,45.6855354309082
2018-08-10,46.29876708984375
2019-04-23,46.615272521972656
2019-09-30,46.83286666870117
2020-01-23,46.902099609375
2019-11-08,46.62516403198242
2020-04-14,46.98122787475586
2019-11-11,47.21860885620117
2020-01-29,47.287845611572266
2020-04-17,47.05046463012695
2018-07-24,47.11970138549805
2018-09-26,47.2482795715332
2019-05-08,46.83286666870117
2019-03-05,47.12959289550781
2019-02-01,46.813087463378906
2018-12-31,46.74384689331055
2018-11-29,46.5361442565918
2019-08-12,47.099918365478516
2019-07-11,48.00987243652344
2019-09-13,46.72406768798828
2019-11-14,46.1009521484375
2020-04-20,47.10981369018555
2020-02-04,46.41745376586914
2020-04-23,46.506473541259766
2018-12-14,45.992149353027344
2019-08-27,46.199859619140625
2018-08-08,44.933837890625
2018-10-11,43.3315315246582
2018-11-12,44.99318313598633
2019-07-26,43.826072692871094
2019-06-24,43.209503173828125
2019-05-23,42.453704833984375
2019-03-20,42.04597473144531
2019-01-15,42.55315399169922
2019-11-20,43.55756378173828
2020-02-07,43.06032943725586
2020-02-10,41.75758361816406
2020-04-29,42.761993408203125
2019-11-26,43.76639938354492
2020-02-13,44.04485321044922
2019-01-30,43.7564582824707
2018-08-23,43.68684387207031
2018-09-24,43.736568450927734
2018-11-27,43.85590362548828
2018-10-26,44.27357864379883
2019-07-09,43.8459587097168
2019-06-07,42.60287857055664
2019-05-06,40.72333908081055
2019-04-04,39.38080978393555
2019-09-11,39.89793395996094
2019-11-29,39.33108901977539
2020-05-05,40.77306365966797
2019-12-02,38.48579406738281
2020-02-19,40.34544372558594
2020-05-08,41.39957809448242
2019-05-21,42.453704833984375
2019-03-18,40.72333908081055
2018-09-07,41.95647430419922
2018-08-06,39.74876403808594
2018-10-09,38.515625
2019-02-14,41.260353088378906
2018-12-12,37.77972412109375
2019-07-24,38.913414001464844
2019-09-26,38.217288970947266
2019-10-28,36.64603042602539
2019-12-05,34.557655334472656
2020-05-11,35.402950286865234
2019-07-03,36.288028717041016
2020-02-25,36.68581008911133
2020-05-14,37.07365036010742
2020-02-28,36.64603042602539
2019-08-08,38.38634490966797
2019-06-05,37.6007194519043
2018-07-20,35.41289520263672
2018-08-21,35.74106979370117
2018-10-24,35.67145538330078
2019-04-02,38.00844955444336
2019-03-01,39.44047927856445
2019-01-28,39.997379302978516
2018-12-27,39.98743438720703
2019-09-09,39.41064453125
2020-03-02,40.44488525390625
2020-05-20,39.858158111572266
2019-12-17,39.67915344238281
2020-03-05,40.852622985839844
2019-02-12,40.12665939331055
2019-01-11,38.50568389892578
2018-12-10,38.55540466308594
2019-08-23,39.420589447021484
2018-11-08,40.166439056396484
2019-07-22,42.294593811035156
2019-06-20,43.119998931884766
2018-09-05,44.060001373291016
2019-04-17,42.380001068115234
2019-09-24,41.650001525878906
2019-12-20,41.97999954223633
2020-05-26,42.15999984741211
2019-04-30,43.650001525878906
2019-12-23,43.310001373291016
2020-03-11,44.790000915527344
2020-05-29,43.939998626708984
2019-12-26,42.08000183105469
2020-06-01,39.97999954223633
2019-05-02,40.279998779296875
2019-02-27,40.40999984741211
2018-11-23,43.5
2019-08-06,41.97999954223633
2018-07-18,42.459999084472656
2018-09-20,42.68000030517578
2018-10-22,42.220001220703125
2019-07-05,44.83000183105469
2019-06-03,47.209999084472656
2019-10-09,46.59000015258789
2019-10-11,47.5
2020-03-17,47.31999969482422
2020-06-04,47.880001068115234
2019-10-14,49.849998474121094
2020-03-20,50.56999969482422
2018-11-06,52.0
2019-06-18,50.880001068115234
2019-05-17,49.27000045776367
2019-04-15,48.38999938964844
2019-03-14,46.81999969482422
2019-01-09,46.95000076293945
2018-08-02,47.650001525878906
2018-10-05,47.880001068115234
2019-08-21,47.689998626708984
2019-10-17,47.93000030517578
2020-03-23,47.290000915527344
2020-06-10,47.189998626708984
2019-02-25,47.470001220703125
2020-01-07,45.11000061035156
2020-03-26,44.7400016784668
2019-10-23,44.45000076293945
