Dates,PLD
2018-06-20,60.653968811035156
2018-06-21,60.50259017944336
2018-06-25,60.84318542480469
2018-06-22,60.68234634399414
2018-06-26,60.56881332397461
2018-06-27,60.93779754638672
2018-06-28,61.63790512084961
2018-06-29,62.14879608154297
2018-07-02,61.0418586730957
2018-07-03,61.543296813964844
2018-07-05,62.42315673828125
2018-07-16,62.63129806518555
2018-09-18,62.252864837646484
2019-01-24,62.28125
2019-09-05,61.87442398071289
2018-11-21,62.1298713684082
2020-01-13,61.9974250793457
2020-04-01,61.533836364746094
2020-06-19,60.00116729736328
2019-10-29,59.57542037963867
2020-01-16,60.07685089111328
2020-06-22,59.07399368286133
2018-10-03,59.196983337402344
2018-07-31,58.99830627441406
2019-03-12,60.32283401489258
2019-02-08,61.62844467163086
2019-01-07,61.49599075317383
2018-12-06,61.49599075317383
2019-08-19,62.08257293701172
2019-07-18,62.54615020751953
2019-05-15,62.300174713134766
2019-09-20,63.208412170410156
2019-11-01,62.896217346191406
2020-04-07,62.12042236328125
2020-06-25,62.15825271606445
2020-06-16,61.84604263305664
2019-11-04,61.089168548583984
2020-01-22,60.95671844482422
2019-11-07,60.597206115722656
2020-04-13,61.032405853271484
2019-07-01,62.1109504699707
2019-05-30,63.795005798339844
2018-08-15,64.09774780273438
2018-10-18,62.20555114746094
2019-03-27,61.64737319946289
2019-01-22,61.05132293701172
2018-12-21,62.527225494384766
2019-09-03,62.404232025146484
2018-11-19,63.7098388671875
2019-08-02,63.58685302734375
2020-01-28,63.27465057373047
2020-04-16,63.55847930908203
2019-11-13,62.65968704223633
2020-01-31,63.615230560302734
2018-12-04,63.55847930908203
2018-11-02,62.44208526611328
2019-07-16,62.95296859741211
2018-08-30,62.811058044433594
2018-10-01,62.84890365600586
2019-06-14,63.94635772705078
2019-05-13,64.06071472167969
2019-04-11,64.33702850341797
2019-02-06,63.58428955078125
2019-09-18,62.8410530090332
2020-02-03,64.1845932006836
2020-04-22,64.30845642089844
2019-11-19,63.193607330322266
2020-02-06,63.25077438354492
2019-11-22,62.87916946411133
2019-03-25,63.3270149230957
2019-02-21,64.59431457519531
2018-12-19,64.07023620605469
2018-07-12,63.28889083862305
2018-09-14,62.91728210449219
2018-08-13,62.44085693359375
2018-10-16,62.16452407836914
2019-07-31,63.07926559448242
2019-05-28,63.89871597290039
2019-04-26,62.46942901611328
2020-04-28,59.87765884399414
2019-11-25,59.59180450439453
2020-02-12,60.09682083129883
2020-05-01,60.84958267211914
2020-05-04,59.89672088623047
2019-06-12,60.09682083129883
2019-04-09,60.592308044433594
2019-03-08,60.27785873413086
2019-02-04,61.02109146118164
2018-07-27,62.19309997558594
2018-08-28,62.78388214111328
2019-01-03,61.39270782470703
2019-08-15,62.22169876098633
2018-10-31,62.526615142822266
2019-09-16,61.430816650390625
2020-02-18,61.707157135009766
2020-05-07,61.31647491455078
2018-08-17,62.00254440307617
2019-12-04,62.80293655395508
2020-02-21,63.91777801513672
2018-12-17,63.955902099609375
2019-08-30,64.38468170166016
2018-11-15,64.56573486328125
2019-07-29,64.3656234741211
2019-06-27,64.37516021728516
2019-04-24,63.57475662231445
2018-07-10,64.1369400024414
2018-09-12,64.508544921875
2019-02-19,63.555686950683594
2019-01-18,63.76533126831055
2020-02-24,63.80344009399414
2020-05-13,63.23171615600586
2019-12-10,63.51758575439453
2020-02-27,64.175048828125
2019-12-13,64.01307678222656
2020-05-19,64.16551971435547
2019-03-06,65.41377258300781
2018-11-30,63.70814895629883
2019-08-13,65.25179290771484
2019-07-12,63.68909454345703
2019-06-10,62.83152770996094
2019-05-09,63.3365364074707
2018-07-25,61.592811584472656
2018-09-27,62.0501823425293
2018-10-29,61.754791259765625
2019-10-16,59.057281494140625
2019-12-16,60.12285232543945
2020-03-04,58.7980842590332
2020-05-22,57.95331573486328
2019-10-01,56.51336669921875
2019-12-19,53.700653076171875
2018-09-10,55.64939498901367
2019-05-24,55.67818832397461
2018-08-09,56.1485710144043
2019-04-22,56.36936569213867
2019-03-21,54.74702072143555
2019-01-16,54.3054313659668
2019-08-28,55.67818832397461
