Dates,PLD
2018-06-20,2329900.0
2018-06-21,2698800.0
2018-06-25,7940400.0
2018-06-22,3159500.0
2018-06-26,3397400.0
2018-06-27,3420900.0
2018-06-28,3045800.0
2018-06-29,4552600.0
2018-07-02,3457100.0
2018-07-03,1744400.0
2018-07-05,2207000.0
2018-07-16,2129600.0
2018-09-18,2263100.0
2019-01-24,2775100.0
2019-09-05,2372600.0
2018-11-21,2168100.0
2020-01-13,1942100.0
2020-04-01,3073500.0
2020-06-19,6336600.0
2019-10-29,4784200.0
2020-01-16,3099100.0
2020-06-22,3159600.0
2018-10-03,2402800.0
2018-07-31,3221800.0
2019-03-12,3879800.0
2019-02-08,4999200.0
2019-01-07,4940300.0
2018-12-06,3523200.0
2019-08-19,3501200.0
2019-07-18,2862000.0
2019-05-15,2718700.0
2019-09-20,2101800.0
2019-11-01,3236700.0
2020-04-07,3565500.0
2020-06-25,1721100.0
2020-06-16,1652500.0
2019-11-04,2430300.0
2020-01-22,2565600.0
2019-11-07,2439200.0
2020-04-13,2898400.0
2019-07-01,3046800.0
2019-05-30,6319500.0
2018-08-15,5981600.0
2018-10-18,27503600.0
2019-03-27,5330800.0
2019-01-22,5477600.0
2018-12-21,4020600.0
2019-09-03,2938100.0
2018-11-19,3429900.0
2019-08-02,2320800.0
2020-01-28,2106700.0
2020-04-16,3306800.0
2019-11-13,1926700.0
2020-01-31,4423600.0
2018-12-04,2521200.0
2018-11-02,2534700.0
2019-07-16,2592400.0
2018-08-30,2324600.0
2018-10-01,2452000.0
2019-06-14,2313600.0
2019-05-13,3185800.0
2019-04-11,2714400.0
2019-02-06,3184800.0
2019-09-18,1883900.0
2020-02-03,2368000.0
2020-04-22,4507800.0
2019-11-19,3019200.0
2020-02-06,2821100.0
2019-11-22,2317700.0
2019-03-25,2526100.0
2019-02-21,3617200.0
2018-12-19,2261100.0
2018-07-12,2625900.0
2018-09-14,2607600.0
2018-08-13,2384600.0
2018-10-16,1929400.0
2019-07-31,2513800.0
2019-05-28,3117200.0
2019-04-26,3068500.0
2020-04-28,4632500.0
2019-11-25,3532100.0
2020-02-12,3366700.0
2020-05-01,2847200.0
2020-05-04,3681400.0
2019-06-12,2743300.0
2019-04-09,2393800.0
2019-03-08,2525100.0
2019-02-04,4310800.0
2018-07-27,4449400.0
2018-08-28,3851200.0
2019-01-03,3131100.0
2019-08-15,2370700.0
2018-10-31,2414400.0
2019-09-16,3803500.0
2020-02-18,2981000.0
2020-05-07,2396200.0
2018-08-17,2243100.0
2019-12-04,2056900.0
2020-02-21,1753500.0
2018-12-17,1542500.0
2019-08-30,2671400.0
2018-11-15,2462100.0
2019-07-29,2472500.0
2019-06-27,1554600.0
2019-04-24,2231300.0
2018-07-10,2358000.0
2018-09-12,2916000.0
2019-02-19,2359600.0
2019-01-18,1882200.0
2020-02-24,660300.0
2020-05-13,1884900.0
2019-12-10,2098300.0
2020-02-27,1723800.0
2019-12-13,1589200.0
2020-05-19,3558700.0
2019-03-06,3210100.0
2018-11-30,2787700.0
2019-08-13,4211200.0
2019-07-12,2702100.0
2019-06-10,2850600.0
2019-05-09,3210700.0
2018-07-25,2522300.0
2018-09-27,2786100.0
2018-10-29,2179800.0
2019-10-16,3696400.0
2019-12-16,2957300.0
2020-03-04,2921900.0
2020-05-22,3198300.0
2019-10-01,7768300.0
2019-12-19,2049500.0
2018-09-10,2593300.0
2019-05-24,3251700.0
2018-08-09,3606700.0
2019-04-22,2311400.0
2019-03-21,2476100.0
2019-01-16,3606700.0
2019-08-28,4063500.0
2018-11-13,2952800.0
2018-10-12,3482700.0
2019-06-25,2609000.0
2020-03-10,2524000.0
2020-05-28,2154500.0
2019-10-07,2867400.0
2020-03-13,2148900.0
2019-10-10,2070900.0
2020-03-16,2432400.0
2020-06-03,2389900.0
2018-11-28,3443400.0
2018-09-25,2507600.0
2018-07-23,1846200.0
2018-08-24,2598000.0
2019-07-10,2246400.0
2019-05-07,2977600.0
2019-04-05,3085000.0
2019-03-04,4867600.0
2019-01-31,3646100.0
2019-09-12,3715700.0
2019-12-31,2558800.0
2020-03-19,2297600.0
2020-01-03,3189100.0
2020-06-09,2506300.0
2019-02-15,2340400.0
2019-01-14,3207400.0
2018-07-06,2343700.0
2018-08-07,2432800.0
2018-10-10,2210100.0
2018-12-13,1687500.0
2019-08-26,2680200.0
2019-07-25,2049700.0
2019-05-22,1582500.0
2019-03-19,1976300.0
2020-01-06,1457200.0
2020-03-25,2303100.0
2020-06-12,4170500.0
2019-10-22,3763700.0
2020-01-09,2489200.0
2020-06-15,1981200.0
2019-10-25,2303900.0
2020-03-31,2895400.0
2020-06-18,2924900.0
2019-04-03,2102100.0
2018-08-22,2646700.0
2018-10-25,2712900.0
2019-01-29,2226500.0
2018-12-28,3686400.0
2018-11-26,1739100.0
2019-08-09,1864000.0
2019-07-08,2510700.0
2019-06-06,2138500.0
2019-09-10,2176400.0
2020-01-15,1549600.0
2020-04-03,1936000.0
2019-10-31,2038300.0
2020-04-06,1900200.0
2020-06-24,2679700.0
2018-11-09,2226500.0
2019-07-23,2366100.0
2019-06-21,2467300.0
2019-05-20,1157400.0
2019-04-18,1182600.0
2018-09-06,1661100.0
2018-10-08,1654800.0
2019-02-13,2116400.0
2018-12-11,2075300.0
2019-09-25,2291200.0
2020-01-21,2403600.0
2020-04-09,3371200.0
2019-11-06,2842900.0
2020-01-24,2287300.0
2020-01-27,2587300.0
2020-04-15,2448800.0
2018-12-26,2197900.0
2019-08-07,1981300.0
2019-06-04,2286300.0
2018-09-21,2180100.0
2018-07-19,2396700.0
2018-08-20,3585900.0
2018-10-23,2561300.0
2019-05-03,1767000.0
2019-04-01,1292200.0
2019-02-28,3169200.0
2019-11-12,1801400.0
2020-01-30,1775300.0
2019-11-15,1960000.0
2020-04-21,1981600.0
2019-04-16,1692900.0
2019-03-15,1342200.0
2019-02-11,1705100.0
