Dates,ETFC
2018-06-20,65.79000091552734
2018-06-21,65.62000274658203
2018-06-25,65.6500015258789
2018-06-22,64.36000061035156
2018-06-26,63.290000915527344
2018-06-27,62.72999954223633
2018-06-28,61.970001220703125
2018-06-29,62.33000183105469
2018-07-02,61.65999984741211
2018-07-03,62.099998474121094
2018-07-05,61.27000045776367
2018-07-16,61.220001220703125
2018-09-18,61.939998626708984
2019-01-24,61.97999954223633
2019-09-05,61.459999084472656
2018-11-21,61.369998931884766
2020-01-13,60.5
2020-04-01,60.9900016784668
2020-06-19,61.369998931884766
2019-10-29,63.38999938964844
2020-01-16,63.08000183105469
2020-06-22,60.79999923706055
2018-10-03,60.09000015258789
2018-07-31,61.38999938964844
2019-03-12,61.7599983215332
2019-02-08,61.959999084472656
2019-01-07,62.119998931884766
2018-12-06,61.33000183105469
2019-08-19,60.290000915527344
2019-07-18,61.7400016784668
2019-05-15,60.77000045776367
2019-09-20,60.439998626708984
2019-11-01,60.540000915527344
2020-04-07,61.810001373291016
2020-06-25,61.63999938964844
2020-06-16,61.869998931884766
2019-11-04,60.97999954223633
2020-01-22,61.06999969482422
2019-11-07,60.86000061035156
2020-04-13,60.88999938964844
2019-07-01,61.70000076293945
2019-05-30,61.5099983215332
2018-08-15,61.54999923706055
2018-10-18,59.7599983215332
2019-03-27,59.66999816894531
2019-01-22,59.20000076293945
2018-12-21,59.04999923706055
2019-09-03,59.90999984741211
2018-11-19,60.06999969482422
2019-08-02,59.91999816894531
2020-01-28,59.400001525878906
2020-04-16,58.93000030517578
2019-11-13,59.380001068115234
2020-01-31,59.61000061035156
2018-12-04,58.41999816894531
2018-11-02,55.90999984741211
2019-07-16,55.52000045776367
2018-08-30,54.9900016784668
2018-10-01,54.68000030517578
2019-06-14,54.06999969482422
2019-05-13,54.380001068115234
2019-04-11,54.02000045776367
2019-02-06,54.279998779296875
2019-09-18,55.97999954223633
2020-02-03,56.38999938964844
2020-04-22,56.439998626708984
2019-11-19,54.93000030517578
2020-02-06,54.709999084472656
2019-11-22,54.459999084472656
2019-03-25,53.310001373291016
2019-02-21,53.02000045776367
2018-12-19,52.86000061035156
2018-07-12,51.97999954223633
2018-09-14,53.04999923706055
2018-08-13,53.540000915527344
2018-10-16,53.31999969482422
2019-07-31,53.04999923706055
2019-05-28,53.439998626708984
2019-04-26,53.15999984741211
2020-04-28,51.40999984741211
2019-11-25,50.65999984741211
2020-02-12,50.119998931884766
2020-05-01,50.41999816894531
2020-05-04,50.79999923706055
2019-06-12,50.779998779296875
2019-04-09,49.849998474121094
2019-03-08,49.63999938964844
2019-02-04,49.0099983215332
2018-07-27,48.77000045776367
2018-08-28,47.959999084472656
2019-01-03,48.13999938964844
2019-08-15,48.58000183105469
2018-10-31,48.33000183105469
2019-09-16,50.2599983215332
2020-02-18,50.7400016784668
2020-05-07,51.97999954223633
2018-08-17,51.650001525878906
2019-12-04,52.59000015258789
2020-02-21,53.779998779296875
2018-12-17,54.439998626708984
2019-08-30,53.83000183105469
2018-11-15,53.060001373291016
2019-07-29,53.310001373291016
2019-06-27,53.459999084472656
2019-04-24,52.630001068115234
2018-07-10,52.5
2018-09-12,52.310001373291016
2019-02-19,51.29999923706055
2019-01-18,51.34000015258789
2020-02-24,51.380001068115234
2020-05-13,52.40999984741211
2019-12-10,52.189998626708984
2020-02-27,52.83000183105469
2019-12-13,52.90999984741211
2020-05-19,52.5099983215332
2019-03-06,54.08000183105469
2018-11-30,52.84000015258789
2019-08-13,47.540000915527344
2019-07-12,47.88999938964844
2019-06-10,45.72999954223633
2019-05-09,46.130001068115234
2018-07-25,46.66999816894531
2018-09-27,45.65999984741211
2018-10-29,45.22999954223633
2019-10-16,44.400001525878906
2019-12-16,44.349998474121094
2020-03-04,44.72999954223633
2020-05-22,43.209999084472656
2019-10-01,43.119998931884766
2019-12-19,42.11000061035156
2018-09-10,43.2400016784668
2019-05-24,43.4900016784668
2018-08-09,44.16999816894531
2019-04-22,44.29999923706055
2019-03-21,44.75
2019-01-16,44.41999816894531
2019-08-28,45.380001068115234
2018-11-13,46.209999084472656
2018-10-12,46.5
2019-06-25,47.59000015258789
2020-03-10,47.77000045776367
2020-05-28,47.900001525878906
2019-10-07,48.25
2020-03-13,47.880001068115234
2019-10-10,49.59000015258789
2020-03-16,50.029998779296875
2020-06-03,50.75
2018-11-28,50.459999084472656
2018-09-25,50.56999969482422
2018-07-23,49.81999969482422
2018-08-24,48.5
2019-07-10,47.75
2019-05-07,47.790000915527344
2019-04-05,47.529998779296875
2019-03-04,46.709999084472656
2019-01-31,47.939998626708984
2019-09-12,47.72999954223633
2019-12-31,47.77000045776367
2020-03-19,47.349998474121094
2020-01-03,46.79999923706055
2020-06-09,46.58000183105469
2019-02-15,46.5
2019-01-14,47.90999984741211
2018-07-06,48.060001373291016
2018-08-07,46.900001525878906
2018-10-10,47.47999954223633
2018-12-13,48.7400016784668
2019-08-26,48.5
2019-07-25,48.630001068115234
2019-05-22,48.900001525878906
2019-03-19,49.970001220703125
2020-01-06,49.5
2020-03-25,49.290000915527344
2020-06-12,49.400001525878906
2019-10-22,50.59000015258789
2020-01-09,51.25
2020-06-15,49.22999954223633
2019-10-25,49.439998626708984
2020-03-31,48.33000183105469
