Dates,ETFC
2018-06-20,1838700.0
2018-06-21,1969200.0
2018-06-25,5136400.0
2018-06-22,2762800.0
2018-06-26,1569000.0
2018-06-27,3180700.0
2018-06-28,2069600.0
2018-06-29,1875900.0
2018-07-02,1829400.0
2018-07-03,1140000.0
2018-07-05,2374000.0
2018-07-16,2274600.0
2018-09-18,2387000.0
2019-01-24,1872000.0
2019-09-05,1550800.0
2018-11-21,2256800.0
2020-01-13,2651400.0
2020-04-01,1900900.0
2020-06-19,2181300.0
2019-10-29,4008800.0
2020-01-16,3789500.0
2020-06-22,5798500.0
2018-10-03,3139900.0
2018-07-31,2755100.0
2019-03-12,4291700.0
2019-02-08,2643100.0
2019-01-07,1835400.0
2018-12-06,2106300.0
2019-08-19,1813300.0
2019-07-18,3207400.0
2019-05-15,1753800.0
2019-09-20,1910600.0
2019-11-01,1321600.0
2020-04-07,1203000.0
2020-06-25,1209300.0
2020-06-16,2082100.0
2019-11-04,1236500.0
2020-01-22,1313300.0
2019-11-07,1317600.0
2020-04-13,1781500.0
2019-07-01,1497500.0
2019-05-30,1119700.0
2018-08-15,1341000.0
2018-10-18,6567800.0
2019-03-27,2617000.0
2019-01-22,2415200.0
2018-12-21,1928400.0
2019-09-03,1705000.0
2018-11-19,1189200.0
2019-08-02,1778400.0
2020-01-28,1906600.0
2020-04-16,2115400.0
2019-11-13,1925700.0
2020-01-31,2736100.0
2018-12-04,6070600.0
2018-11-02,4436300.0
2019-07-16,3129400.0
2018-08-30,2359400.0
2018-10-01,3675200.0
2019-06-14,2550100.0
2019-05-13,2224100.0
2019-04-11,2311800.0
2019-02-06,2490400.0
2019-09-18,5253500.0
2020-02-03,5550900.0
2020-04-22,6027200.0
2019-11-19,2502500.0
2020-02-06,2045000.0
2019-11-22,3405800.0
2019-03-25,1895200.0
2019-02-21,2783000.0
2018-12-19,3091100.0
2018-07-12,3672800.0
2018-09-14,3431100.0
2018-08-13,3612900.0
2018-10-16,3555000.0
2019-07-31,2607300.0
2019-05-28,2562900.0
2019-04-26,3518000.0
2020-04-28,4878900.0
2019-11-25,3698800.0
2020-02-12,2748400.0
2020-05-01,3394500.0
2020-05-04,3385100.0
2019-06-12,3663400.0
2019-04-09,7192000.0
2019-03-08,4600000.0
2019-02-04,4734500.0
2018-07-27,5280500.0
2018-08-28,5107400.0
2019-01-03,3949500.0
2019-08-15,3591000.0
2018-10-31,4209600.0
2019-09-16,4679700.0
2020-02-18,2619000.0
2020-05-07,3940100.0
2018-08-17,1902300.0
2019-12-04,3244700.0
2020-02-21,2560900.0
2018-12-17,3965800.0
2019-08-30,2664300.0
2018-11-15,2042800.0
2019-07-29,2888300.0
2019-06-27,2962700.0
2019-04-24,2900300.0
2018-07-10,2742600.0
2018-09-12,2643300.0
2019-02-19,3199000.0
2019-01-18,1552700.0
2020-02-24,1047000.0
2020-05-13,2613400.0
2019-12-10,2078500.0
2020-02-27,1952700.0
2019-12-13,2620400.0
2020-05-19,3546900.0
2019-03-06,2682900.0
2018-11-30,4358700.0
2019-08-13,6748200.0
2019-07-12,4285700.0
2019-06-10,3449500.0
2019-05-09,3745300.0
2018-07-25,3897600.0
2018-09-27,3455300.0
2018-10-29,4405300.0
2019-10-16,2840000.0
2019-12-16,3293300.0
2020-03-04,4473300.0
2020-05-22,3601500.0
2019-10-01,5065400.0
2019-12-19,1610800.0
2018-09-10,2960100.0
2019-05-24,2994100.0
2018-08-09,2652600.0
2019-04-22,1776700.0
2019-03-21,2599300.0
2019-01-16,2943800.0
2019-08-28,2081500.0
2018-11-13,2200700.0
2018-10-12,2657700.0
2019-06-25,2755300.0
2020-03-10,1866000.0
2020-05-28,1360800.0
2019-10-07,2129600.0
2020-03-13,1639500.0
2019-10-10,2133600.0
2020-03-16,1870000.0
2020-06-03,2711500.0
2018-11-28,2612900.0
2018-09-25,2802400.0
2018-07-23,3570000.0
2018-08-24,8102100.0
2019-07-10,4186100.0
2019-05-07,2525300.0
2019-04-05,4198900.0
2019-03-04,5114200.0
2019-01-31,3254900.0
2019-09-12,2993900.0
2019-12-31,3961900.0
2020-03-19,2250300.0
2020-01-03,2106700.0
2020-06-09,3569400.0
2019-02-15,3179200.0
2019-01-14,3012100.0
2018-07-06,1993000.0
2018-08-07,2434300.0
2018-10-10,2632800.0
2018-12-13,3484700.0
2019-08-26,3896200.0
2019-07-25,2895600.0
2019-05-22,2830300.0
2019-03-19,2439300.0
2020-01-06,2408500.0
2020-03-25,1717200.0
2020-06-12,2340600.0
2019-10-22,3945800.0
2020-01-09,3644300.0
2020-06-15,2497500.0
2019-10-25,1875000.0
2020-03-31,3293400.0
2020-06-18,2717600.0
2019-04-03,1571300.0
2018-08-22,2264300.0
2018-10-25,2232200.0
2019-01-29,2097600.0
2018-12-28,3353500.0
2018-11-26,1223200.0
2019-08-09,2019100.0
2019-07-08,2636800.0
2019-06-06,2921000.0
2019-09-10,4064000.0
2020-01-15,2460000.0
2020-04-03,1989500.0
2019-10-31,1811700.0
2020-04-06,2414700.0
2020-06-24,2227300.0
2018-11-09,2104100.0
2019-07-23,1832100.0
2019-06-21,1692600.0
2019-05-20,1128800.0
2019-04-18,1903800.0
2018-09-06,1156700.0
2018-10-08,1895500.0
2019-02-13,1705400.0
2018-12-11,1677000.0
2019-09-25,2009800.0
2020-01-21,1809000.0
2020-04-09,2499000.0
2019-11-06,3442600.0
2020-01-24,5335100.0
2020-01-27,2030500.0
2020-04-15,2013000.0
2018-12-26,2979700.0
2019-08-07,1863300.0
2019-06-04,2666400.0
2018-09-21,1699500.0
2018-07-19,2058300.0
2018-08-20,2277900.0
2018-10-23,1425400.0
2019-05-03,1082200.0
2019-04-01,1779800.0
2019-02-28,2062300.0
2019-11-12,2536400.0
2020-01-30,2799300.0
2019-11-15,2043200.0
2020-04-21,3335000.0
2019-04-16,3191700.0
2019-03-15,2611800.0
2019-02-11,2093100.0
2019-01-10,1591800.0
2019-08-22,1759500.0
2018-11-07,2545900.0
2018-08-03,1871900.0
2018-09-04,3150600.0
2019-06-19,1356600.0
2019-09-23,2632400.0
2019-11-18,4501100.0
2020-02-05,1809300.0
2020-04-24,2010400.0
2019-03-29,2901000.0
2019-11-21,2584700.0
2020-04-27,2062200.0
2020-02-11,2116300.0
2020-04-30,2441200.0
2019-05-01,1728600.0
2019-02-26,1570000.0
2019-01-25,1712500.0
2018-12-24,1415600.0
2019-09-06,1926000.0
2018-07-17,1885800.0
2018-09-19,2777900.0
2019-08-05,2717600.0
2019-10-08,2077700.0
2019-12-11,3250900.0
2019-11-27,1903400.0
2020-02-14,2165700.0
2020-05-06,2661900.0
2019-01-08,2498100.0
2018-12-07,4823100.0
2019-08-20,2918000.0
2018-11-05,1501900.0
2019-07-19,823500.0
2018-10-04,1267700.0
2019-06-17,2240000.0
2019-05-16,3099300.0
2018-08-01,2984000.0
2019-03-13,2436500.0
2019-12-03,2402600.0
2020-02-20,2744600.0
2019-12-06,3298900.0
2020-05-12,2452300.0
2019-12-09,4541500.0
2020-02-26,5804300.0
2020-05-15,3133300.0
2019-03-28,3604100.0
2018-09-17,3467600.0
2018-08-16,1760700.0
2018-10-19,1730500.0
2019-04-29,1123900.0
2019-01-23,1917300.0
2019-09-04,1874200.0
2018-11-20,2470100.0
2019-07-02,2680900.0
2019-05-31,3993400.0
2019-12-12,2828700.0
2020-05-18,4430800.0
2019-09-27,3276800.0
2020-03-03,2500100.0
2020-05-21,1740600.0
2019-05-14,1921700.0
2018-08-31,2364200.0
2018-07-30,2461100.0
2018-10-02,2929600.0
2019-04-12,3392100.0
2019-03-11,2726300.0
2019-02-07,2040800.0
2019-07-17,2513600.0
2019-09-19,4179300.0
2019-10-21,3000800.0
2019-12-18,3204400.0
2020-03-06,2296800.0
2019-10-03,2692100.0
2020-03-09,2461400.0
2020-05-27,2250400.0
2019-12-24,2185800.0
2020-03-12,2840100.0
2018-12-20,2687500.0
2019-08-01,3796500.0
2018-08-14,2667800.0
2018-07-13,3298200.0
2018-10-17,2721000.0
2019-05-29,2269600.0
2019-03-26,2743400.0
2019-02-22,2134700.0
2019-10-04,2451300.0
2019-11-05,1990600.0
2019-12-27,3499500.0
2020-06-02,2489500.0
2019-12-30,2755400.0
2020-03-18,1451700.0
2020-06-05,6401900.0
2019-07-15,2817600.0
2018-12-03,2085200.0
2019-06-13,23851700.0
2019-01-04,9466200.0
2018-08-29,9432000.0
2019-02-05,6990100.0
2018-11-01,6169600.0
2019-08-16,4182200.0
2019-04-10,4006000.0
2019-09-17,5594200.0
2019-10-15,5243000.0
2020-01-02,3197100.0
2020-06-08,4554100.0
2019-10-18,4116100.0
2020-03-24,4059900.0
2020-06-11,11032700.0
2020-01-08,3738700.0
2019-04-25,4078200.0
2019-07-30,2471000.0
2019-02-20,2190500.0
2018-07-11,4425400.0
2018-09-13,2721900.0
2018-10-15,1723000.0
2019-06-28,3156500.0
2018-12-18,2527800.0
2018-11-16,2377000.0
2019-10-02,2874900.0
2020-03-27,2337200.0
2020-01-10,1981700.0
2019-10-24,2049400.0
2020-03-30,1668800.0
2020-06-17,1188700.0
2020-01-14,2044500.0
2020-04-02,2635800.0
2019-01-02,1965400.0
2019-08-14,3424700.0
2018-10-30,2996000.0
2019-06-11,3511900.0
2019-05-10,7342100.0
2019-04-08,29463200.0
2018-08-27,8793800.0
2018-07-26,12822200.0
2018-09-28,4998900.0
2019-03-07,3636000.0
2019-10-30,1344200.0
2020-01-17,4566400.0
2020-06-23,3815300.0
2020-04-08,3931500.0
2020-06-26,4749200.0
2019-03-22,3564000.0
2019-01-17,2049600.0
2019-08-29,2199500.0
2018-11-14,3549600.0
2019-06-26,2667400.0
2018-09-11,2321500.0
2018-07-09,2755200.0
2018-08-10,2129300.0
2019-04-23,2309000.0
2019-09-30,3014100.0
2020-01-23,4212100.0
2019-11-08,2684800.0
2020-04-14,439900.0
2019-11-11,1060200.0
2020-01-29,1047900.0
2020-04-17,1616600.0
