Dates,ETFC
2018-06-20,65.20999908447266
2018-06-21,65.20999908447266
2018-06-25,64.93000030517578
2018-06-22,62.70000076293945
2018-06-26,62.5099983215332
2018-06-27,61.25
2018-06-28,61.599998474121094
2018-06-29,61.15999984741211
2018-07-02,61.619998931884766
2018-07-03,60.7400016784668
2018-07-05,59.95000076293945
2018-07-16,60.58000183105469
2018-09-18,61.88999938964844
2019-01-24,60.959999084472656
2019-09-05,60.939998626708984
2018-11-21,60.52000045776367
2020-01-13,59.7599983215332
2020-04-01,59.90999984741211
2020-06-19,61.13999938964844
2019-10-29,63.130001068115234
2020-01-16,61.209999084472656
2020-06-22,59.630001068115234
2018-10-03,60.040000915527344
2018-07-31,60.040000915527344
2019-03-12,61.18000030517578
2019-02-08,61.38999938964844
2019-01-07,61.22999954223633
2018-12-06,59.95000076293945
2019-08-19,59.810001373291016
2019-07-18,60.20000076293945
2019-05-15,60.380001068115234
2019-09-20,60.11000061035156
2019-11-01,60.40999984741211
2020-04-07,61.060001373291016
2020-06-25,61.310001373291016
2020-06-16,61.459999084472656
2019-11-04,60.56999969482422
2020-01-22,60.04999923706055
2019-11-07,60.7599983215332
2020-04-13,60.33000183105469
2019-07-01,61.290000915527344
2019-05-30,61.189998626708984
2018-08-15,61.22999954223633
2018-10-18,58.560001373291016
2019-03-27,59.099998474121094
2019-01-22,58.43000030517578
2018-12-21,58.79999923706055
2019-09-03,59.630001068115234
2018-11-19,59.689998626708984
2019-08-02,59.540000915527344
2020-01-28,58.65999984741211
2020-04-16,58.86000061035156
2019-11-13,59.36000061035156
2020-01-31,58.2599983215332
2018-12-04,55.41999816894531
2018-11-02,54.9900016784668
2019-07-16,54.72999954223633
2018-08-30,54.5
2018-10-01,53.5099983215332
2019-06-14,53.5099983215332
2019-05-13,53.709999084472656
2019-04-11,53.310001373291016
2019-02-06,53.7599983215332
2019-09-18,55.779998779296875
2020-02-03,56.220001220703125
2020-04-22,55.02000045776367
2019-11-19,54.40999984741211
2020-02-06,54.31999969482422
2019-11-22,53.02000045776367
2019-03-25,52.779998779296875
2019-02-21,52.38999938964844
2018-12-19,51.84000015258789
2018-07-12,51.540000915527344
2018-09-14,52.40999984741211
2018-08-13,52.47999954223633
2018-10-16,52.689998626708984
2019-07-31,52.84000015258789
2019-05-28,53.15999984741211
2019-04-26,50.83000183105469
2020-04-28,49.52000045776367
2019-11-25,49.79999923706055
2020-02-12,49.36000061035156
2020-05-01,50.400001525878906
2020-05-04,50.56999969482422
2019-06-12,48.91999816894531
2019-04-09,49.08000183105469
2019-03-08,48.36000061035156
2019-02-04,48.61000061035156
2018-07-27,46.72999954223633
2018-08-28,47.369998931884766
2019-01-03,47.52000045776367
2019-08-15,47.689998626708984
2018-10-31,48.2400016784668
2019-09-16,49.41999816894531
2020-02-18,50.5
2020-05-07,51.11000061035156
2018-08-17,51.439998626708984
2019-12-04,52.40999984741211
2020-02-21,53.58000183105469
2018-12-17,53.869998931884766
2019-08-30,52.939998626708984
2018-11-15,52.029998779296875
2019-07-29,52.439998626708984
2019-06-27,51.599998474121094
2019-04-24,52.5099983215332
2018-07-10,52.189998626708984
2018-09-12,51.31999969482422
2019-02-19,50.22999954223633
2019-01-18,50.77000045776367
2020-02-24,50.689998626708984
2020-05-13,51.83000183105469
2019-12-10,51.900001525878906
2020-02-27,52.630001068115234
2019-12-13,51.459999084472656
2020-05-19,52.290000915527344
2019-03-06,52.90999984741211
2018-11-30,48.650001525878906
2019-08-13,47.400001525878906
2019-07-12,45.7400016784668
2019-06-10,45.11000061035156
2019-05-09,44.900001525878906
2018-07-25,45.619998931884766
2018-09-27,44.2599983215332
2018-10-29,43.54999923706055
2019-10-16,43.22999954223633
2019-12-16,43.5099983215332
2020-03-04,43.099998474121094
2020-05-22,42.45000076293945
2019-10-01,41.7400016784668
2019-12-19,41.27000045776367
2018-09-10,43.220001220703125
2019-05-24,43.47999954223633
2018-08-09,43.529998779296875
2019-04-22,43.880001068115234
2019-03-21,44.470001220703125
2019-01-16,43.400001525878906
2019-08-28,45.279998779296875
2018-11-13,45.56999969482422
2018-10-12,46.349998474121094
2019-06-25,47.470001220703125
2020-03-10,47.65999984741211
2020-05-28,47.880001068115234
2019-10-07,47.599998474121094
2020-03-13,47.79999923706055
2019-10-10,49.34000015258789
2020-03-16,49.720001220703125
2020-06-03,50.65999984741211
2018-11-28,50.08000183105469
2018-09-25,49.29999923706055
2018-07-23,49.47999954223633
2018-08-24,47.77000045776367
2019-07-10,47.5099983215332
2019-05-07,47.5
2019-04-05,46.439998626708984
2019-03-04,46.65999984741211
2019-01-31,47.29999923706055
2019-09-12,47.56999969482422
2019-12-31,47.15999984741211
2020-03-19,46.939998626708984
2020-01-03,46.63999938964844
2020-06-09,45.93000030517578
2019-02-15,46.380001068115234
2019-01-14,47.470001220703125
2018-07-06,47.279998779296875
2018-08-07,46.560001373291016
2018-10-10,47.459999084472656
2018-12-13,48.650001525878906
2019-08-26,48.439998626708984
2019-07-25,48.22999954223633
2019-05-22,48.88999938964844
2019-03-19,48.75
2020-01-06,49.13999938964844
2020-03-25,49.279998779296875
2020-06-12,48.9900016784668
2019-10-22,50.52000045776367
2020-01-09,49.06999969482422
2020-06-15,49.099998474121094
2019-10-25,48.439998626708984
2020-03-31,47.22999954223633
2020-06-18,46.86000061035156
2019-04-03,47.36000061035156
2018-08-22,48.04999923706055
2018-10-25,48.380001068115234
2019-01-29,48.900001525878906
2018-12-28,49.02000045776367
2018-11-26,49.59000015258789
2019-08-09,49.18000030517578
