Dates,SLB
2018-06-20,66.06999969482422
2018-06-21,65.58000183105469
2018-06-25,67.94999694824219
2018-06-22,66.36000061035156
2018-06-26,66.30000305175781
2018-06-27,67.69000244140625
2018-06-28,67.2300033569336
2018-06-29,67.8499984741211
2018-07-02,66.72000122070312
2018-07-03,66.30000305175781
2018-07-05,66.94999694824219
2018-07-16,67.25
2018-09-18,68.62000274658203
2019-01-24,69.61000061035156
2019-09-05,69.27999877929688
2018-11-21,68.70999908447266
2020-01-13,68.33999633789062
2020-04-01,67.5199966430664
2020-06-19,67.19999694824219
2019-10-29,67.44999694824219
2020-01-16,67.55000305175781
2020-06-22,68.43000030517578
2018-10-03,66.5999984741211
2018-07-31,66.41000366210938
2019-03-12,65.86000061035156
2019-02-08,67.0199966430664
2019-01-07,67.4000015258789
2018-12-06,68.30000305175781
2019-08-19,67.88999938964844
2019-07-18,67.16000366210938
2019-05-15,66.41999816894531
2019-09-20,66.6500015258789
2019-11-01,66.12999725341797
2020-04-07,67.30999755859375
2020-06-25,66.62999725341797
2020-06-16,66.66999816894531
2019-11-04,66.0999984741211
2020-01-22,66.04000091552734
2019-11-07,65.73999786376953
2020-04-13,64.36000061035156
2019-07-01,63.08000183105469
2019-05-30,63.02000045776367
2018-08-15,63.65999984741211
2018-10-18,65.22000122070312
2019-03-27,65.61000061035156
2019-01-22,64.97000122070312
2018-12-21,65.36000061035156
2019-09-03,65.56999969482422
2018-11-19,65.5199966430664
2019-08-02,64.63999938964844
2020-01-28,65.08000183105469
2020-04-16,64.13999938964844
2019-11-13,63.13999938964844
2020-01-31,61.54999923706055
2018-12-04,60.959999084472656
2018-11-02,60.189998626708984
2019-07-16,60.779998779296875
2018-08-30,60.79999923706055
2018-10-01,61.599998474121094
2019-06-14,61.310001373291016
2019-05-13,61.560001373291016
2019-04-11,61.66999816894531
2019-02-06,61.970001220703125
2019-09-18,61.709999084472656
2020-02-03,62.27000045776367
2020-04-22,61.84000015258789
2019-11-19,62.08000183105469
2020-02-06,62.880001068115234
2019-11-22,62.16999816894531
2019-03-25,61.689998626708984
2019-02-21,61.709999084472656
2018-12-19,62.369998931884766
2018-07-12,62.099998474121094
2018-09-14,62.90999984741211
2018-08-13,63.290000915527344
2018-10-16,63.36000061035156
2019-07-31,63.08000183105469
2019-05-28,63.650001525878906
2019-04-26,63.040000915527344
2020-04-28,60.58000183105469
2019-11-25,60.13999938964844
2020-02-12,60.11000061035156
2020-05-01,60.130001068115234
2020-05-04,59.529998779296875
2019-06-12,59.310001373291016
2019-04-09,61.189998626708984
2019-03-08,58.61000061035156
2019-02-04,55.75
2018-07-27,55.61000061035156
2018-08-28,54.25
2019-01-03,53.84000015258789
2019-08-15,53.20000076293945
2018-10-31,52.54999923706055
2019-09-16,53.0099983215332
2020-02-18,52.189998626708984
2020-05-07,52.279998779296875
2018-08-17,52.279998779296875
2019-12-04,52.2400016784668
2020-02-21,52.939998626708984
2018-12-17,52.59000015258789
2019-08-30,51.290000915527344
2018-11-15,50.95000076293945
2019-07-29,49.369998931884766
2019-06-27,48.880001068115234
2019-04-24,48.380001068115234
2018-07-10,48.75
2018-09-12,49.18000030517578
2019-02-19,47.70000076293945
2019-01-18,48.0
2020-02-24,46.61000061035156
2020-05-13,47.540000915527344
2019-12-10,46.709999084472656
2020-02-27,46.5099983215332
2019-12-13,46.650001525878906
2020-05-19,45.54999923706055
2019-03-06,46.61000061035156
2018-11-30,45.88999938964844
2019-08-13,42.97999954223633
2019-07-12,44.650001525878906
2019-06-10,42.91999816894531
2019-05-09,42.5
2018-07-25,42.540000915527344
2018-09-27,41.36000061035156
2018-10-29,40.59000015258789
2019-10-16,39.900001525878906
2019-12-16,39.0
2020-03-04,38.959999084472656
2020-05-22,38.029998779296875
2019-10-01,36.68000030517578
2019-12-19,35.880001068115234
2018-09-10,36.630001068115234
2019-05-24,36.470001220703125
2018-08-09,37.15999984741211
2019-04-22,36.810001373291016
2019-03-21,37.75
2019-01-16,38.59000015258789
2019-08-28,39.22999954223633
2018-11-13,40.470001220703125
2018-10-12,41.0
2019-06-25,41.619998931884766
2020-03-10,41.84000015258789
2020-05-28,41.77000045776367
2019-10-07,41.56999969482422
2020-03-13,42.20000076293945
2019-10-10,41.7400016784668
2020-03-16,41.7400016784668
2020-06-03,44.939998626708984
2018-11-28,44.27000045776367
2018-09-25,44.189998626708984
2018-07-23,44.380001068115234
2018-08-24,45.04999923706055
2019-07-10,44.54999923706055
2019-05-07,44.84000015258789
2019-04-05,45.04999923706055
2019-03-04,45.0099983215332
2019-01-31,44.970001220703125
